CommodityGroup,Commodity,SectorGroup,Sector,EndUse
Demand,C_OTH-SC,Commercial,Other,Space Cooling
Demand,C_OTH-SH,Commercial,Other,"Low Temperature Heat (<100 C), Space Heating"
Demand,C_OTH-WH,Commercial,Other,"Low Temperature Heat (<100 C), Water Heating"
Demand,C_OTH-MPS,Commercial,Other,"Motive Power, Stationary"
Demand,C_OTH-PUMP,Commercial,Other,Pumping
Demand,C_OTH-MPM,Commercial,Other,"Motive Power, Mobile"
Demand,C_OTH-PH,Commercial,Other,"Intermediate Heat (100-300 C), Process Requirements"
Demand,C_WSR-OTH,Commercial,WSR,Electronics and Other Electrical Uses
Demand,C_WSR-LT,Commercial,WSR,Lighting
Demand,C_WSR-CK,Commercial,WSR,"Intermediate Heat (100-300 C), Cooking"
Demand,C_WSR-SC,Commercial,WSR,Space Cooling
Demand,C_WSR-SH,Commercial,WSR,"Low Temperature Heat (<100 C), Space Heating"
Demand,C_WSR-WH,Commercial,WSR,"Low Temperature Heat (<100 C), Water Heating"
Demand,C_WSR-RF,Commercial,WSR,Refrigeration
Demand,C_WSR-MPS,Commercial,WSR,"Motive Power, Stationary"
Demand,C_WSR-MPM,Commercial,WSR,"Motive Power, Mobile"
Demand,T_P_Car,Transport,Road Transport,Passenger car
Demand,T_C_Car,Transport,Road Transport,Commercial car
Demand,T_P_Mcy,Transport,Road Transport,Motorcycle
Demand,T_P_Bus,Transport,Road Transport,Bus
Demand,T_F_LTrk,Transport,Road Transport,Light Truck
Demand,T_F_MTrk,Transport,Road Transport,Medium Truck
Demand,T_F_HTrk,Transport,Road Transport,Heavy Truck
Demand,T_F_DSHIP,Transport,Sea Transport,Domestic Shipping
Demand,T_F_ISHIP,Transport,Sea Transport,International Shipping
Demand,T_O_JET,Transport,Air Transport,Domestic Aviation
Demand,T_O_JET_Int,Transport,Air Transport,International Aviation
Demand,T_F_Rail,Transport,Rail Transport,Freight Rail
Demand,T_P_Rail,Transport,Rail Transport,Passenger Rail
Demand,DD-LIGHT,Residential,Detached Dwelling,Lighting
Demand,JD-LIGHT,Residential,Joined Dwelling,Lighting
Demand,DD-ELCTR,Residential,Detached Dwelling,Electronics and Other Electrical Uses
Demand,JD-ELCTR,Residential,Joined Dwelling,Electronics and Other Electrical Uses
Demand,DD-C_DRY,Residential,Detached Dwelling,"Low Temperature Heat (<100 C), Clothes Drying"
Demand,JD-C_DRY,Residential,Joined Dwelling,"Low Temperature Heat (<100 C), Clothes Drying"
Demand,DD-C_WASH,Residential,Detached Dwelling,"Low Temperature Heat (<100 C), Clothes Washing"
Demand,JD-C_WASH,Residential,Joined Dwelling,"Low Temperature Heat (<100 C), Clothes Washing"
Demand,DD-CH_INT,Residential,Detached Dwelling,"Intermediate Heat (100-300 C), Cooking"
Demand,JD-CH_INT,Residential,Joined Dwelling,"Intermediate Heat (100-300 C), Cooking"
Demand,DD-D_WASH,Residential,Detached Dwelling,"Low Temperature Heat (< 100 C), Dishwashers"
Demand,JD-D_WASH,Residential,Joined Dwelling,"Low Temperature Heat (< 100 C), Dishwashers"
Demand,DD-S_COOL,Residential,Detached Dwelling,Space Cooling
Demand,JD-S_COOL,Residential,Joined Dwelling,Space Cooling
Demand,DD-S_HEAT,Residential,Detached Dwelling,"Low Temperature Heat (<100 C), Space Heating"
Demand,DD-WH_LOW,Residential,Detached Dwelling,"Low Temperature Heat (<100 C), Water Heating"
Demand,JD-WH_LOW,Residential,Joined Dwelling,"Low Temperature Heat (<100 C), Water Heating"
Demand,DD-FRIDG,Residential,Detached Dwelling,Refrigeration
Demand,JD-FRIDG,Residential,Joined Dwelling,Refrigeration
Demand,DD-MTV_MOB,Residential,Detached Dwelling,"Motive Power, Mobile"
Demand,JD-MTV_MOB,Residential,Joined Dwelling,"Motive Power, Mobile"
Demand,CHEM-ELCTR-ELCTR,Industry,Chemicals (excl. Urea and Methanol),Electronics and Other Electrical Uses
Demand,CHEM-LIGHT-LIGHT,Industry,Chemicals (excl. Urea and Methanol),Lighting
Demand,CHEM-BOILR-PH_HIGH,Industry,Chemicals (excl. Urea and Methanol),"High Temperature Heat (>300 C), Process Requirements"
Demand,CHEM-BURNR-PH_HIGH,Industry,Chemicals (excl. Urea and Methanol),"High Temperature Heat (>300 C), Process Requirements"
Demand,CHEM-FURNC-PH_HIGH,Industry,Chemicals (excl. Urea and Methanol),"High Temperature Heat (>300 C), Process Requirements"
Demand,CHEM-FURNC-PH_INT,Industry,Chemicals (excl. Urea and Methanol),"Intermediate Heat (100-300 C), Process Requirements"
Demand,CHEM-SH_LOW,Industry,Chemicals (excl. Urea and Methanol),"Low Temperature Heat (<100 C), Space Heating"
Demand,CHEM-HEATR-PH_INT,Industry,Chemicals (excl. Urea and Methanol),"Intermediate Heat (100-300 C), Process Requirements"
Demand,CHEM-MOTOR-MTV_STA,Industry,Chemicals (excl. Urea and Methanol),"Motive Power, Stationary"
Demand,CNST-ELCTR-ELCTR,Industry,Construction,Electronics and Other Electrical Uses
Demand,CNST-LIGHT-LIGHT,Industry,Construction,Lighting
Demand,CNST-SH_LOW,Industry,Construction,"Low Temperature Heat (<100 C), Space Heating"
Demand,CNST-ICENG-MTV_MOB,Industry,Construction,"Motive Power, Mobile"
Demand,CNST-MOTOR-MTV_STA,Industry,Construction,"Motive Power, Stationary"
Demand,CNST-ENGIN-MTV_STA,Industry,Construction,"Motive Power, Stationary"
Demand,DARY-ACOMP-COMP_AIR,Industry,Dairy,Compressed Air
Demand,DARY-FAN-FAN,Industry,Dairy,Fans
Demand,DARY-LIGHT-LIGHT,Industry,Dairy,Lighting
Demand,DARY-BOILR-PH_INT,Industry,Dairy,"Intermediate Heat (100-300 C), Process Requirements"
Demand,DARY-BOILR-PH_LOW,Industry,Dairy,"Low Temperature Heat (<100 C), Process Requirements"
Demand,DARY-BOILR-WH_LOW,Industry,Dairy,"Low Temperature Heat (<100 C), Water Heating"
Demand,DARY-SH_LOW,Industry,Dairy,"Low Temperature Heat (<100 C), Space Heating"
Demand,DARY-HEATX-PH_INT,Industry,Dairy,"Intermediate Heat (100-300 C), Process Requirements"
Demand,DARY-HEATX-WH_LOW,Industry,Dairy,"Low Temperature Heat (<100 C), Water Heating"
Demand,DARY-FRIDG-FRIDG,Industry,Dairy,Refrigeration
Demand,DARY-MOTOR-MTV_STA,Industry,Dairy,"Motive Power, Stationary"
Demand,DARY-PUMP-PUMP,Industry,Dairy,Pumping
Demand,FOOD-ACOMP-COMP_AIR,Industry,Food and Beverage,Compressed Air
Demand,FOOD-ELCTR-ELCTR,Industry,Food and Beverage,Electronics and Other Electrical Uses
Demand,FOOD-LIGHT-LIGHT,Industry,Food and Beverage,Lighting
Demand,FOOD-BOILR-PH_INT,Industry,Food and Beverage,"Intermediate Heat (100-300 C), Process Requirements"
Demand,FOOD-BOILR-PH_LOW,Industry,Food and Beverage,"Low Temperature Heat (<100 C), Process Requirements"
Demand,FOOD-BOILR-WH_LOW,Industry,Food and Beverage,"Low Temperature Heat (<100 C), Water Heating"
Demand,FOOD-IOVEN-CH_INT,Industry,Food and Beverage,"Intermediate Heat (100-300 C), Cooking"
Demand,FOOD-FRIDG-FRIDG,Industry,Food and Beverage,Refrigeration
Demand,FOOD-SH_LOW,Industry,Food and Beverage,"Low Temperature Heat (<100 C), Space Heating"
Demand,FOOD-MOTOR-MTV_STA,Industry,Food and Beverage,"Motive Power, Stationary"
Demand,FOOD-PUMP-PUMP,Industry,Food and Beverage,Pumping
Demand,STEEL-ELCTR-ELCTR,Industry,Iron & Steel,Electronics and Other Electrical Uses
Demand,STEEL-LIGHT-LIGHT,Industry,Iron & Steel,Lighting
Demand,STEEL-FDSTK-FDSTK,Industry,Iron & Steel,Feedstock
Demand,STEEL-BOILR-WH_LOW,Industry,Iron & Steel,"Low Temperature Heat (<100 C), Water Heating"
Demand,STEEL-BURNR-PH_INT,Industry,Iron & Steel,"Intermediate Heat (100-300 C), Process Requirements"
Demand,STEEL-FURNC-ISTEEL,Industry,Iron & Steel,Iron and Steel Manufacturing
Demand,STEEL-FURNC-PH_HIGH,Industry,Iron & Steel,"High Temperature Heat (>300 C), Process Requirements"
Demand,STEEL-IOVEN-PH_HIGH,Industry,Iron & Steel,"High Temperature Heat (>300 C), Process Requirements"
Demand,STEEL-FRIDG-FRIDG,Industry,Iron & Steel,Refrigeration
Demand,STEEL-HEATR-PH_LOW,Industry,Iron & Steel,"Low Temperature Heat (<100 C), Process Requirements"
Demand,STEEL-MOTOR-ISTEEL,Industry,Iron & Steel,Iron and Steel Manufacturing
Demand,STEEL-MOTOR-MTV_STA,Industry,Iron & Steel,"Motive Power, Stationary"
Demand,MEAT-LIGHT-LIGHT,Industry,Meat,Lighting
Demand,MEAT-BOILR-PH_INT,Industry,Meat,"Intermediate Heat (100-300 C), Process Requirements"
Demand,MEAT-BOILR-WH_LOW,Industry,Meat,"Low Temperature Heat (<100 C), Water Heating"
Demand,MEAT-FRIDG-FRIDG,Industry,Meat,Refrigeration
Demand,MEAT-HEATR-WH_LOW,Industry,Meat,"Low Temperature Heat (<100 C), Water Heating"
Demand,MEAT-MOTOR-MTV_STA,Industry,Meat,"Motive Power, Stationary"
Demand,METH-FDSTK-FDSTK,Industry,Methanol,Feedstock
Demand,METH-BOILR-PH_HIGH,Industry,Methanol,"High Temperature Heat (>300 C), Process Requirements"
Demand,MINE-ELCTR-ELCTR,Industry,Mining,Electronics and Other Electrical Uses
Demand,MINE-LIGHT-LIGHT,Industry,Mining,Lighting
Demand,MINE-BOILR-PH_INT,Industry,Mining,"Intermediate Heat (100-300 C), Process Requirements"
Demand,MINE-ICENG-MTV_MOB,Industry,Mining,"Motive Power, Mobile"
Demand,MINE-MOTOR-MTV_STA,Industry,Mining,"Motive Power, Stationary"
Demand,MINE-ENGIN-MTV_STA,Industry,Mining,"Motive Power, Stationary"
Demand,MNRL-LIGHT-LIGHT,Industry,Non-Metallic Mineral Product Manufacturing,Lighting
Demand,MNRL-BOILR-PH_INT,Industry,Non-Metallic Mineral Product Manufacturing,"Intermediate Heat (100-300 C), Process Requirements"
Demand,MNRL-BOILR-PH_LOW,Industry,Non-Metallic Mineral Product Manufacturing,"Low Temperature Heat (<100 C), Process Requirements"
Demand,MNRL-FURNC-PH_HIGH,Industry,Non-Metallic Mineral Product Manufacturing,"High Temperature Heat (>300 C), Process Requirements"
Demand,MNRL-FURNC-PH_INT,Industry,Non-Metallic Mineral Product Manufacturing,"Intermediate Heat (100-300 C), Process Requirements"
Demand,MNRL-MOTOR-MTV_STA,Industry,Non-Metallic Mineral Product Manufacturing,"Motive Power, Stationary"
Demand,MNRL-PUMP-PUMP,Industry,Non-Metallic Mineral Product Manufacturing,Pumping
Demand,OTHR-ELCTR-ELCTR,Industry,Other,Electronics and Other Electrical Uses
Demand,OTHR-LIGHT-LIGHT,Industry,Other,Lighting
Demand,OTHR-BOILR-PH_INT,Industry,Other,"Intermediate Heat (100-300 C), Process Requirements"
Demand,OTHR-BOILR-PH_LOW,Industry,Other,"Low Temperature Heat (<100 C), Process Requirements"
Demand,OTHR-SH_LOW,Industry,Other,"Low Temperature Heat (<100 C), Space Heating"
Demand,OTHR-FURNC-PH_HIGH,Industry,Other,"High Temperature Heat (>300 C), Process Requirements"
Demand,OTHR-HEATR-PH_INT,Industry,Other,"Intermediate Heat (100-300 C), Process Requirements"
Demand,OTHR-HEATR-PH_LOW,Industry,Other,"Low Temperature Heat (<100 C), Process Requirements"
Demand,OTHR-ICENG-MTV_MOB,Industry,Other,"Motive Power, Mobile"
Demand,OTHR-MOTOR-MTV_STA,Industry,Other,"Motive Power, Stationary"
Demand,OTHR-PUMP-PUMP,Industry,Other,Pumping
Demand,PULP-ACOMP-COMP_AIR,Industry,Pulp and Paper,Compressed Air
Demand,PULP-ELCTR-ELCTR,Industry,Pulp and Paper,Electronics and Other Electrical Uses
Demand,PULP-FAN-FAN,Industry,Pulp and Paper,Fans
Demand,PULP-LIGHT-LIGHT,Industry,Pulp and Paper,Lighting
Demand,PULP-REFIN-REFIN,Industry,Pulp and Paper,Refiners
Demand,PULP-BOILR-PH_INT,Industry,Pulp and Paper,"Intermediate Heat (100-300 C), Process Requirements"
Demand,PULP-BURNR-PH_LOW,Industry,Pulp and Paper,"Low Temperature Heat (<100 C), Process Requirements"
Demand,PULP-SH_LOW,Industry,Pulp and Paper,"Low Temperature Heat (<100 C), Space Heating"
Demand,PULP-FURNC-PH_HIGH,Industry,Pulp and Paper,"High Temperature Heat (>300 C), Process Requirements"
Demand,PULP-HEATX-PH_INT,Industry,Pulp and Paper,"Intermediate Heat (100-300 C), Process Requirements"
Demand,PULP-MOTOR-MTV_STA,Industry,Pulp and Paper,"Motive Power, Stationary"
Demand,PULP-PUMP-PUMP,Industry,Pulp and Paper,Pumping
Demand,UREA-FDSTK-FDSTK,Industry,Urea,Feedstock
Demand,UREA-BOILR-PH_HIGH,Industry,Urea,"High Temperature Heat (>300 C), Process Requirements"
Demand,UREA-COMPR-MTV_STA,Industry,Urea,"Motive Power, Stationary"
Demand,WOOD-ACOMP-COMP_AIR,Industry,Wood Products,Compressed Air
Demand,WOOD-ELCTR-ELCTR,Industry,Wood Products,Electronics and Other Electrical Uses
Demand,WOOD-FAN-FAN,Industry,Wood Products,Fans
Demand,WOOD-LIGHT-LIGHT,Industry,Wood Products,Lighting
Demand,WOOD-REFIN-REFIN,Industry,Wood Products,Refiners
Demand,WOOD-BOILR-PH_INT,Industry,Wood Products,"Intermediate Heat (100-300 C), Process Requirements"
Demand,WOOD-BOILR-PH_LOW,Industry,Wood Products,"Low Temperature Heat (<100 C), Process Requirements"
Demand,WOOD-BURNR-PH_INT,Industry,Wood Products,"Intermediate Heat (100-300 C), Process Requirements"
Demand,WOOD-FURNC-PH_LOW,Industry,Wood Products,"Low Temperature Heat (<100 C), Process Requirements"
Demand,WOOD-HEATX-PH_INT,Industry,Wood Products,"Intermediate Heat (100-300 C), Process Requirements"
Demand,WOOD-HPPH-PH_LOW,Industry,Wood Products,"Low Temperature Heat (<100 C), Process Requirements"
Demand,WOOD-MOTOR-MTV_STA,Industry,Wood Products,"Motive Power, Stationary"
Demand,WOOD-PUMP-PUMP,Industry,Wood Products,Pumping
Demand,ALUM-FURNC-PH_HIGH,Industry,Aluminium,"High Temperature Heat (>300 C), Process Requirements"
Demand,MINE-SH_LOW,Industry,Mining,"Low Temperature Heat (<100 C), Space Heating"
Demand,ADCF-IRG,"Agriculture, Forestry, and Fishing",Dairy Cattle Farming,Irrigation
Demand,ADCF-LT,"Agriculture, Forestry, and Fishing",Dairy Cattle Farming,Lighting
Demand,ADCF-RFGR,"Agriculture, Forestry, and Fishing",Dairy Cattle Farming,Refrigeration
Demand,ADCF-WH,"Agriculture, Forestry, and Fishing",Dairy Cattle Farming,"Low Temperature Heat (<100 C), Water Heating"
Demand,ADCF-MoTP-Stat,"Agriculture, Forestry, and Fishing",Dairy Cattle Farming,"Motive Power, Stationary"
Demand,ADCF-PUMP,"Agriculture, Forestry, and Fishing",Dairy Cattle Farming,Pumping
Demand,ADCF-MoTP-Mob,"Agriculture, Forestry, and Fishing",Dairy Cattle Farming,"Motive Power, Mobile"
Demand,AFISH-OTH,"Agriculture, Forestry, and Fishing","Fishing, Hunting and Trapping",Electronics and Other Electrical Uses
Demand,AFISH-LT,"Agriculture, Forestry, and Fishing","Fishing, Hunting and Trapping",Lighting
Demand,AFISH-RFGR,"Agriculture, Forestry, and Fishing","Fishing, Hunting and Trapping",Refrigeration
Demand,AFISH-MoTP-Stat,"Agriculture, Forestry, and Fishing","Fishing, Hunting and Trapping","Motive Power, Stationary"
Demand,AFISH-MoTP-Mob,"Agriculture, Forestry, and Fishing","Fishing, Hunting and Trapping","Motive Power, Mobile"
Demand,AFORE-OTH,"Agriculture, Forestry, and Fishing",Forestry and Logging,Electronics and Other Electrical Uses
Demand,AFORE-LT,"Agriculture, Forestry, and Fishing",Forestry and Logging,Lighting
Demand,AFORE-MoTP-Stat,"Agriculture, Forestry, and Fishing",Forestry and Logging,"Motive Power, Stationary"
Demand,AFORE-MoTP-Mob,"Agriculture, Forestry, and Fishing",Forestry and Logging,"Motive Power, Mobile"
Demand,AFORE-PH,"Agriculture, Forestry, and Fishing",Forestry and Logging,"Intermediate Heat (100-300 C), Process Requirements"
Demand,AHORT-IRG,"Agriculture, Forestry, and Fishing",Horticulture (Outdoor),Irrigation
Demand,AHORT-LT,"Agriculture, Forestry, and Fishing",Horticulture (Outdoor),Lighting
Demand,AHORT-MoTP-Mob,"Agriculture, Forestry, and Fishing",Horticulture (Outdoor),"Motive Power, Mobile"
Demand,AHORT-MoTP-Stat,"Agriculture, Forestry, and Fishing",Horticulture (Outdoor),"Motive Power, Stationary"
Demand,AINDC-LT,"Agriculture, Forestry, and Fishing",Indoor Cropping,Lighting
Demand,AINDC-MoTP-Stat,"Agriculture, Forestry, and Fishing",Indoor Cropping,"Motive Power, Stationary"
Demand,AINDC-SH,"Agriculture, Forestry, and Fishing",Indoor Cropping,"Low Temperature Heat (<100 C), Space Heating"
Demand,ALIVE-IRG,"Agriculture, Forestry, and Fishing",Livestock Farming,Irrigation
Demand,ALIVE-LT,"Agriculture, Forestry, and Fishing",Livestock Farming,Lighting
Demand,ALIVE-MoTP-Mob,"Agriculture, Forestry, and Fishing",Livestock Farming,"Motive Power, Mobile"
Demand,AOTH-PH,"Agriculture, Forestry, and Fishing",Other Agriculture,"Intermediate Heat (100-300 C), Process Requirements"
Demand,AOTH-SH,"Agriculture, Forestry, and Fishing",Other Agriculture,"Low Temperature Heat (<100 C), Space Heating"
Demand,AOTH-MoTP-Stat,"Agriculture, Forestry, and Fishing",Other Agriculture,"Motive Power, Stationary"
