Process,Sector,Commodity,ProcessGroup
FTE_AGRHYD,Agriculture,Hydro,Distribution
FTE_COMHYD,Commercial,Hydro,Distribution
FTE_INDWIN,Industry,Wind,Distribution
FTE_RESWIN,Residential,Wind,Distribution
FTE_ELCWIN,Electricity generation,Wind,Distribution
FTE_TRAWIN,Transport,Wind,Distribution
FTE_AGRWIN,Agriculture,Wind,Distribution
FTE_COMWIN,Commercial,Wind,Distribution
FTE_INDSOL,Industry,Solar,Distribution
FTE_RESSOL,Residential,Solar,Distribution
FTE_ELCSOL,Electricity generation,Solar,Distribution
FTE_TRASOL,Transport,Solar,Distribution
FTE_AGRSOL,Agriculture,Solar,Distribution
FTE_COMSOL,Commercial,Solar,Distribution
G_ELC_A,Electricity distribution,Electricity,Distribution
G_ELC_C,Electricity distribution,Electricity,Distribution
G_ELC_I,Electricity distribution,Electricity,Distribution
G_ELC_HV,Electricity distribution,Electricity,Distribution
G_ELC_LV,Electricity distribution,Electricity,Distribution
G_ELC_T_00,Electricity distribution,Electricity,Distribution
G_ELC_R,Electricity distribution,Electricity,Distribution
TB_COA_NI_SI_01,,Coal,IRE
TB_ELC_NI_SI_01,,Electricity,IRE
TU_LPG_NI_SI_01,,LPG,IRE
