TimeSlice,Attribute,Cset_CN,*2015,*2018,2020,2025,2030,2035,2040,2045,2050,2055,2060
,Demand,DARY-MoTP-Stat,,0.1185,0.1180460265,0.1170364065,0.1161841545,0.1149425115,0.11332392,0.111728199,0.1101548745,0.1086037095,0.1070743485
,Demand,DARY-AIR,,0.1588,0.1581916372,0.1568386612,0.1556965716,0.1540326652,0.151863616,0.1497252152,0.1476168276,0.1455381356,0.1434886628
,Demand,FOOD-PH-STM_HW,,7.5357,7.9969451256,8.48642214284772,9.00585906936715,9.6983252018727,10.4440354880979,11.4124795668028,12.4707245595937,13.6270974358312,14.8906972997635
,Demand,FOOD-PH-OVN,,1.3387,1.4206391496,1.50759363066872,1.59987042161469,1.72288545825165,1.85535919794003,2.02740109028742,2.2153959111865,2.42082292784309,2.6452985754732
,Demand,FOOD-Pump,,0.691,0.733294728,0.778178231711424,0.825808964918017,0.889305932361166,0.957685221316623,1.04648849883365,1.143526237865,1.24956199532351,1.36543013046387
,Demand,FOOD-MoTP-Stat,,0.4379,0.4647029832,0.493146523395706,0.52333103579971,0.563570286224247,0.606903557763458,0.66317990396419,0.724674586919078,0.791871487340323,0.865299354746929
,Demand,FOOD-RFGR,,0.3537,0.3753492696,0.398323647693677,0.422704241521711,0.455206234842467,0.490207326743401,0.535662781530336,0.585333184273299,0.639609374451409,0.698918432916165
,Demand,FOOD-PH-DirH,,0.064,0.067917312,0.072074394832896,0.0764859243918279,0.0823669749220183,0.0887002231031316,0.0969251286908156,0.105912705098929,0.115733672504637,0.126465308754975
,Demand,IIS-FDSTCK,,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5
,Demand,IIS-PH-FURN,,2.2187,2.2187,2.2187,2.2187,2.2187,2.2187,2.2187,2.2187,2.2187,2.2187
,Demand,IIS-MoTP-Stat,,0.6058,0.6058,0.6058,0.6058,0.6058,0.6058,0.6058,0.6058,0.6058,0.6058
,Demand,MEAT-PH-STM_HW,,1.9489,1.9163787057,1.9544251315,1.8933621967,1.834207235,1.751885699,1.6496327627,1.5533493071,1.4626845302,1.3773129657
,Demand,MEAT-PH-DirH,,0.0324,0.0318593412,0.032491854,0.0314766972,0.03049326,0.029124684,0.0274247532,0.0258240636,0.0243167832,0.0228975012
,Demand,MEAT-RFGR,,1.1699,1.1503778787,1.1732166665,1.1365613597,1.101051385,1.051634809,0.9902536657,0.9324559261,0.8780310082,0.8267835387
,Demand,MEAT-MoTP-Stat,,0.4959,0.4876249167,0.4973058765,0.4817683377,0.466716285,0.445769469,0.4197510837,0.3952516401,0.3721818762,0.3504589767
,Demand,METAL-PH-FURN,,1.6345,1.5751,1.5178,1.4626,1.575,1.6961,1.8534,2.0253,2.2131,2.4183
,Demand,METAL-MoTP-Stat,,0.8343,0.804,0.7747,0.7466,0.804,0.8658,0.9461,1.0338,1.1296,1.2344
,Demand,METAL-RFGR,,0.2174,0.2095,0.2019,0.1946,0.2095,0.2256,0.2466,0.2694,0.2944,0.3217
,Demand,METAL-PH-DirH,,0.0322,0.031,0.0299,0.0288,0.031,0.0334,0.0365,0.0399,0.0436,0.0477
,Demand,MTHOL-FDSTCK,,41.0689,41.0689,41.0689,41.0689,0,0,0,0,0,0
,Demand,MTHOL-PH_REFRM,,16.4618,16.4618,16.4618,16.4618,0,0,0,0,0,0
,Demand,MNRL-PH-FURN,,3.9838,4.1045,4.2289,4.357,4.692,5.0528,5.5213,6.0333,6.5928,7.2041
,Demand,MNRL-MoTP-Stat,,0.5158,0.5314,0.5475,0.5641,0.6075,0.6542,0.7148,0.7811,0.8535,0.9327
,Demand,MNRL-PH-STM_HW,,0.4316,0.4446,0.4581,0.472,0.5083,0.5474,0.5981,0.6536,0.7142,0.7804
,Demand,MNNG-MoTP-Mob,,0.6409,0.6603,0.6803,0.701,0.7549,0.8129,0.8883,0.9706,1.0607,1.159
,Demand,MNNG-MoTP-Stat,,1.081,1.1137,1.1475,1.1823,1.2732,1.371,1.4982,1.6371,1.7889,1.9548
,Demand,MNNG-PH-STM_HW,,0.1644,0.1694,0.1745,0.1798,0.1936,0.2085,0.2278,0.249,0.272,0.2973
,Demand,OTH-ELC,,4.0838,4.2075,4.335,4.4664,4.8098,5.1796,5.6599,6.1848,6.7582,7.3849
,Demand,OTH-DSL,,4.0376,4.0376,4.0376,4.0376,4.0376,4.0376,4.0376,4.0376,4.0376,4.0376
,Demand,OTH-LPG,,2.6538,2.6538,2.6538,2.6538,2.6538,2.6538,2.6538,2.6538,2.6538,2.6538
,Demand,OTH-COA,,1.0026,1.0026,1.0026,1.0026,1.0026,1.0026,1.0026,1.0026,1.0026,1.0026
,Demand,OTH-NGA,,1.0554,1.0554,1.0554,1.0554,1.0554,1.0554,1.0554,1.0554,1.0554,1.0554
,Demand,OTH-PET,,0.0501,0.0501,0.0501,0.0501,0.0501,0.0501,0.0501,0.0501,0.0501,0.0501
,Demand,OTH-BGS,,0.0397,0.0409,0.0421,0.0434,0.0468,0.0504,0.055,0.0601,0.0657,0.0718
,Demand,OTH-FOL,,0.0083,0.0083,0.0083,0.0083,0.0083,0.0083,0.0083,0.0083,0.0083,0.0083
,Demand,CHMCL-PH-STM_HW,,1.2526,0.899560042923873,0.646040718764466,0.463972781214493,0.463972781214493,0.463972781214493,0.463972781214493,0.463972781214493,0.463972781214493,0.463972781214493
,Demand,CHMCL-MoTP-Stat,,1.1517,0.8271,0.594,0.4266,0.4266,0.4266,0.4266,0.4266,0.4266,0.4266
,Demand,CHMCL-PH-REFRM,,1.5107,1.085,0.7792,0.5596,0.5596,0.5596,0.5596,0.5596,0.5596,0.5596
,Demand,CHMCL-PH-DirH,,0.5087,0.3653,0.2624,0.1884,0.1884,0.1884,0.1884,0.1884,0.1884,0.1884
,Demand,CHMCL-PH-FURN,,0.3352,0.2407,0.1729,0.1241,0.1241,0.1241,0.1241,0.1241,0.1241,0.1241
,Demand,REFI-PH-FURN,,2.3136,2.3136,0,0,0,0,0,0,0,0
,Demand,REFI-MoTP-Stat,,0.626,0.626,0,0,0,0,0,0,0,0
,Demand,REFI-PH-STM_HW,,0.4176,0.4176,0,0,0,0,0,0,0,0
,Demand,UREA-FDSTCK,,3.9926,3.9926,3.9926,0,0,0,0,0,0,0
,Demand,UREA-REFRM,,3.5,3.5,3.5,0,0,0,0,0,0,0
,Demand,WOOD-PH-STM_HW,,10.89585,11.8097300366157,12.8002971359268,13.8739160136632,14.9407044647627,16.0894580355044,17.5814405447474,19.2116615749019,20.993083412881,22.9397550043811
,Demand,WOOD-Fan,,72.08638,78.1326623920772,84.6860386346443,91.7891458826947,98.8468847700938,106.447223181536,116.317800429313,127.103559172969,138.88954612202,151.768318801541
,Demand,WOOD-MoTP-Stat,,0.74964,0.81253358971764,0.880661989677158,0.954556267584253,1.02791947778565,1.10697269911952,1.2096204999494,1.32175165266673,1.44435242586783,1.57825735451877
,Demand,WOOD-Refin,,0.369699,0.400728528216704,0.434337528216704,0.470753600451467,0.506942072234763,0.545937616252822,0.596540783295711,0.651847693002257,0.712313546275395,0.778317677200903
,Demand,WOOD-Pump,,0.23496,0.254609544720697,0.276004029706167,0.299143454956409,0.322131146270584,0.346939644817565,0.379107239263804,0.414233645463352,0.452622331288344,0.494576764610914
,Demand,WOOD-PH-FURN,,0.2194,0.2378,0.2577,0.2793,0.3008,0.3239,0.354,0.3868,0.4227,0.4618
,Demand,WOOD-AIR,,0.187088,0.202792467153285,0.219786673154907,0.238222351987024,0.256582163828062,0.276307581508516,0.301874757502028,0.329869677210057,0.360519941605839,0.393901417680454
,Demand,PLPPPR-PH-STM_HW,,30.8243,30.8243,30.8243,30.8243,30.8243,30.8243,30.8243,30.8243,30.8243,30.8243
,Demand,PLPPPR-Refin,,2.2727,2.2727,2.2727,2.2727,2.2727,2.2727,2.2727,2.2727,2.2727,2.2727
,Demand,PLPPPR-PH-FURN,,0.7775,0.7775,0.7775,0.7775,0.7775,0.7775,0.7775,0.7775,0.7775,0.7775
,Demand,PLPPPR-Pump,,0.6236,0.6236,0.6236,0.6236,0.6236,0.6236,0.6236,0.6236,0.6236,0.6236
,Demand,PLPPPR-MoTP-Stat,,0.4504,0.4504,0.4504,0.4504,0.4504,0.4504,0.4504,0.4504,0.4504,0.4504
,Demand,PLPPPR-Fan,,9.7816,9.7816,9.7816,9.7816,9.7816,9.7816,9.7816,9.7816,9.7816,9.7816
,Demand,PLPPPR-PH-DirH,,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154
,Demand,PLPPPR-AIR,,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068
