TechName,*TechDesc,Comm-IN,Comm-OUT,EFF,AFA,AFA~LO,NCAP_LIFE,CAP2ACT,NCAP_PASTI,*NCAP_PASTI,ACT_BND,INVCOST,FIXOM,NCAP_BND,NCAP_BND~0,FLO_MARK,FLO_MARK~2030,FLO_MARK~2050,FLO_MARK~0
R_JDW-CK_Appl-LPG00,Joined dwellings - Heat/Cooling Devices - Cooking Appliances,RESLPG,R_JDW-CK,0.4,0.028,0,13,31.536,0.00107127115051258,,0.000945940996071812,350,150,,,,,,
R_JDW-RF_Refriger-ELC00,Joined dwellings - Heat/Cooling Devices - Refrigeration systems,RESELC,R_JDW-RF,1.8,1,0.75,18,31.536,0.0125382804656864,,0.395407212765886,3280,,,,,,,
R_JDW-CD_Dryer-ELC00,Joined dwellings - Heat/Cooling Devices - Clothes Dryer,RESELC,R_JDW-CD,0.25,0.0059,0.004425,15,31.536,0.061773999596525,,0.0114938186225285,1665.33333333333,,,,,,,
R_JDW-SC_HP-ELC00,Joined dwellings - Heat/Cooling Devices - Heat Pump (for Cooling),RESELC,R_JDW-SC,3.45,0.0114,0.00855,12,31.536,0.226933265922529,,0.0815848692051149,899.6,,,,,,,
R_JDW-CW_Washer-ELC00,Joined dwellings - Heat/Cooling Devices - Clothes Washers,RESELC,R_JDW-CW,0.25,0.0416,0.0312,15,31.536,0.0283568343414571,,0.0372012629161552,3994.66666666667,,,,,,,
R_JDW-DW_Dwash-ELC00,Joined dwellings - Heat/Cooling Devices - Dishwashers,RESELC,R_JDW-DW,0.25,0.0416,0,15,31.536,0.00941768749788442,,0.0123550416260246,2640,,,,,,,
R_JDW-LT_LED-ELC00,Joined dwellings - Electronics and Lights - LED,RESELC,R_JDW-LT,0.9,0.1666,0,14,31.536,0.00018613208751604,,0.000977918927883514,1148.32535885167,,,,,,,
R_JDW-LT_Incan-ELC00,Joined dwellings - Electronics and Lights - Incandescent,RESELC,R_JDW-LT,0.1,0.1666,0,1,31.536,0.00235010409969495,,0.0123472062891374,777.777777777778,,,,,,,
R_JDW-LT_CFL-ELC00,Joined dwellings - Electronics and Lights - Fluorescent,RESELC,R_JDW-LT,0.8,0.1666,0,7,31.536,0.00421860971202435,,0.0221641434413414,1176.47058823529,,,,,,,
R_JDW-OTH_Elec-ELC00,Joined dwellings - Electronics and Lights - Electronics,RESELC,R_JDW-OTH,0.9,0.1666,0.12495,5,31.536,0.0273381373057052,,0.143631773978915,733.333333333333,,,,,,,
R_JDW-MPS_Motor-ELC00,Joined dwellings - Stationary Motors - Electric Motor,RESELC,R_JDW-MPS,0.75,0.0029,0.002175,15,31.536,0.12454970869652,,0.0113906188790151,153.333333333333,,,,,,,
R_JDW-MPM_ICE-PET00,Joined dwellings - Stationary Motors - Internal Combustion (Domestic Use),RESPET,R_JDW-MPM,0.25,0.0029,0,10,31.536,3.12389064646227e-05,,2.85693544737819e-06,1466.66666666667,,,,,,,
