TechName,Comm-IN,Comm-OUT,Share-I~UP,Share-I~UP~2021,Share-I~UP~0,*PRC_RESID~2015,PRC_RESID~2018,*NCAP_PASTY,EFF,LIFE,INVCOST,VAROM,CAP2ACT,*ACT_BND~NI~2015,ACT_BND~NI~2018,*ACT_BND~SI~2018,ACT_BND~NI~0,AFA,*AFA~LO,*FLO_MARK~NI~2018,*FLO_MARK~SI~2018,*FLO_MARK~0,NCAP_BND~2025,NCAP_BND~0
FOOD-PH-DirH-ELC-Heater15,INDELC,FOOD-PH-DirH,,,,0.003,0.003,3,0.999700089973008,3,80,,31.536,0.06,0.064,0.0201,5,0.9,0.63,,,,0,5
IIS-FDSTCK-COA-_15,COA,IIS-FDSTCK,,,,0.652,0.652,96,1,100,0,,31.536,18.5,18.5,0,5,0.9,0.63,,,,0,5
IIS-PH-FURN-ELC-Furn15,INDELC,IIS-PH-FURN,,,,0.058,0.058,21,0.8,25,63,,31.536,1.64,1.6357,0,5,0.9,0.63,0.738,0.05,5,0,5
IIS-PH-FURN-NGA-Furn15,INDNGA,IIS-PH-FURN,,,,0.021,0.021,21,0.8,25,63,,31.536,0.58,0.5829,0,5,0.9,0.63,0.263,0.05,5,0,5
IIS-MoTP-Stat-ELC-Mtr15,INDELC,IIS-MoTP-Stat,,,,0.039,0.039,6,0.675,10,280,,31.536,0.61,0.6058,0,5,0.5,0.35,1,0.05,5,0,5
MEAT-PH-STM_HW-COA-BLR15,INDCOA,MEAT-PH-STM_HW,,,,0.06,0.06,16,0.8,20,750,,31.536,0.65,0.646,0.7797,5,0.343,0.24,0.332,0.962,5,0,5
MEAT-PH-STM_HW-NGA-BLR15,INDNGA,MEAT-PH-STM_HW,,,,0.119,0.119,21,0.87,25,250,,31.536,1.28,1.2768,0,5,0.343,0.24,0.656,0,5,0,5
MEAT-PH-STM_HW-WOD-BLR15,INDWOD,MEAT-PH-STM_HW,,,,0.002,0.002,21,0.85,25,2000,,31.536,0.03,0.0261,0.0315,5,0.5,0.35,0.014,0.039,5,0,5
MEAT-PH-DirH-ELC-Heater15,INDELC,MEAT-PH-DirH,,,,0.002,0.002,3,0.999700089973008,3,80,,31.536,0.03,0.0324,0.0135,5,0.9,0.63,1,1,5,0,5
MEAT-RFGR-ELC-Refriger15,INDELC,MEAT-RFGR,,,,0.038,0.038,5,1,5,0,,31.536,1.17,1.1699,0.4869,5,1,0.7,,,,0,5
MEAT-MoTP-Stat-ELC-Mtr15,INDELC,MEAT-MoTP-Stat,,,,0.032,0.032,6,0.675,10,280,,31.536,0.5,0.4959,0.2064,5,0.5,0.35,,,,0,5
METAL-PH-FURN-ELC-Furn15,INDELC,METAL-PH-FURN,,,,0.002,0.002,21,0.8,25,63,,31.536,0.05,0.0506,0.0125,5,0.9,0.63,0.031,0.045,5,0,5
METAL-PH-FURN-FOL-Furn15,INDFOL,METAL-PH-FURN,,,,0.002,0.002,21,0.8,25,63,,31.536,0.04,0.0419,0.2672,5,0.9,0.63,,0.956,5,0,5
METAL-PH-FURN-NGA-Furn15,INDNGA,METAL-PH-FURN,,,,0.055,0.055,21,0.8,25,63,,31.536,1.54,1.542,0,5,0.9,0.63,,,,0,5
METAL-MoTP-Stat-ELC-Mtr15,INDELC,METAL-MoTP-Stat,,,,0.53,0.053,6,0.675,10,280,,31.536,0.83,0.8343,0.2052,5,0.5,0.35,,,,0,5
METAL-RFGR-ELC-Refriger15,INDELC,METAL-RFGR,,,,0.007,0.007,5,1,5,0,,31.536,0.22,0.2174,0.0535,5,1,0.7,,,,0,5
METAL-PH-DirH-NGA-Burner15,INDNGA,METAL-PH-DirH,,,,0.002,0.002,9,0.8,13,313,,31.536,0.03,0.0322,0,5,0.9,0.63,1,,5,0,5
MTHOL-FDSTCK-NGA-FDSTCK15,NGA,MTHOL-FDSTCK,,,,1.447,1.447,96,1,100,0,,31.536,41.07,41.0689,0,5,0.9,0.63,1,0.05,5,0,5
MTHOL-PH_REFRM-NGA-REFRM15,INDNGA,MTHOL-PH_REFRM,,,,1.045,1.045,21,1,25,0,,31.536,16.46,16.4618,0,5,0.5,0.35,1,,5,0,5
MNRL-PH-FURN-COA-Furn15,INDCOA,MNRL-PH-FURN,,,,0.073,0.073,21,0.7,25,63,,31.536,2.07,2.0654,0,5,0.9,0.63,0.519,0.05,5,0,5
MNRL-PH-FURN-ELC-Furn15,INDELC,MNRL-PH-FURN,,,,0.005,0.005,21,0.8,25,63,,31.536,0.14,0.1392,0,5,0.9,0.63,,,,0,5
MNRL-PH-FURN-NGA-Furn15,INDNGA,MNRL-PH-FURN,,,,0,0.049,21,0.8,25,63,,31.536,1.36,1.364,0,5,0.9,0.63,,,,0,5
MNRL-PH-FURN-WOD-Furn15,INDWOD,MNRL-PH-FURN,,,,0.015,0.015,21,0.7,25,63,,31.536,0.42,0.4152,0,5,0.9,0.63,,,,0,5
MNRL-MoTP-Stat-ELC-Mtr15,INDELC,MNRL-MoTP-Stat,,,,0.033,0.033,6,0.675,10,280,,31.536,0.52,0.5158,0,5,0.5,0.35,1,,5,0,5
MNRL-PH-STM_HW-NGA-BLR15,INDNGA,MNRL-PH-STM_HW,,,,0.028,0.028,21,0.87,25,350,,31.536,0.43,0.4316,0,5,0.5,0.35,1,0.05,5,0,5
MNNG-MoTP-Mob-DSL-ICE_Off15,INDDSL,MNNG-MoTP-Mob,,,,0.226,0.226,16,0.18,20,2388,,31.536,0.64,0.6409,0,5,0.09,0.06,,0.05,5,0,5
MNNG-MoTP-Stat-ELC-Mtr15,INDELC,MNNG-MoTP-Stat,,,,0.063,0.063,6,0.675,10,280,,31.536,0.99,0.9912,0,5,0.5,0.35,,,,0,5
MNNG-MoTP-Stat-DSL-St_ngn15,INDDSL,MNNG-MoTP-Stat,,,,0.078,0.006,16,0.22,20,455,,31.536,1.2164,0.0897,0,5,0.5,0.35,,0.05,5,0,5
MNNG-PH-STM_HW-FOL-BLR15,INDFOL,MNNG-PH-STM_HW,,,,0.11,0.002,21,0.85,25,300,,31.536,1.73,0.0256,0,5,0.5,0.35,,0.05,5,0,5
MNNG-PH-STM_HW-NGA-BLR15,INDNGA,MNNG-PH-STM_HW,,,,0.09,0.009,21,0.87,25,350,,31.536,0.14,0.1388,0,5,0.5,0.35,,0.05,5,0,5
OTH-ELC-ELC-Tech15,INDELC,OTH-ELC,,,,0.259,0.259,1,1,1,0,,31.536,4.08,4.0838,1.3938,5,0.5,0.35,,1,5,0,5
OTH-DSL-DSL-Tech15,INDDSL,OTH-DSL,,,,0.257,0.257,1,1,1,0,,31.536,4.04,4.0376,1.3781,5,0.5,0.35,1,1,5,0,5
OTH-LPG-LPG-Tech15,INDLPG,OTH-LPG,,,,0.169,0.169,21,1,25,0,,31.536,2.65,2.6538,0.9058,5,0.5,0.35,1,1,5,0,5
OTH-COA-COA-Tech15,INDCOA,OTH-COA,,,,0.064,0.064,1,1,1,0,,31.536,1,1.0026,0.3422,5,0.5,0.35,,1,5,0,5
OTH-NGA-NGA-Tech15,INDNGA,OTH-NGA,,,,0.067,0.067,1,1,1,0,,31.536,1.06,1.0554,0,5,0.5,0.35,,0.05,5,0,5
OTH-PET-PET-Tech15,INDPET,OTH-PET,,,,0.004,0.004,1,1,1,0,,31.536,0.05,0.0501,0.0171,5,0.5,0.35,,1,5,0,5
OTH-BGS-BGS-Tech15,INDBIG,OTH-BGS,,,,0.03,0.003,21,1,25,0,,31.536,0.04,0.0397,0.0136,5,0.5,0.35,,1,5,0,5
OTH-FOL-FOL-Tech15,INDFOL,OTH-FOL,,,,0.001,0.001,21,1,25,0,,31.536,0.01,0.0083,0.0028,5,0.5,0.35,,1,5,0,5
CHMCL-PH-STM_HW-FOL-BLR15,INDFOL,CHMCL-PH-STM_HW,,,,0.013,0.013,21,0.85,25,300,,31.536,0.2,0.1972,0,5,0.5,0.35,0.042,0.05,5,0,5
CHMCL-PH-STM_HW-NGA-BLR15,INDNGA,CHMCL-PH-STM_HW,,,,0.289,0.289,21,0.87,25,350,,31.536,4.56,4.5554,0,5,0.5,0.35,0.959,0.05,5,0,5
CHMCL-MoTP-Stat-ELC-Mtr15,INDELC,CHMCL-MoTP-Stat,,,,0.067,0.067,6,0.675,10,280,,31.536,1.05,1.0479,0,5,0.5,0.35,0.91,0.05,5,0,5
CHMCL-MoTP-Stat-NGA-Pump15,INDNGA,CHMCL-MoTP-Stat,,,,0.007,0.007,6,0.1,10,462,,31.536,0.1,0.1038,0,5,0.5,0.35,0.091,0.05,5,0,5
CHMCL-PH-REFRM-NGA-REFRM15,INDNGA,CHMCL-PH-REFRM,,,,0.096,0.096,21,1,25,0,,31.536,1.51,1.5107,0,5,0.5,0.35,1,0.05,5,0,5
CHMCL-PH-DirH-NGA-Burner15,INDNGA,CHMCL-PH-DirH,,,,0.009,0.009,9,0.8,13,313,,31.536,0.23,0.2302,0,5,0.9,0.63,0.453,0.05,5,0,5
CHMCL-PH-DirH-ELC-Heater15,INDELC,CHMCL-PH-DirH,,,,0.01,0.01,3,0.999700089973008,3,80,,31.536,0.28,0.2785,0,5,0.9,0.63,,,,0,5
CHMCL-PH-FURN-FOL-Furn15,INDFOL,CHMCL-PH-FURN,,,,0.04,0.004,21,0.8,25,63,,31.536,0.11,0.1055,0,5,0.9,0.63,,,,0,5
CHMCL-PH-FURN-NGA-Furn15,INDNGA,CHMCL-PH-FURN,,,,0.009,0.009,21,0.8,25,63,,31.536,0.23,0.2296,0,5,0.9,0.63,,,,0,5
REFI-PH-FURN-NGA-Furn15,INDNGA,REFI-PH-FURN,,,,0.082,0.082,21,0.8,25,63,,31.536,2.31,2.3136,0,5,0.9,0.63,,,,0,5
REFI-MoTP-Stat-ELC-Mtr15,INDELC,REFI-MoTP-Stat,,,,0.04,0.04,6,0.675,10,280,,31.536,0.63,0.626,0,5,0.5,0.35,1,,5,0,5
REFI-PH-STM_HW-NGA-BLR15,INDNGA,REFI-PH-STM_HW,,,,0.027,0.027,21,0.87,25,350,,31.536,0.42,0.4176,0,5,0.5,0.35,1,0.05,5,0,5
UREA-FDSTCK-NGA-FDSTCK15,NGA,UREA-FDSTCK,,,,0.141,0.141,96,1,100,0,,31.536,3.99,3.9926,0,5,0.9,0.63,1,0.05,5,0,5
UREA-REFRM-NGA15,INDNGA,UREA-REFRM,,,,0.124,0.124,,1,100,0,,31.536,,3.5,0,5,0.9,,,,,0,5
WOOD-PH-STM_HW-COA-BLR15,INDCOA,WOOD-PH-STM_HW,,,,0.009,0.009,16,0.8,20,750,,31.536,0.14,0.1383810793026,0.0440189206973995,5,0.5,0.35,0.013,0.015,5,0,5
WOOD-PH-STM_HW-DSL-BLR15,INDDSL,WOOD-PH-STM_HW,,,,0.002,0.002,21,0.85,25,300,,31.536,0.03,0.0309536624755817,0.00984633752441831,5,0.5,0.35,0.003,0.004,5,0,5
WOOD-PH-STM_HW-ELC-BLR15,INDELC,WOOD-PH-STM_HW,,,,0.002,0.002,21,0.99,25,3750,,31.536,0.02,0.0168424339940665,0.00535756600593349,5,0.5,0.35,0.002,0.002,5,0,5
WOOD-PH-STM_HW-FOL-BLR15,INDFOL,WOOD-PH-STM_HW,,,,0.002,0.002,21,0.85,25,300,,31.536,0.02,0.0224565786587553,0.00714342134124466,5,0.5,0.35,0.003,0.003,5,0,5
WOOD-PH-STM_HW-GEO-Heat15,INDGEO,WOOD-PH-STM_HW,,,,0.035,0.035,6,0.970124,10,100,,31.536,0.54,0.5442,0,5,0.5,0.35,,,,0,5
WOOD-PH-STM_HW-NGA-BLR15,INDNGA,WOOD-PH-STM_HW,,,,0.031,0.031,21,0.87,25,350,,31.536,0.47,0.4744,0,5,0.5,0.35,0.044,0,5,0,5
WOOD-PH-STM_HW-WOD-BLR15,INDWOD,WOOD-PH-STM_HW,,,,0.649,0.614,21,0.85,25,2000,,31.536,10.2225,9.66861924807128,3.07558075192872,5,0.5,0.35,0.888,0.979,5,0,5
WOOD-Fan-ELC-Fan15,INDELC,WOOD-Fan,,,,8.208,4.572,5,43.4339175556657,5,404.591641485669,,31.536,129.422771173479,72.0863761628026,22.9306238371974,5,0.5,0.35,1,1,5,0,5
WOOD-MoTP-Stat-ELC-Mtr15,INDELC,WOOD-MoTP-Stat,,,,0.048,0.048,6,0.675,10,280,,31.536,0.75,0.749640046375546,0.238459953624454,5,0.5,0.35,1,1,5,0,5
WOOD-Refin-ELC-Refinery15,INDELC,WOOD-Refin,,,,0.023,0.012,6,1,10,0,,31.536,0.72,0.369699012851739,0.117600987148261,5,1,0.7,1,1,5,0,5
WOOD-Pump-ELC-Pump15,INDELC,WOOD-Pump,,,,0.015,0.015,6,0.75,10,2308,,31.536,0.23,0.234959540899207,0.0747404591007929,5,0.5,0.35,,1,5,0,5
WOOD-PH-FURN-NGA-Furn15,INDNGA,WOOD-PH-FURN,,,,0.08,0.008,21,0.8,25,63,,31.536,0.22,0.2194,0,5,0.9,0.63,,0.05,5,0,5
WOOD-AIR-ELC-CMPR15,INDELC,WOOD-AIR,,,,0.009,0.009,21,1,25,0,,31.536,0.19,0.187087577609766,0.0595124223902342,5,0.68,0.48,,1,5,0,5
PLPPPR-PH-STM_HW-COA-BLR15,INDCOA,PLPPPR-PH-STM_HW,,,,0.009,0.009,16,0.8,20,750,,31.536,0.13,0.1329,0.0194,5,0.5,0.35,,0.867,5,0,5
PLPPPR-PH-STM_HW-FOL-BLR15,INDFOL,PLPPPR-PH-STM_HW,,,,0.007,0.007,21,0.85,25,300,,31.536,0.1,0.0971,0.003,5,0.5,0.35,0.004,0.134,5,0,5
PLPPPR-PH-STM_HW-GEO-Heat15,INDGEO,PLPPPR-PH-STM_HW,,,,0.366,0.243,6,0.970124,10,100,,31.536,5.760248,3.8234,0,5,0.5,0.35,0.125,0,5,0,5
PLPPPR-PH-STM_HW-NGA-BLR15,INDNGA,PLPPPR-PH-STM_HW,,,,0.151,0.151,21,0.87,25,350,,31.536,2.37,2.3671,0,5,0.5,0.35,,0,5,0,5
PLPPPR-PH-STM_HW-WOD-BLR15,INDWOD,PLPPPR-PH-STM_HW,,,,1.548,1.548,21,0.85,25,2000,,31.536,24.4,24.4038,0,5,0.5,0.35,,0,5,0,5
PLPPPR-Refin-ELC-REF15,INDELC,PLPPPR-Refin,,,,0.073,0.073,6,1,10,0,,31.536,2.27,2.2727,0.0033,5,1,0.7,,1,5,0,5
PLPPPR-PH-FURN-NGA-Furn15,INDNGA,PLPPPR-PH-FURN,,,,0.028,0.028,21,0.8,25,63,,31.536,0.78,0.7775,0,5,0.9,0.63,,0.05,5,0,5
PLPPPR-Pump-ELC-Pump15,INDELC,PLPPPR-Pump,,,,0.14,0.04,6,0.75,10,2308,,31.536,2.2025,0.6236,0.0009,5,0.5,0.35,,1,5,0,5
PLPPPR-MoTP-Stat-ELC-Mtr15,INDELC,PLPPPR-MoTP-Stat,,,,0.029,0.029,6,0.675,10,280,,31.536,0.45,0.4504,0.0007,5,0.5,0.35,,1,5,0,5
PLPPPR-Fan-ELC-Fan15,INDELC,PLPPPR-Fan,,,,0.621,0.621,5,43.4339175556657,5,404.591641485669,,31.536,9.782,9.7816,0.0142,5,0.5,0.35,,1,5,0,5
PLPPPR-PH-DirH-NGA-Burner15,INDNGA,PLPPPR-PH-DirH,,,,0.006,0.006,9,0.8,13,313,,31.536,0.154,0.154,0,5,0.9,0.63,,0.05,5,0,5
PLPPPR-AIR-ELC-CMPR15,INDELC,PLPPPR-AIR,,,,0.04,0.004,21,1,25,0,,31.536,0.068,0.068,0.0001,5,0.68,0.48,,1,5,0,5
