TechName,*TechDesc,Comm-IN,Comm-OUT,EFF,AFA,AFA~LO,Life,CAP2ACT,INVCOST,FIXOM,Start,Flo_mark,CEFF,*Share-O,*Share-O~0,*FLO_MARK,*FLO_MARK~2030,*FLO_MARK~2050,*FLO_MARK~0
R_JDW-SH_DUCHP-ELC,Joined dwellings - Heat/Cooling Devices - Ducted Heat Pump (for Heating),RESELC,R_JDW-SH,3.75,0.082,0.0615,15,31.536,1200,,2020,,,,,,,,
R_JDW-SH_DUCHP-ELC,Joined dwellings - Heat/Cooling Devices - Ducted Heat Pump (for Cooling),RESELC,R_JDW-SH,3.45,0.0114,0.00855,15,31.536,1500,,2020,,,,,,,,
R_JDW-SH_MSHP-ELC,Joined dwellings - Heat/Cooling Devices - Multi-Split Heat Pump (for Heating),RESELC,R_JDW-SH,3.75,0.082,0.0615,15,31.536,703.125,,2020,,,,,,,,
R_JDW-SH_MSHP-ELC,Joined dwellings - Heat/Cooling Devices - Multi-Split Heat Pump (for Cooling),RESELC,R_JDW-SH,3.45,0.0114,0.00855,15,31.536,878.90625,,2020,,,,,,,,
R_JDW-SH_Centrgasheat-NGA,Joined dwellings - Heat/Cooling Devices - Centralised Gas Heating,RESNGA,R_JDW-SH,0.8,0.082,0.0615,30,31.536,1086,150,2020,,,,,,,,
R_JDW-WH_HWC-SOL,Joined dwellings - Heat/Cooling Devices - Hot Water Cylinder,RESSOL,R_JDW-WH,,0.083,,20,31.536,2121,,2020,,0.6,,,,,,
,,RESELC,,,,,,,,,,,1,,,,,,
R_JDW-WH_HWC-ELC,Joined dwellings - Heat/Cooling Devices - Hot Water Cylinder,RESELC,R_JDW-WH,1,0.0833,0.062475,20,31.536,757.6,,2020,,,,,,,,
R_JDW-WH_Gasheat-NGA,Joined dwellings - Heat/Cooling Devices - Gas Water Heater,RESNGA,R_JDW-WH,0.8,0.028,0.021,20,31.536,250,150,2020,,,,,,,,
R_JDW-WH_Gasheat-LPG,Joined dwellings - Heat/Cooling Devices - Gas Water Heater,RESLPG,R_JDW-WH,0.8,0.028,0.021,20,31.536,250,150,2020,,,,,,,,
R_JDW-WH_HP-ELC,Joined dwellings - Heat/Cooling Devices - Heat Pump (Water Heating),RESELC,R_JDW-WH,2,0.0833,0.062475,12,31.536,1818,,2020,,,,,,,,
R_JDW-RF_Refriger-ELC,Joined dwellings - Heat/Cooling Devices - Refrigeration systems,RESELC,R_JDW-RF,1.8,1,0.75,18,31.536,3280,,2020,,,,,,,,
R_JDW-CK_IndCook-ELC,Joined dwellings - Heat/Cooling Devices - Induction Cooktops,RESELC,R_JDW-CK,0.9,0.028,0.021,8,31.536,745.454545454545,,2020,,,,,,,,
R_JDW-DW_Dwash-ELC,Joined dwellings - Heat/Cooling Devices - Dishwashers,RESELC,R_JDW-DW,0.25,0.0416,0.0312,15,31.536,2640,,2020,,,,,,,,
R_JDW-CW_Washer-ELC,Joined dwellings - Heat/Cooling Devices - Clothes Washers,RESELC,R_JDW-CW,0.25,0.0416,0.0312,15,31.536,3994.66666666667,,2020,,,,,,,,
R_JDW-CD_Hpdryer-ELC,Joined dwellings - Heat/Cooling Devices - Heat Pump Dryer,RESELC,R_JDW-CD,1,0.0059,0.004425,15,31.536,2212,,2020,,,,,,,,
R_DDW-SH_RH-ELC,Detached dwellings - Heat/Cooling Devices - Resistance Heater,RESELC,R_DDW-SH,1,0.082,0.062,5,31.536,24,,2020,,,,,,,,
R_JDW-SH_RH-ELC,Joined dwellings - Heat/Cooling Devices - Resistance Heater,RESELC,R_JDW-SH,1,0.082,0.062,5,31.536,24,,2020,,,,,,,,
R_DDW-SH_Burner-WOD,Detached dwellings - Heat/Cooling Devices - Burner (Direct Heat),RESWOD,R_DDW-SH,0.6,0.082,0.062,20,31.536,373,,2020,,,,,,,,
R_DDW-SH_Burner-NGA,Detached dwellings - Heat/Cooling Devices - Burner (Direct Heat),RESNGA,R_DDW-SH,0.8,0.082,0.062,20,31.536,1260,150,2020,,,,,,,,
R_DDW-SH_Burner-LPG,Detached dwellings - Heat/Cooling Devices - Burner (Direct Heat),RESLPG,R_DDW-SH,0.8,0.082,0.062,20,31.536,1260,150,2020,,,,,,,,
R_JDW-SH_Burner-NGA,Joined dwellings - Heat/Cooling Devices - Burner (Direct Heat),RESNGA,R_JDW-SH,0.8,0.082,0.062,20,31.536,807,150,2020,,,,,,,,
R_JDW-SH_Burner-LPG,Joined dwellings - Heat/Cooling Devices - Burner (Direct Heat),RESLPG,R_JDW-SH,0.8,0.082,0.062,20,31.536,807,150,2020,,,,,,,,
