Csets,Region,CommName,* Fuel,* Enduse,CommDesc,* OLD CommDesc,Unit,LimType,CTSLvl,PeakTS,Ctype
DEM,,MNNG-PH-STM_HW,,Process Heat Steam/Hot Water,-:- Process Heat Steam/Hot Water,Mining - Process Heat: Steam/Hot Water,PJ,,DAYNITE,,
DEM,,OTH-ELC,,Other,-:- Other,Other - Other - Electricity,PJ,,DAYNITE,,
DEM,,OTH-DSL,,Other,-:- Other,Other - Other - Diesel,PJ,,DAYNITE,,
DEM,,OTH-LPG,,Other,-:- Other,Other - Other - LPG,PJ,,DAYNITE,,
DEM,,OTH-COA,,Other,-:- Other,Other - Other - Coal,PJ,,DAYNITE,,
DEM,,OTH-NGA,,Other,-:- Other,Other - Other - Natural Gas,PJ,,DAYNITE,,
DEM,,OTH-PET,,Other,-:- Other,Other - Other - Petrol,PJ,,DAYNITE,,
DEM,,OTH-BGS,,Other,-:- Other,Other - Other - Biogas,PJ,,DAYNITE,,
DEM,,OTH-FOL,,Other,-:- Other,Other - Other - Fuel Oil,PJ,,DAYNITE,,
DEM,,CHMCL-MoTP-Stat,,"Motive Power, Stationary","-:- Motive Power, Stationary","Petroleum/Chemicals - Motive Power, Stationary",PJ,,DAYNITE,,
DEM,,CHMCL-PH-DirH,,Process Heat Direct,-:- Process Heat Direct,Petroleum/Chemicals - Process Heat: Direct Heat,PJ,,DAYNITE,,
DEM,,CHMCL-PH-STM_HW,,Process Heat Steam/Hot Water,-:- Process Heat Steam/Hot Water,Petroleum/Chemicals - Process Heat: Steam/Hot Water,PJ,,DAYNITE,,
DEM,,CHMCL-PH-REFRM,,Process Heat Reforming,-:- Process Heat Reforming,Petroleum/Chemicals - Process Heat: Reformer,PJ,,DAYNITE,,
DEM,,CHMCL-PH-FURN,,Process Heat Furnace,-:- Process Heat Furnace,Petroleum/Chemicals - Process Heat: Furnace/Kiln,PJ,,DAYNITE,,
DEM,,REFI-MoTP-Stat,,"Motive Power, Stationary","-:- Motive Power, Stationary","Refining - Motive Power, Stationary",PJ,,DAYNITE,,
DEM,,REFI-PH-FURN,,Process Heat Furnace,-:- Process Heat Furnace,Refining - Process Heat: Furnace/Kiln,PJ,,DAYNITE,,
DEM,,REFI-PH-STM_HW,,Process Heat Steam/Hot Water,-:- Process Heat Steam/Hot Water,Refining - Process Heat: Steam/Hot Water,PJ,,DAYNITE,,
DEM,,UREA-FDSTCK,,Feedstock,-:- Feedstock,Urea - Urea production (feedstock),PJ,,DAYNITE,,
DEM,,UREA-REFRM,,Process Heat Reformer,-:- Process Heat Reformer,Urea - Urea production reformer,PJ,,DAYNITE,,
DEM,,WOOD-MoTP-Stat,,"Motive Power, Stationary","-:- Motive Power, Stationary","Wood products - Motive Power, Stationary",PJ,,DAYNITE,,
DEM,,WOOD-PH-FURN,,Process Heat Furnace,-:- Process Heat Furnace,Wood products - Process Heat: Furnace/Kiln,PJ,,DAYNITE,,
DEM,,WOOD-PH-STM_HW,,Process Heat Steam/Hot Water,-:- Process Heat Steam/Hot Water,Wood products - Process Heat: Steam/Hot Water,PJ,,DAYNITE,,
DEM,,WOOD-Pump,,Pumping,-:- Pumping,Wood products - Pumping,PJ,,DAYNITE,,
DEM,,WOOD-Fan,,Drying,-:- Drying,Wood products - Fans,PJ,,DAYNITE,,
DEM,,WOOD-Refin,,Wood/Pulp and Paper Refining,-:- Wood/Pulp and Paper Refining,Wood products - Refiners,PJ,,DAYNITE,,
DEM,,WOOD-AIR,,Compressed Air,-:- Compressed Air,Wood products - Compressed Air,PJ,,DAYNITE,,
DEM,,PLPPPR-MoTP-Stat,,"Motive Power, Stationary","-:- Motive Power, Stationary","Wood pulp and paper - Motive Power, Stationary",PJ,,DAYNITE,,
DEM,,PLPPPR-PH-DirH,,Process Heat Direct,-:- Process Heat Direct,Wood pulp and paper - Process Heat: Direct Heat,PJ,,DAYNITE,,
DEM,,PLPPPR-PH-FURN,,Process Heat Furnace,-:- Process Heat Furnace,Wood pulp and paper - Process Heat: Furnace/Kiln,PJ,,DAYNITE,,
DEM,,PLPPPR-PH-STM_HW,,Process Heat Steam/Hot Water,-:- Process Heat Steam/Hot Water,Wood pulp and paper - Process Heat: Steam/Hot Water,PJ,,DAYNITE,,
DEM,,PLPPPR-Pump,,Pumping,-:- Pumping,Wood pulp and paper - Pumping,PJ,,DAYNITE,,
DEM,,PLPPPR-Fan,,Fan,-:- Fan,Wood pulp and paper - Fans,PJ,,DAYNITE,,
DEM,,PLPPPR-Refin,,Wood/Pulp and Paper Refining,-:- Wood/Pulp and Paper Refining,Wood pulp and paper - Refiners,PJ,,DAYNITE,,
DEM,,PLPPPR-AIR,,Compressed Air,-:- Compressed Air,Wood pulp and paper - Compressed Air,PJ,,DAYNITE,,
