Technology,Scenario,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Land-Based Wind - Class 5 - Technology 1,Moderate,"$1,666","$1,786","$1,676","$1,569","$1,537","$1,505","$1,472","$1,440","$1,408","$1,393","$1,379","$1,364","$1,349","$1,335","$1,320","$1,305","$1,291","$1,276","$1,261","$1,247","$1,232","$1,217","$1,203","$1,188","$1,174","$1,159","$1,144","$1,130","$1,115"
Land-Based Wind - Class 5 - Technology 1,Conservative,"$1,666","$1,810","$1,721","$1,633","$1,622","$1,611","$1,599","$1,588","$1,577","$1,566","$1,555","$1,544","$1,533","$1,522","$1,511","$1,500","$1,489","$1,478","$1,467","$1,456","$1,445","$1,434","$1,423","$1,412","$1,401","$1,390","$1,379","$1,367","$1,356"
Land-Based Wind - Class 6 - Technology 1,Advanced,"$1,666","$1,777","$1,659","$1,544","$1,504","$1,463","$1,423","$1,382","$1,342","$1,325","$1,309","$1,292","$1,275","$1,259","$1,242","$1,226","$1,209","$1,193","$1,176","$1,159","$1,143","$1,126","$1,110","$1,093","$1,076","$1,060","$1,043","$1,027","$1,010"
Land-Based Wind - Class 6 - Technology 1,Moderate,"$1,666","$1,786","$1,676","$1,569","$1,537","$1,505","$1,472","$1,440","$1,408","$1,393","$1,379","$1,364","$1,349","$1,335","$1,320","$1,305","$1,291","$1,276","$1,261","$1,247","$1,232","$1,217","$1,203","$1,188","$1,174","$1,159","$1,144","$1,130","$1,115"
Land-Based Wind - Class 6 - Technology 1,Conservative,"$1,666","$1,810","$1,721","$1,633","$1,622","$1,611","$1,599","$1,588","$1,577","$1,566","$1,555","$1,544","$1,533","$1,522","$1,511","$1,500","$1,489","$1,478","$1,467","$1,456","$1,445","$1,434","$1,423","$1,412","$1,401","$1,390","$1,379","$1,367","$1,356"
Land-Based Wind - Class 7 - Technology 1,Advanced,"$1,666","$1,777","$1,659","$1,544","$1,504","$1,463","$1,423","$1,382","$1,342","$1,325","$1,309","$1,292","$1,275","$1,259","$1,242","$1,226","$1,209","$1,193","$1,176","$1,159","$1,143","$1,126","$1,110","$1,093","$1,076","$1,060","$1,043","$1,027","$1,010"
Land-Based Wind - Class 7 - Technology 1,Moderate,"$1,666","$1,795","$1,693","$1,593","$1,569","$1,545","$1,521","$1,497","$1,473","$1,455","$1,437","$1,419","$1,401","$1,383","$1,365","$1,348","$1,330","$1,312","$1,294","$1,276","$1,258","$1,240","$1,222","$1,204","$1,186","$1,169","$1,151","$1,133","$1,115"
Land-Based Wind - Class 7 - Technology 1,Conservative,"$1,666","$1,810","$1,721","$1,633","$1,622","$1,611","$1,599","$1,588","$1,577","$1,566","$1,555","$1,544","$1,533","$1,522","$1,511","$1,500","$1,489","$1,478","$1,467","$1,456","$1,445","$1,434","$1,423","$1,412","$1,401","$1,390","$1,379","$1,367","$1,356"
Land-Based Wind - Class 8 - Technology 2,Advanced,"$1,803","$1,916","$1,779","$1,647","$1,595","$1,543","$1,491","$1,439","$1,386","$1,369","$1,352","$1,334","$1,317","$1,300","$1,282","$1,265","$1,248","$1,230","$1,213","$1,196","$1,178","$1,161","$1,144","$1,126","$1,109","$1,092","$1,074","$1,057","$1,039"
Land-Based Wind - Class 8 - Technology 2,Moderate,"$1,803","$1,936","$1,818","$1,703","$1,670","$1,637","$1,603","$1,570","$1,537","$1,521","$1,505","$1,489","$1,473","$1,457","$1,442","$1,426","$1,410","$1,394","$1,378","$1,362","$1,346","$1,330","$1,315","$1,299","$1,283","$1,267","$1,251","$1,235","$1,219"
Land-Based Wind - Class 8 - Technology 2,Conservative,"$1,803","$1,958","$1,859","$1,761","$1,747","$1,733","$1,719","$1,705","$1,691","$1,679","$1,668","$1,656","$1,644","$1,632","$1,621","$1,609","$1,597","$1,586","$1,574","$1,562","$1,550","$1,539","$1,527","$1,515","$1,504","$1,492","$1,480","$1,468","$1,457"
Land-Based Wind - Class 9 - Technology 3,Advanced,"$1,735","$1,866","$1,756","$1,649","$1,620","$1,591","$1,562","$1,533","$1,504","$1,486","$1,467","$1,449","$1,430","$1,412","$1,393","$1,375","$1,356","$1,338","$1,319","$1,301","$1,282","$1,264","$1,245","$1,227","$1,208","$1,190","$1,171","$1,153","$1,134"
Land-Based Wind - Class 9 - Technology 3,Moderate,"$1,735","$1,871","$1,764","$1,660","$1,636","$1,611","$1,586","$1,561","$1,536","$1,520","$1,504","$1,488","$1,473","$1,457","$1,441","$1,425","$1,409","$1,394","$1,378","$1,362","$1,346","$1,331","$1,315","$1,299","$1,283","$1,267","$1,252","$1,236","$1,220"
Land-Based Wind - Class 9 - Technology 3,Conservative,"$1,735","$1,890","$1,801","$1,712","$1,704","$1,697","$1,689","$1,681","$1,674","$1,662","$1,650","$1,638","$1,626","$1,614","$1,601","$1,589","$1,577","$1,565","$1,553","$1,541","$1,529","$1,517","$1,505","$1,493","$1,481","$1,469","$1,457","$1,445","$1,433"
Land-Based Wind - Class 10 - Technology 4,Advanced,"$2,335","$2,471","$2,280","$2,098","$2,019","$1,940","$1,861","$1,782","$1,703","$1,681","$1,659","$1,637","$1,616","$1,594","$1,572","$1,550","$1,528","$1,506","$1,484","$1,462","$1,440","$1,418","$1,396","$1,374","$1,352","$1,330","$1,308","$1,287","$1,265"
Land-Based Wind - Class 10 - Technology 4,Moderate,"$2,335","$2,490","$2,317","$2,151","$2,090","$2,028","$1,967","$1,906","$1,844","$1,825","$1,806","$1,787","$1,768","$1,749","$1,730","$1,711","$1,692","$1,673","$1,654","$1,635","$1,616","$1,597","$1,578","$1,559","$1,540","$1,521","$1,501","$1,482","$1,463"
Land-Based Wind - Class 10 - Technology 4,Conservative,"$2,335","$2,535","$2,402","$2,272","$2,251","$2,230","$2,208","$2,187","$2,166","$2,151","$2,136","$2,122","$2,107","$2,092","$2,077","$2,062","$2,047","$2,032","$2,017","$2,002","$1,987","$1,972","$1,957","$1,942","$1,927","$1,912","$1,897","$1,882","$1,868"
Offshore Wind - Class 1,Advanced,"$5,493","$5,086","$4,846","$4,679","$4,208","$3,764","$3,337","$3,265","$3,202","$3,118","$3,047","$2,986","$2,932","$2,884","$2,852","$2,823","$2,795","$2,769","$2,745","$2,722","$2,700","$2,680","$2,660","$2,641","$2,624","$2,607","$2,590","$2,575","$2,560"
Offshore Wind - Class 1,Moderate,"$6,252","$6,049","$5,905","$5,794","$5,704","$5,629","$5,208","$4,794","$4,387","$3,955","$3,534","$3,479","$3,430","$3,387","$3,358","$3,331","$3,305","$3,282","$3,259","$3,238","$3,218","$3,199","$3,181","$3,164","$3,147","$3,131","$3,116","$3,102","$3,088"
Offshore Wind - Class 1,Conservative,"$7,592","$7,555","$7,521","$7,490","$7,462","$7,435","$7,410","$7,387","$6,844","$6,262","$5,689","$5,122","$4,561","$4,003","$3,979","$3,956","$3,935","$3,915","$3,896","$3,878","$3,861","$3,845","$3,830","$3,815","$3,801","$3,787","$3,775","$3,762","$3,750"
Offshore Wind - Class 2,Advanced,"$5,340","$4,945","$4,711","$4,548","$4,091","$3,659","$3,244","$3,174","$3,113","$3,031","$2,962","$2,903","$2,850","$2,804","$2,773","$2,744","$2,717","$2,692","$2,668","$2,646","$2,625","$2,605","$2,586","$2,568","$2,551","$2,534","$2,518","$2,503","$2,489"
Offshore Wind - Class 2,Moderate,"$6,078","$5,881","$5,741","$5,633","$5,546","$5,473","$5,063","$4,661","$4,265","$3,845","$3,436","$3,382","$3,335","$3,293","$3,264","$3,238","$3,213","$3,190","$3,168","$3,148","$3,128","$3,110","$3,092","$3,075","$3,059","$3,044","$3,029","$3,015","$3,002"
Offshore Wind - Class 2,Conservative,"$7,381","$7,345","$7,312","$7,282","$7,254","$7,228","$7,204","$7,181","$6,654","$6,088","$5,530","$4,979","$4,433","$3,892","$3,868","$3,846","$3,825","$3,806","$3,788","$3,770","$3,754","$3,738","$3,723","$3,709","$3,695","$3,682","$3,669","$3,657","$3,646"
Offshore Wind - Class 3,Advanced,"$5,572","$5,159","$4,916","$4,746","$4,268","$3,818","$3,385","$3,311","$3,248","$3,162","$3,091","$3,028","$2,974","$2,926","$2,893","$2,863","$2,835","$2,809","$2,784","$2,761","$2,739","$2,718","$2,698","$2,679","$2,661","$2,644","$2,628","$2,612","$2,597"
Offshore Wind - Class 3,Moderate,"$6,342","$6,136","$5,990","$5,877","$5,786","$5,710","$5,282","$4,863","$4,450","$4,012","$3,585","$3,529","$3,479","$3,435","$3,406","$3,378","$3,353","$3,329","$3,306","$3,284","$3,264","$3,245","$3,226","$3,209","$3,192","$3,176","$3,161","$3,146","$3,132"
Offshore Wind - Class 3,Conservative,"$7,701","$7,663","$7,629","$7,598","$7,569","$7,542","$7,517","$7,493","$6,942","$6,352","$5,770","$5,195","$4,626","$4,061","$4,036","$4,013","$3,991","$3,971","$3,952","$3,934","$3,917","$3,900","$3,885","$3,870","$3,855","$3,842","$3,829","$3,816","$3,804"
Offshore Wind - Class 4,Advanced,"$5,974","$5,532","$5,271","$5,088","$4,577","$4,094","$3,629","$3,551","$3,482","$3,391","$3,314","$3,247","$3,189","$3,137","$3,102","$3,070","$3,040","$3,012","$2,985","$2,960","$2,937","$2,914","$2,893","$2,873","$2,854","$2,835","$2,817","$2,800","$2,784"
Offshore Wind - Class 4,Moderate,"$6,800","$6,579","$6,422","$6,302","$6,204","$6,122","$5,664","$5,214","$4,772","$4,301","$3,844","$3,784","$3,731","$3,684","$3,652","$3,622","$3,595","$3,569","$3,545","$3,522","$3,500","$3,479","$3,459","$3,441","$3,423","$3,406","$3,389","$3,373","$3,358"
Offshore Wind - Class 4,Conservative,"$8,257","$8,217","$8,180","$8,147","$8,115","$8,087","$8,060","$8,034","$7,444","$6,811","$6,187","$5,571","$4,960","$4,354","$4,328","$4,303","$4,280","$4,258","$4,237","$4,218","$4,200","$4,182","$4,165","$4,149","$4,134","$4,119","$4,105","$4,092","$4,079"
Offshore Wind - Class 5,Advanced,"$6,285","$5,819","$5,544","$5,353","$4,814","$4,306","$3,818","$3,735","$3,663","$3,567","$3,486","$3,416","$3,354","$3,300","$3,263","$3,229","$3,198","$3,168","$3,140","$3,114","$3,089","$3,066","$3,043","$3,022","$3,002","$2,982","$2,964","$2,946","$2,929"
Offshore Wind - Class 5,Moderate,"$7,153","$6,921","$6,756","$6,629","$6,526","$6,440","$5,958","$5,485","$5,019","$4,525","$4,043","$3,980","$3,924","$3,875","$3,842","$3,811","$3,782","$3,754","$3,729","$3,705","$3,682","$3,660","$3,639","$3,619","$3,600","$3,582","$3,565","$3,548","$3,532"
Offshore Wind - Class 5,Conservative,"$8,686","$8,644","$8,605","$8,570","$8,537","$8,507","$8,478","$8,452","$7,830","$7,164","$6,508","$5,860","$5,218","$4,580","$4,552","$4,526","$4,502","$4,479","$4,457","$4,437","$4,418","$4,399","$4,382","$4,365","$4,349","$4,333","$4,318","$4,304","$4,290"
Offshore Wind - Class 6,Advanced,"$6,063","$5,614","$5,349","$5,164","$4,644","$4,154","$3,683","$3,603","$3,534","$3,441","$3,363","$3,295","$3,236","$3,183","$3,148","$3,116","$3,085","$3,056","$3,030","$3,004","$2,980","$2,958","$2,936","$2,915","$2,896","$2,877","$2,859","$2,842","$2,825"
Offshore Wind - Class 6,Moderate,"$6,901","$6,677","$6,518","$6,395","$6,296","$6,213","$5,748","$5,292","$4,842","$4,365","$3,901","$3,840","$3,786","$3,738","$3,706","$3,676","$3,648","$3,622","$3,597","$3,574","$3,552","$3,531","$3,511","$3,492","$3,473","$3,456","$3,439","$3,423","$3,408"
Offshore Wind - Class 6,Conservative,"$8,380","$8,339","$8,302","$8,267","$8,236","$8,206","$8,179","$8,153","$7,554","$6,911","$6,279","$5,653","$5,034","$4,419","$4,392","$4,367","$4,343","$4,321","$4,300","$4,280","$4,262","$4,244","$4,227","$4,211","$4,195","$4,180","$4,166","$4,152","$4,139"
Offshore Wind - Class 7,Advanced,"$6,411","$5,936","$5,656","$5,460","$4,911","$4,393","$3,894","$3,810","$3,737","$3,639","$3,556","$3,485","$3,422","$3,366","$3,329","$3,294","$3,262","$3,232","$3,203","$3,177","$3,151","$3,127","$3,105","$3,083","$3,062","$3,042","$3,023","$3,005","$2,988"
Offshore Wind - Class 7,Moderate,"$7,297","$7,060","$6,892","$6,762","$6,658","$6,570","$6,078","$5,595","$5,120","$4,616","$4,124","$4,060","$4,003","$3,953","$3,919","$3,887","$3,858","$3,830","$3,804","$3,779","$3,756","$3,733","$3,712","$3,692","$3,673","$3,654","$3,637","$3,620","$3,603"
Offshore Wind - Class 7,Conservative,"$8,861","$8,818","$8,778","$8,742","$8,709","$8,678","$8,649","$8,622","$7,988","$7,308","$6,639","$5,978","$5,323","$4,672","$4,644","$4,617","$4,593","$4,569","$4,547","$4,526","$4,506","$4,488","$4,470","$4,452","$4,436","$4,420","$4,405","$4,391","$4,377"
Offshore Wind - Class 8,Advanced,$0,$0,$0,$0,$0,$0,$0,$0,"$5,512","$4,841","$4,463","$4,206","$4,014","$3,863","$3,532","$3,314","$3,155","$3,030","$2,929","$2,843","$2,770","$2,707","$2,650","$2,600","$2,554","$2,513","$2,475","$2,440","$2,407"
Offshore Wind - Class 8,Moderate,$0,$0,$0,$0,$0,$0,$0,$0,"$7,990","$6,864","$6,038","$5,759","$5,548","$5,380","$5,009","$4,762","$4,578","$4,433","$4,314","$4,214","$4,127","$4,052","$3,984","$3,923","$3,868","$3,818","$3,772","$3,729","$3,690"
Offshore Wind - Class 8,Conservative,$0,$0,$0,$0,$0,$0,$0,$0,"$12,503","$11,187","$10,160","$9,256","$8,421","$7,628","$7,233","$6,965","$6,764","$6,604","$6,471","$6,359","$6,261","$6,175","$6,098","$6,029","$5,966","$5,908","$5,855","$5,805","$5,759"
Offshore Wind - Class 9,Advanced,$0,$0,$0,$0,$0,$0,$0,$0,"$5,865","$5,150","$4,749","$4,475","$4,271","$4,110","$3,758","$3,526","$3,356","$3,224","$3,116","$3,025","$2,948","$2,880","$2,820","$2,766","$2,718","$2,674","$2,633","$2,596","$2,561"
Offshore Wind - Class 9,Moderate,$0,$0,$0,$0,$0,$0,$0,$0,"$8,501","$7,303","$6,424","$6,127","$5,903","$5,725","$5,330","$5,066","$4,871","$4,717","$4,590","$4,484","$4,392","$4,311","$4,239","$4,174","$4,116","$4,063","$4,013","$3,968","$3,926"
Offshore Wind - Class 9,Conservative,$0,$0,$0,$0,$0,$0,$0,$0,"$13,303","$11,903","$10,810","$9,849","$8,960","$8,116","$7,696","$7,410","$7,196","$7,026","$6,885","$6,766","$6,662","$6,570","$6,489","$6,415","$6,348","$6,286","$6,230","$6,177","$6,128"
Offshore Wind - Class 10,Advanced,$0,$0,$0,$0,$0,$0,$0,$0,"$6,034","$5,299","$4,886","$4,604","$4,394","$4,228","$3,866","$3,628","$3,453","$3,317","$3,206","$3,113","$3,033","$2,963","$2,901","$2,846","$2,796","$2,751","$2,709","$2,671","$2,635"
Offshore Wind - Class 10,Moderate,$0,$0,$0,$0,$0,$0,$0,$0,"$8,746","$7,514","$6,609","$6,304","$6,074","$5,890","$5,484","$5,212","$5,011","$4,853","$4,723","$4,613","$4,518","$4,435","$4,361","$4,295","$4,235","$4,180","$4,129","$4,083","$4,039"
Offshore Wind - Class 10,Conservative,$0,$0,$0,$0,$0,$0,$0,$0,"$13,687","$12,247","$11,122","$10,133","$9,218","$8,351","$7,918","$7,624","$7,404","$7,229","$7,084","$6,961","$6,854","$6,760","$6,676","$6,600","$6,531","$6,468","$6,409","$6,355","$6,305"
Offshore Wind - Class 11,Advanced,$0,$0,$0,$0,$0,$0,$0,$0,"$6,220","$5,463","$5,036","$4,746","$4,530","$4,359","$3,985","$3,740","$3,560","$3,419","$3,305","$3,209","$3,126","$3,054","$2,991","$2,934","$2,882","$2,836","$2,793","$2,753","$2,716"
Offshore Wind - Class 11,Moderate,$0,$0,$0,$0,$0,$0,$0,$0,"$9,016","$7,746","$6,813","$6,499","$6,261","$6,072","$5,653","$5,373","$5,166","$5,003","$4,869","$4,755","$4,658","$4,572","$4,496","$4,427","$4,365","$4,309","$4,257","$4,209","$4,164"
Offshore Wind - Class 11,Conservative,$0,$0,$0,$0,$0,$0,$0,$0,"$14,109","$12,624","$11,465","$10,446","$9,503","$8,608","$8,162","$7,859","$7,632","$7,452","$7,303","$7,176","$7,065","$6,968","$6,882","$6,804","$6,732","$6,667","$6,607","$6,551","$6,499"
Offshore Wind - Class 12,Advanced,$0,$0,$0,$0,$0,$0,$0,$0,"$6,478","$5,689","$5,245","$4,943","$4,718","$4,539","$4,150","$3,895","$3,707","$3,561","$3,442","$3,342","$3,256","$3,181","$3,115","$3,055","$3,002","$2,953","$2,908","$2,867","$2,829"
Offshore Wind - Class 12,Moderate,$0,$0,$0,$0,$0,$0,$0,$0,"$9,390","$8,067","$7,096","$6,768","$6,520","$6,323","$5,887","$5,596","$5,380","$5,210","$5,070","$4,952","$4,851","$4,761","$4,682","$4,611","$4,546","$4,487","$4,433","$4,383","$4,336"
Offshore Wind - Class 12,Conservative,$0,$0,$0,$0,$0,$0,$0,$0,"$14,694","$13,148","$11,940","$10,878","$9,897","$8,965","$8,500","$8,185","$7,949","$7,761","$7,605","$7,473","$7,358","$7,257","$7,167","$7,085","$7,011","$6,944","$6,881","$6,823","$6,769"
Offshore Wind - Class 13,Advanced,$0,$0,$0,$0,$0,$0,$0,$0,"$7,217","$6,338","$5,843","$5,507","$5,256","$5,057","$4,624","$4,339","$4,130","$3,967","$3,834","$3,723","$3,627","$3,544","$3,470","$3,404","$3,344","$3,290","$3,240","$3,194","$3,152"
Offshore Wind - Class 13,Moderate,$0,$0,$0,$0,$0,$0,$0,$0,"$10,461","$8,987","$7,905","$7,540","$7,264","$7,045","$6,559","$6,234","$5,994","$5,804","$5,649","$5,517","$5,404","$5,305","$5,216","$5,137","$5,065","$4,999","$4,939","$4,883","$4,831"
Offshore Wind - Class 13,Conservative,$0,$0,$0,$0,$0,$0,$0,$0,"$16,370","$14,647","$13,303","$12,119","$11,026","$9,988","$9,470","$9,119","$8,856","$8,646","$8,473","$8,326","$8,198","$8,085","$7,985","$7,894","$7,811","$7,736","$7,666","$7,601","$7,541"
Offshore Wind - Class 14,Advanced,$0,$0,$0,$0,$0,$0,$0,$0,"$7,842","$6,887","$6,350","$5,984","$5,711","$5,496","$5,025","$4,715","$4,488","$4,311","$4,167","$4,046","$3,942","$3,851","$3,771","$3,699","$3,634","$3,575","$3,521","$3,471","$3,425"
Offshore Wind - Class 14,Moderate,$0,$0,$0,$0,$0,$0,$0,$0,"$11,368","$9,766","$8,590","$8,193","$7,894","$7,655","$7,127","$6,775","$6,513","$6,307","$6,138","$5,996","$5,872","$5,764","$5,668","$5,582","$5,504","$5,432","$5,367","$5,306","$5,250"
Offshore Wind - Class 14,Conservative,$0,$0,$0,$0,$0,$0,$0,$0,"$17,789","$15,917","$14,456","$13,170","$11,981","$10,853","$10,291","$9,909","$9,623","$9,395","$9,207","$9,047","$8,908","$8,786","$8,677","$8,578","$8,488","$8,406","$8,330","$8,260","$8,194"
Utility PV - Class 1,Advanced,"$1,483","$1,611","$1,534","$1,456","$1,379","$1,302","$1,224","$1,147","$1,070",$992,$915,$838,$760,$683,$675,$667,$659,$651,$643,$635,$627,$619,$611,$603,$595,$587,$579,$571,$563
Utility PV - Class 1,Moderate,"$1,483","$1,611","$1,551","$1,492","$1,432","$1,372","$1,313","$1,253","$1,193","$1,134","$1,074","$1,015",$955,$895,$881,$867,$853,$839,$825,$810,$796,$782,$768,$754,$740,$725,$711,$697,$683
Utility PV - Class 1,Conservative,"$1,483","$1,611","$1,576","$1,541","$1,505","$1,470","$1,435","$1,400","$1,365","$1,330","$1,295","$1,260","$1,224","$1,189","$1,170","$1,150","$1,130","$1,111","$1,091","$1,072","$1,052","$1,032","$1,013",$993,$974,$954,$935,$915,$895
Utility PV - Class 2,Advanced,"$1,483","$1,611","$1,534","$1,456","$1,379","$1,302","$1,224","$1,147","$1,070",$992,$915,$838,$760,$683,$675,$667,$659,$651,$643,$635,$627,$619,$611,$603,$595,$587,$579,$571,$563
Utility PV - Class 2,Moderate,"$1,483","$1,611","$1,551","$1,492","$1,432","$1,372","$1,313","$1,253","$1,193","$1,134","$1,074","$1,015",$955,$895,$881,$867,$853,$839,$825,$810,$796,$782,$768,$754,$740,$725,$711,$697,$683
Utility PV - Class 2,Conservative,"$1,483","$1,611","$1,576","$1,541","$1,505","$1,470","$1,435","$1,400","$1,365","$1,330","$1,295","$1,260","$1,224","$1,189","$1,170","$1,150","$1,130","$1,111","$1,091","$1,072","$1,052","$1,032","$1,013",$993,$974,$954,$935,$915,$895
Utility PV - Class 3,Advanced,"$1,483","$1,611","$1,534","$1,456","$1,379","$1,302","$1,224","$1,147","$1,070",$992,$915,$838,$760,$683,$675,$667,$659,$651,$643,$635,$627,$619,$611,$603,$595,$587,$579,$571,$563
Utility PV - Class 3,Moderate,"$1,483","$1,611","$1,551","$1,492","$1,432","$1,372","$1,313","$1,253","$1,193","$1,134","$1,074","$1,015",$955,$895,$881,$867,$853,$839,$825,$810,$796,$782,$768,$754,$740,$725,$711,$697,$683
Utility PV - Class 3,Conservative,"$1,483","$1,611","$1,576","$1,541","$1,505","$1,470","$1,435","$1,400","$1,365","$1,330","$1,295","$1,260","$1,224","$1,189","$1,170","$1,150","$1,130","$1,111","$1,091","$1,072","$1,052","$1,032","$1,013",$993,$974,$954,$935,$915,$895
Utility PV - Class 4,Advanced,"$1,483","$1,611","$1,534","$1,456","$1,379","$1,302","$1,224","$1,147","$1,070",$992,$915,$838,$760,$683,$675,$667,$659,$651,$643,$635,$627,$619,$611,$603,$595,$587,$579,$571,$563
Utility PV - Class 4,Moderate,"$1,483","$1,611","$1,551","$1,492","$1,432","$1,372","$1,313","$1,253","$1,193","$1,134","$1,074","$1,015",$955,$895,$881,$867,$853,$839,$825,$810,$796,$782,$768,$754,$740,$725,$711,$697,$683
Utility PV - Class 4,Conservative,"$1,483","$1,611","$1,576","$1,541","$1,505","$1,470","$1,435","$1,400","$1,365","$1,330","$1,295","$1,260","$1,224","$1,189","$1,170","$1,150","$1,130","$1,111","$1,091","$1,072","$1,052","$1,032","$1,013",$993,$974,$954,$935,$915,$895
Utility PV - Class 5,Advanced,"$1,483","$1,611","$1,534","$1,456","$1,379","$1,302","$1,224","$1,147","$1,070",$992,$915,$838,$760,$683,$675,$667,$659,$651,$643,$635,$627,$619,$611,$603,$595,$587,$579,$571,$563
Utility PV - Class 5,Moderate,"$1,483","$1,611","$1,551","$1,492","$1,432","$1,372","$1,313","$1,253","$1,193","$1,134","$1,074","$1,015",$955,$895,$881,$867,$853,$839,$825,$810,$796,$782,$768,$754,$740,$725,$711,$697,$683
Utility PV - Class 5,Conservative,"$1,483","$1,611","$1,576","$1,541","$1,505","$1,470","$1,435","$1,400","$1,365","$1,330","$1,295","$1,260","$1,224","$1,189","$1,170","$1,150","$1,130","$1,111","$1,091","$1,072","$1,052","$1,032","$1,013",$993,$974,$954,$935,$915,$895
