TimeSlice,Attribute,NI,SI,Cset_Set,Cset_CN,Year
SUM-WK-D,COM_FR,0,0,DEM,"ADCF*Mob*,-ADCF*Mob-Trac*",2020
SUM-WK-N,COM_FR,0.2365667,0.2365667,DEM,"ADCF*Mob*,-ADCF*Mob-Trac*",2020
SUM-WK-P,COM_FR,0,0,DEM,"ADCF*Mob*,-ADCF*Mob-Trac*",2020
SUM-WE-D,COM_FR,0,0,DEM,"ADCF*Mob*,-ADCF*Mob-Trac*",2020
SUM-WE-N,COM_FR,0.0941333,0.0941333,DEM,"ADCF*Mob*,-ADCF*Mob-Trac*",2020
SUM-WE-P,COM_FR,0,0,DEM,"ADCF*Mob*,-ADCF*Mob-Trac*",2020
FAL-WK-D,COM_FR,0,0,DEM,"ADCF*Mob*,-ADCF*Mob-Trac*",2020
FAL-WK-N,COM_FR,0.2402667,0.2402667,DEM,"ADCF*Mob*,-ADCF*Mob-Trac*",2020
FAL-WK-P,COM_FR,0,0,DEM,"ADCF*Mob*,-ADCF*Mob-Trac*",2020
FAL-WE-D,COM_FR,0,0,DEM,"ADCF*Mob*,-ADCF*Mob-Trac*",2020
FAL-WE-N,COM_FR,0.0957333,0.0957333,DEM,"ADCF*Mob*,-ADCF*Mob-Trac*",2020
FAL-WE-P,COM_FR,0,0,DEM,"ADCF*Mob*,-ADCF*Mob-Trac*",2020
WIN-WK-D,COM_FR,0,0,DEM,"ADCF*Mob*,-ADCF*Mob-Trac*",2020
WIN-WK-N,COM_FR,0,0,DEM,"ADCF*Mob*,-ADCF*Mob-Trac*",2020
WIN-WK-P,COM_FR,0,0,DEM,"ADCF*Mob*,-ADCF*Mob-Trac*",2020
WIN-WE-D,COM_FR,0,0,DEM,"ADCF*Mob*,-ADCF*Mob-Trac*",2020
WIN-WE-N,COM_FR,0,0,DEM,"ADCF*Mob*,-ADCF*Mob-Trac*",2020
WIN-WE-P,COM_FR,0,0,DEM,"ADCF*Mob*,-ADCF*Mob-Trac*",2020
SPR-WK-D,COM_FR,0,0,DEM,"ADCF*Mob*,-ADCF*Mob-Trac*",2020
SPR-WK-N,COM_FR,0.2382667,0.2382667,DEM,"ADCF*Mob*,-ADCF*Mob-Trac*",2020
SPR-WK-P,COM_FR,0,0,DEM,"ADCF*Mob*,-ADCF*Mob-Trac*",2020
SPR-WE-D,COM_FR,0,0,DEM,"ADCF*Mob*,-ADCF*Mob-Trac*",2020
SPR-WE-N,COM_FR,0.0950333,0.0950333,DEM,"ADCF*Mob*,-ADCF*Mob-Trac*",2020
SPR-WE-P,COM_FR,0,0,DEM,"ADCF*Mob*,-ADCF*Mob-Trac*",2020
SUM-WK-D,COM_FR,0.10715,0.10715,DEM,"ALIVE*Mob-Trac*,AHORT*Mob-Trac*",2020
SUM-WK-N,COM_FR,0.1063483,0.1063483,DEM,"ALIVE*Mob-Trac*,AHORT*Mob-Trac*",2020
SUM-WK-P,COM_FR,0,0,DEM,"ALIVE*Mob-Trac*,AHORT*Mob-Trac*",2020
SUM-WE-D,COM_FR,0.04236,0.04236,DEM,"ALIVE*Mob-Trac*,AHORT*Mob-Trac*",2020
SUM-WE-N,COM_FR,0.04236,0.04236,DEM,"ALIVE*Mob-Trac*,AHORT*Mob-Trac*",2020
SUM-WE-P,COM_FR,0,0,DEM,"ALIVE*Mob-Trac*,AHORT*Mob-Trac*",2020
FAL-WK-D,COM_FR,0.10812,0.10812,DEM,"ALIVE*Mob-Trac*,AHORT*Mob-Trac*",2020
FAL-WK-N,COM_FR,0.10812,0.10812,DEM,"ALIVE*Mob-Trac*,AHORT*Mob-Trac*",2020
FAL-WK-P,COM_FR,0,0,DEM,"ALIVE*Mob-Trac*,AHORT*Mob-Trac*",2020
FAL-WE-D,COM_FR,0.04308,0.04308,DEM,"ALIVE*Mob-Trac*,AHORT*Mob-Trac*",2020
FAL-WE-N,COM_FR,0.04308,0.04308,DEM,"ALIVE*Mob-Trac*,AHORT*Mob-Trac*",2020
FAL-WE-P,COM_FR,0,0,DEM,"ALIVE*Mob-Trac*,AHORT*Mob-Trac*",2020
WIN-WK-D,COM_FR,0.0357167,0.0357167,DEM,"ALIVE*Mob-Trac*,AHORT*Mob-Trac*",2020
WIN-WK-N,COM_FR,0.035455,0.035455,DEM,"ALIVE*Mob-Trac*,AHORT*Mob-Trac*",2020
WIN-WK-P,COM_FR,0,0,DEM,"ALIVE*Mob-Trac*,AHORT*Mob-Trac*",2020
WIN-WE-D,COM_FR,0.01412,0.01412,DEM,"ALIVE*Mob-Trac*,AHORT*Mob-Trac*",2020
WIN-WE-N,COM_FR,0.01412,0.01412,DEM,"ALIVE*Mob-Trac*,AHORT*Mob-Trac*",2020
WIN-WE-P,COM_FR,0,0,DEM,"ALIVE*Mob-Trac*,AHORT*Mob-Trac*",2020
SPR-WK-D,COM_FR,0.10722,0.10722,DEM,"ALIVE*Mob-Trac*,AHORT*Mob-Trac*",2020
SPR-WK-N,COM_FR,0.10722,0.10722,DEM,"ALIVE*Mob-Trac*,AHORT*Mob-Trac*",2020
SPR-WK-P,COM_FR,0,0,DEM,"ALIVE*Mob-Trac*,AHORT*Mob-Trac*",2020
SPR-WE-D,COM_FR,0.042765,0.042765,DEM,"ALIVE*Mob-Trac*,AHORT*Mob-Trac*",2020
SPR-WE-N,COM_FR,0.042765,0.042765,DEM,"ALIVE*Mob-Trac*,AHORT*Mob-Trac*",2020
SPR-WE-P,COM_FR,0,0,DEM,"ALIVE*Mob-Trac*,AHORT*Mob-Trac*",2020
SUM-WK-D,COM_FR,0,0,DEM,"A*Mob*, -ADCF*Mob*,-ALIVE*Mob-Trac*,-AHORT*Mob-Trac*,-A*CY*,-A*GB*",2020
SUM-WK-N,COM_FR,0.2135,0.2135,DEM,"A*Mob*, -ADCF*Mob*,-ALIVE*Mob-Trac*,-AHORT*Mob-Trac*,-A*CY*,-A*GB*",2020
SUM-WK-P,COM_FR,0,0,DEM,"A*Mob*, -ADCF*Mob*,-ALIVE*Mob-Trac*,-AHORT*Mob-Trac*,-A*CY*,-A*GB*",2020
SUM-WE-D,COM_FR,0,0,DEM,"A*Mob*, -ADCF*Mob*,-ALIVE*Mob-Trac*,-AHORT*Mob-Trac*,-A*CY*,-A*GB*",2020
SUM-WE-N,COM_FR,0.08472,0.08472,DEM,"A*Mob*, -ADCF*Mob*,-ALIVE*Mob-Trac*,-AHORT*Mob-Trac*,-A*CY*,-A*GB*",2020
SUM-WE-P,COM_FR,0,0,DEM,"A*Mob*, -ADCF*Mob*,-ALIVE*Mob-Trac*,-AHORT*Mob-Trac*,-A*CY*,-A*GB*",2020
FAL-WK-D,COM_FR,0,0,DEM,"A*Mob*, -ADCF*Mob*,-ALIVE*Mob-Trac*,-AHORT*Mob-Trac*,-A*CY*,-A*GB*",2020
FAL-WK-N,COM_FR,0.21624,0.21624,DEM,"A*Mob*, -ADCF*Mob*,-ALIVE*Mob-Trac*,-AHORT*Mob-Trac*,-A*CY*,-A*GB*",2020
FAL-WK-P,COM_FR,0,0,DEM,"A*Mob*, -ADCF*Mob*,-ALIVE*Mob-Trac*,-AHORT*Mob-Trac*,-A*CY*,-A*GB*",2020
FAL-WE-D,COM_FR,0,0,DEM,"A*Mob*, -ADCF*Mob*,-ALIVE*Mob-Trac*,-AHORT*Mob-Trac*,-A*CY*,-A*GB*",2020
FAL-WE-N,COM_FR,0.08616,0.08616,DEM,"A*Mob*, -ADCF*Mob*,-ALIVE*Mob-Trac*,-AHORT*Mob-Trac*,-A*CY*,-A*GB*",2020
FAL-WE-P,COM_FR,0,0,DEM,"A*Mob*, -ADCF*Mob*,-ALIVE*Mob-Trac*,-AHORT*Mob-Trac*,-A*CY*,-A*GB*",2020
WIN-WK-D,COM_FR,0,0,DEM,"A*Mob*, -ADCF*Mob*,-ALIVE*Mob-Trac*,-AHORT*Mob-Trac*,-A*CY*,-A*GB*",2020
WIN-WK-N,COM_FR,0.07117,0.07117,DEM,"A*Mob*, -ADCF*Mob*,-ALIVE*Mob-Trac*,-AHORT*Mob-Trac*,-A*CY*,-A*GB*",2020
WIN-WK-P,COM_FR,0,0,DEM,"A*Mob*, -ADCF*Mob*,-ALIVE*Mob-Trac*,-AHORT*Mob-Trac*,-A*CY*,-A*GB*",2020
WIN-WE-D,COM_FR,0,0,DEM,"A*Mob*, -ADCF*Mob*,-ALIVE*Mob-Trac*,-AHORT*Mob-Trac*,-A*CY*,-A*GB*",2020
WIN-WE-N,COM_FR,0.02824,0.02824,DEM,"A*Mob*, -ADCF*Mob*,-ALIVE*Mob-Trac*,-AHORT*Mob-Trac*,-A*CY*,-A*GB*",2020
WIN-WE-P,COM_FR,0,0,DEM,"A*Mob*, -ADCF*Mob*,-ALIVE*Mob-Trac*,-AHORT*Mob-Trac*,-A*CY*,-A*GB*",2020
SPR-WK-D,COM_FR,0,0,DEM,"A*Mob*, -ADCF*Mob*,-ALIVE*Mob-Trac*,-AHORT*Mob-Trac*,-A*CY*,-A*GB*",2020
SPR-WK-N,COM_FR,0.21444,0.21444,DEM,"A*Mob*, -ADCF*Mob*,-ALIVE*Mob-Trac*,-AHORT*Mob-Trac*,-A*CY*,-A*GB*",2020
SPR-WK-P,COM_FR,0,0,DEM,"A*Mob*, -ADCF*Mob*,-ALIVE*Mob-Trac*,-AHORT*Mob-Trac*,-A*CY*,-A*GB*",2020
SPR-WE-D,COM_FR,0,0,DEM,"A*Mob*, -ADCF*Mob*,-ALIVE*Mob-Trac*,-AHORT*Mob-Trac*,-A*CY*,-A*GB*",2020
SPR-WE-N,COM_FR,0.08553,0.08553,DEM,"A*Mob*, -ADCF*Mob*,-ALIVE*Mob-Trac*,-AHORT*Mob-Trac*,-A*CY*,-A*GB*",2020
SPR-WE-P,COM_FR,0,0,DEM,"A*Mob*, -ADCF*Mob*,-ALIVE*Mob-Trac*,-AHORT*Mob-Trac*,-A*CY*,-A*GB*",2020
