TechName,*TechDesc,Comm-IN,Comm-OUT,START,EFF,EFF~2030,EFF~2050,CEFF,CEFF~2030,CEFF~2050,*Share-O~UP,*Share~UP~2050,Life,INVCOST,INVCOST~2030,INVCOST~2050,FIXOM,AFA,FLO_MARK~2030,FLO_MARK~2050,FLO_MARK~0
C_HLTH-WH_Cylinder-LPG,Healthcare Hot Water Cylinder LPG,COMLPG,C_HLTH-WH,2020,0.6,,,,,,,,15,526.6667,,,0,0.45625,0.1,0.1,3
C_HLTH-WH_Instant-NGA,Healthcare Instant NGA,COMNGA,C_HLTH-WH,2020,0.65,,,,,,,,15,49.23077,,,0,0.45625,0.1,0.05,3
C_HLTH-WH_Instant-LPG,Healthcare Instant LPG,COMLPG,C_HLTH-WH,2020,0.65,,,,,,,,15,49.23077,,,0,0.45625,0.05,0.05,3
C_HLTH-WH_Instant-ELC,Healthcare Instant ELC,COMELC,C_HLTH-WH,2020,0.85,,,,,,,,15,842.3529,,,0,0.45625,0.1,0.2,3
C_HLTH-PH_RH-ELC,Healthcare Resistance Heater ELC,COMELC,C_HLTH-PH,2020,0.99,,,,,,,,10,80.80808,,,0,0.45625,0.6,1,3
C_HLTH-MPM_-DSL,Healthcare Motive power - mobile DSL,COMDSL,C_HLTH-MPM,2020,0.16,,,,,,,,20,929,,,7,0.05,0.6492,0.6492,3
C_HLTH-MPM_-PET,Healthcare Motive power - mobile PET,COMPET,C_HLTH-MPM,2020,0.14,,,,,,,,20,900,,,7,0.05,0.3508,0.3508,3
C_HLTH-MPM_-LPG,Healthcare Motive power - mobile LPG,COMLPG,C_HLTH-MPM,2020,0.14,,,,,,,,20,900,,,7,0.05,0,0,3
C_HLTH-MPM_-ELC,Healthcare Motive power - mobile ELC,COMELC,C_HLTH-MPM,2020,0.99,,,,,,,,10,188.8889,,,0,0.05,0.5,1,3
C_HLTH-MPM_-H2R,Healthcare Motive power - mobile H2R,COMH2R,C_HLTH-MPM,2020,0.5,0.6,0.65,,,,,,10,876,832.2,815.556,2,0.05,0.1,0.5,3
C_HLTH-MPS_-DSL,Healthcare Motive power Stationary DSL,COMDSL,C_HLTH-MPS,2020,0.16,,,,,,,,20,937.5,,,5,0.45625,,,
C_HLTH-MPS_-PET,Healthcare Motive power Stationary PET,COMPET,C_HLTH-MPS,2020,0.14,,,,,,,,20,1071.429,,,5,0.45625,,,
C_HLTH-MPS_-LPG,Healthcare Motive power Stationary LPG,COMLPG,C_HLTH-MPS,2020,0.14,,,,,,,,20,1071.429,,,5,0.45625,,,
C_HLTH-MPS_-ELC,Healthcare Motive power Stationary ELC,COMELC,C_HLTH-MPS,2020,0.86,0.9,0.92,,,,,,10,217.4419,,,0,0.45625,,,
C_HLTH-MPS_-H2R,Healthcare Motive power Stationary H2R,COMH2R,C_HLTH-MPS,2020,0.5,0.6,0.65,,,,,,10,876,832.2,815.556,2,0.45625,,,
C_HLTH-RF_Refriger-ELC,Healthcare Refrigeration Systems ELC,COMELC,C_HLTH-RF,2020,1.8,,,,,,,,8,4166.667,,,5,0.45625,,,
C_HLTH-SC_AIRHP-ELC,Healthcare Heat Pump Air Source (for Cooling) ELC,COMELC,C_HLTH-SC,2020,3.5,4,4.5,,,,,,10,490.8571,466.3143,456.988,0,0.228125,,,
C_HLTH-SC_GHP-ELC,Healthcare Heat Pump Ground Source (for Cooling) ELC,COMELC,C_HLTH-SC,2020,3.5,4,4.5,,,,,,10,1071.429,1017.857,997.5,0,0.228125,,,
\I:,,,,2020,,,,,,,,,,,,,,,,,
C_OFFC-OTH_EELC-ELC,Office Blocks Electronics ELC,COMELC,C_OFFC-OTH,2020,0.9,0.95,0.96,,,,,,4,5555.556,,,0,0.447543,,,
C_OFFC-LT_INC-ELC,Office Blocks Lighting Incandescent ELC,COMELC,C_OFFC-LT,2020,0.015,,,,,,,,1,2933.333,,,0,0.447543,,,
C_OFFC-LT_FLU-ELC,Office Blocks Lighting Fluorescent ELC,COMELC,C_OFFC-LT,2020,0.135,,,,,,,,5,4933.333,,,0,0.447543,,,
C_OFFC-LT_LED-ELC,Office Blocks Lighting LED ELC,COMELC,C_OFFC-LT,2020,0.25,0.28,0.29,,,,,,20,8000,,,0,0.447543,,,
C_OFFC-SH_Boiler-COA,Office Blocks Boiler Systems COA,COMCOA,C_OFFC-SH,2020,0.75,,,,,,,,25,1066.667,,,15,0.1,0.0112,0,3
C_OFFC-SH_Boiler-DSL,Office Blocks Boiler Systems DSL,COMDSL,C_OFFC-SH,2020,0.85,,,,,,,,25,447.0588,,,3,0.1,0.1,0,3
C_OFFC-SH_Boiler-FOL,Office Blocks Boiler Systems FOL,COMFOL,C_OFFC-SH,2020,0.84,,,,,,,,25,452.381,,,3,0.1,0.0064,0,3
C_OFFC-SH_Boiler-LPG,Office Blocks Boiler Systems LPG,COMLPG,C_OFFC-SH,2020,0.85,,,,,,,,25,294.1176,,,2,0.1,0.1,0.1,3
C_OFFC-SH_Boiler-NGA,Office Blocks Boiler Systems NGA,COMNGA,C_OFFC-SH,2020,0.85,,,,,,,,25,294.1176,,,2,0.1,0.2391,0.2391,3
C_OFFC-SH_Boiler-WOD,Office Blocks Boiler Systems WOD,COMWOD,C_OFFC-SH,2020,0.85,,,,,,,,30,1058.824,,,10,0.1,0.1,0.3,3
C_OFFC-SH_Boiler-PLT,Office Blocks Boiler Systems PLT,COMPLT,C_OFFC-SH,2020,0.92,,,,,,,,30,978.2609,,,10,0.1,0.1,0.3,3
C_OFFC-SH_Boiler-ELC,Office Blocks Boiler Systems ELC,COMELC,C_OFFC-SH,2020,0.99,,,,,,,,30,252.5253,,,2,0.1,0.1,0.3,3
C_OFFC-SH_Boiler-BIG,Office Blocks Boiler Systems BIG,COMBIG,C_OFFC-SH,2020,0.85,,,,,,,,25,294.1176,,,2,0.1,0,0,3
C_OFFC-SH_Boiler-H2R,Office Blocks Boiler Systems H2R,COMH2R,C_OFFC-SH,2020,0.75,,,,,,,,25,366.6667,,,2,0.1,0,0,3
C_OFFC-WH_Boiler-COA,Office Blocks Boiler Systems COA,COMCOA,C_OFFC-WH,2020,0.75,,,,,,,,25,1066.667,,,15,0.447543,0.0008,0,3
C_OFFC-WH_Boiler-DSL,Office Blocks Boiler Systems DSL,COMDSL,C_OFFC-WH,2020,0.85,,,,,,,,25,447.0588,,,3,0.447543,0,0,3
C_OFFC-WH_Boiler-FOL,Office Blocks Boiler Systems FOL,COMFOL,C_OFFC-WH,2020,0.84,,,,,,,,25,452.381,,,3,0.447543,0.0002,0,3
C_OFFC-WH_Boiler-LPG,Office Blocks Boiler Systems LPG,COMLPG,C_OFFC-WH,2020,0.85,,,,,,,,25,294.1176,,,2,0.447543,0.1,0.1,3
C_OFFC-WH_Boiler-NGA,Office Blocks Boiler Systems NGA,COMNGA,C_OFFC-WH,2020,0.85,,,,,,,,25,294.1176,,,2,0.447543,0.1,0.1,3
C_OFFC-WH_Boiler-WOD,Office Blocks Boiler Systems WOD,COMWOD,C_OFFC-WH,2020,0.85,,,,,,,,30,1058.824,,,10,0.447543,0.1,0.3,3
C_OFFC-WH_Boiler-PLT,Office Blocks Boiler Systems PLT,COMPLT,C_OFFC-WH,2020,0.92,,,,,,,,30,978.2609,,,10,0.447543,0.1,0.3,3
C_OFFC-WH_Boiler-ELC,Office Blocks Boiler Systems ELC,COMELC,C_OFFC-WH,2020,0.99,,,,,,,,30,252.5253,,,2,0.447543,0.1,0.2,3
C_OFFC-WH_Boiler-BIG,Office Blocks Boiler Systems BIG,COMBIG,C_OFFC-WH,2020,0.85,,,,,,,,25,294.1176,,,2,0.447543,0,0,3
C_OFFC-WH_Boiler-H2R,Office Blocks Boiler Systems H2R,COMH2R,C_OFFC-WH,2020,0.75,,,,,,,,25,366.6667,,,2,0.447543,0,0,3
C_OFFC-SH_AirHP-ELC,Office Blocks Heat Pump Air Source (for Heating) ELC,COMELC,C_OFFC-SH,2020,,,,3.5,4,4.5,1,,20,490.8571,466.3143,456.988,0,0.1,0.8,1,3
\I:,,,C_OFFC-SC,,,,,3,3.5,4,1,,,,,,,,,,
C_OFFC-SH_GHP-ELC,Office Blocks Heat Pump Ground Source (for Heating) ELC,COMELC,C_OFFC-SH,2020,,,,3.5,4,4.5,1,,20,1846,1753.7,1718.626,0,0.1,0.8,1,3
\I:,,,C_OFFC-SC,,,,,3,3.5,4,1,,,,,,,,,,
C_OFFC-SH_RH-ELC,Office Blocks Resistance Heater ELC,COMELC,C_OFFC-SH,2020,0.99,,,,,,,,10,80.80808,,,0,0.1,0.3,0.2,3
C_OFFC-WH_AirHP-ELC,Office Blocks Heat Pump Air Source (for Heating) ELC,COMELC,C_OFFC-WH,2020,2.5,3.5,4,,,,,,20,1500,1425,1396.5,0,0.447543,0.8,1,3
C_OFFC-WH_GHP-ELC,Office Blocks Heat Pump Ground Source (for Heating) ELC,COMELC,C_OFFC-WH,2020,2.5,3.5,4,,,,,,20,1846,1753.7,1718.626,0,0.447543,0.8,1,3
C_OFFC-WH_Cylinder-ELC,Office Blocks Hot Water Cylinder ELC,COMELC,C_OFFC-WH,2020,0.9,,,,,,,,15,727.7778,,,0,0.447543,0.4929,0.4929,3
C_OFFC-WH_Cylinder-NGA,Office Blocks Hot Water Cylinder NGA,COMNGA,C_OFFC-WH,2020,0.6,,,,,,,,15,526.6667,,,0,0.447543,0.0513,0.0513,3
C_OFFC-WH_Cylinder-LPG,Office Blocks Hot Water Cylinder LPG,COMLPG,C_OFFC-WH,2020,0.6,,,,,,,,15,526.6667,,,0,0.447543,0.01,0.01,3
C_OFFC-WH_Instant-NGA,Office Blocks Instant NGA,COMNGA,C_OFFC-WH,2020,0.65,,,,,,,,15,49.23077,,,0,0.447543,0.2,0.2,3
C_OFFC-WH_Instant-LPG,Office Blocks Instant LPG,COMLPG,C_OFFC-WH,2020,0.65,,,,,,,,15,49.23077,,,0,0.447543,0.05,0.1,3
C_OFFC-WH_Instant-ELC,Office Blocks Instant ELC,COMELC,C_OFFC-WH,2020,0.85,,,,,,,,15,842.3529,,,0,0.447543,0.1,0.2,3
C_OFFC-MPM_-DSL,Office Blocks Motive power - mobile DSL,COMDSL,C_OFFC-MPM,2020,0.16,,,,,,,,20,929,,,7,0.1,,,
C_OFFC-MPM_-PET,Office Blocks Motive power - mobile PET,COMPET,C_OFFC-MPM,2020,0.14,,,,,,,,20,900,,,7,0.1,,,
C_OFFC-MPM_-LPG,Office Blocks Motive power - mobile LPG,COMLPG,C_OFFC-MPM,2020,0.14,,,,,,,,20,900,,,7,0.1,,,
C_OFFC-MPM_-ELC,Office Blocks Motive power - mobile ELC,COMELC,C_OFFC-MPM,2020,0.99,,,,,,,,10,188.8889,,,0,0.1,,,
C_OFFC-MPM_-H2R,Office Blocks Motive power - mobile H2R,COMH2R,C_OFFC-MPM,2020,0.5,0.6,0.65,,,,,,10,876,832.2,815.556,2,0.1,0,0.3,3
C_OFFC-MPS_-DSL,Office Blocks Motive power Stationary DSL,COMDSL,C_OFFC-MPS,2020,0.16,,,,,,,,20,937.5,,,5,0.447543,,,
C_OFFC-MPS_-PET,Office Blocks Motive power Stationary PET,COMPET,C_OFFC-MPS,2020,0.14,,,,,,,,20,1071.429,,,5,0.447543,,,
C_OFFC-MPS_-LPG,Office Blocks Motive power Stationary LPG,COMLPG,C_OFFC-MPS,2020,0.14,,,,,,,,20,1071.429,,,5,0.447543,,,
