TechName,*TechDesc,Comm-IN,Comm-OUT,Year,Start,LIFE,AFA,AFA~LO,CAP2ACT,EFF,EFF~2020,EFF~2025,EFF~2030,EFF~2035,EFF~2040,EFF~2045,EFF~2050,EFF~2055,EFF~2060,INVCOST,INVCOST~2020,INVCOST~2025,INVCOST~2030,INVCOST~2035,INVCOST~2040,INVCOST~2045,INVCOST~2050,INVCOST~2055,INVCOST~2060,FLO_MARK,FLO_MARK~2050,FLO_MARK~0,FLO_DELIV
DARY-PH-MVR_DRY-NGA-Boiler,New Dairy - Process Heat: MVR Drying  - Natural Gas,INDNGA,DARY-PH-MVR_DRY,2018,2020,25,0.68,0.476,31.536,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,250,250,250,250,250,250,250,250,250,250,,,,
DARY-PH-MVR_DRY-WOD-Boiler,New Dairy - Process Heat: MVR Drying  - Wood,INDWOD,DARY-PH-MVR_DRY,2018,2020,25,0.68,0.476,31.536,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,,,,
DARY-PH-MVR_DRY-ELC-Boiler,New Dairy - Process Heat: MVR Drying  - Electricity,INDELC,DARY-PH-MVR_DRY,2018,2020,25,0.68,0.476,31.536,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,370.494333333333,370.494333333333,250,250,250,250,250,250,250,250,,,,
DARY-PH-MVR_PRE-COA-Boiler,New Dairy - Process Heat: MVR Evaporation Preheat  - Coal,INDCOA,DARY-PH-MVR_PRE,2018,2020,25,0.68,0.476,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,750,750,750,750,750,750,750,750,750,750,0,,,
DARY-PH-MVR_PRE-NGA-Boiler,New Dairy - Process Heat: MVR Evaporation Preheat  - Natural Gas,INDNGA,DARY-PH-MVR_PRE,2018,2020,25,0.68,0.476,31.536,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,250,250,250,250,250,250,250,250,250,250,,,,
DARY-PH-MVR_PRE-WOD-Boiler,New Dairy - Process Heat: MVR Evaporation Preheat  - Wood,INDWOD,DARY-PH-MVR_PRE,2018,2020,25,0.68,0.476,31.536,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,,,,
DARY-PH-MVR_PRE-ELC-Boiler,New Dairy - Process Heat: MVR Evaporation Preheat  - Electricity,INDELC,DARY-PH-MVR_PRE,2018,2020,25,0.68,0.476,31.536,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,370.494333333333,370.494333333333,250,250,250,250,250,250,250,250,,,,
DARY-PH-MVR_PRE-ELC-Fan,New Dairy - Process Heat: MVR Evaporation Preheat  - Electricity,INDELC,DARY-PH-MVR_PRE,2018,2020,25,0.68,0.476,31.536,51.77,51.77,51.77,51.77,51.77,51.77,51.77,51.77,51.77,51.77,27761,536.237203013328,536.237203013328,536.237203013328,536.237203013328,536.237203013328,536.237203013328,536.237203013328,536.237203013328,536.237203013328,0.453,,5,
DARY-PH-TVR_EVP-COA-Boiler,New Dairy - Process Heat: TVR Evaporation  - Coal,INDCOA,DARY-PH-TVR_EVP,2018,2020,25,0.68,0.476,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,750,750,750,750,750,750,750,750,750,750,0,,,
DARY-PH-TVR_EVP-NGA-Boiler,New Dairy - Process Heat: TVR Evaporation  - Natural Gas,INDNGA,DARY-PH-TVR_EVP,2018,2020,25,0.68,0.476,31.536,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,250,250,250,250,250,250,250,250,250,250,,,,
DARY-PH-TVR_EVP-ELC-Fan,New Dairy - Process Heat: TVR Evaporation  - Electricity,INDELC,DARY-PH-TVR_EVP,2018,2020,25,0.68,0.476,31.536,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,2872,710.891089108911,710.891089108911,710.891089108911,710.891089108911,710.891089108911,710.891089108911,710.891089108911,710.891089108911,710.891089108911,0.893,,5,
DARY-PH-TVR_EVP-WOD-Boiler,New Dairy - Process Heat: TVR Evaporation  - Wood,INDWOD,DARY-PH-TVR_EVP,2018,2020,25,0.68,0.476,31.536,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,,,,
DARY-PH-TVR_EVP-ELC-Boiler,New Dairy - Process Heat: TVR Evaporation  - Electricity,INDELC,DARY-PH-TVR_EVP,2018,2020,25,0.68,0.476,31.536,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,370.494333333333,370.494333333333,250,250,250,250,250,250,250,250,,,,
DARY-PH-TVR_DRY-WOD-Boiler,New Dairy - Process Heat: TVR Drying  - Wood,INDWOD,DARY-PH-TVR_DRY,2018,2020,25,0.68,0.476,31.536,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,,,,
DARY-PH-TVR_DRY-ELC-Boiler,New Dairy - Process Heat: TVR Drying  - Electricity,INDELC,DARY-PH-TVR_DRY,2018,2020,25,0.68,0.476,31.536,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,370.494333333333,370.494333333333,250,250,250,250,250,250,250,250,,,,
DARY-PH-TVR_DRY-ELC-HPmp,New Dairy - Process Heat: TVR Drying  - Electricity,INDELC,DARY-PH-TVR_DRY,2018,2020,20,0.68,0.476,31.536,3,3,3,3,3,3,3,3,3,3,2281,2281,2281,2281,2281,2281,2281,2281,2281,2281,0.298,,5,
DARY-PH-TVR_DRY-ELC-HRCVR,New Dairy - Process Heat: TVR Drying  - Electricity,INDELC,DARY-PH-TVR_DRY,2018,2020,20,0.68,0.476,31.536,9.64,9.64,9.64,9.64,9.64,9.64,9.64,9.64,9.64,9.64,427,427,427,427,427,427,427,427,427,427,0.424,,5,
DARY-PH-TVR_DRY-COA-Boiler,New Dairy - Process Heat: TVR Drying  - Coal,INDCOA,DARY-PH-TVR_DRY,2018,2020,25,0.68,0.476,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,750,750,750,750,750,750,750,750,750,750,0,,,
DARY-PH-TVR_DRY-NGA-Boiler,New Dairy - Process Heat: TVR Drying  - Natural Gas,INDNGA,DARY-PH-TVR_DRY,2018,2020,25,0.68,0.476,31.536,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,250,250,250,250,250,250,250,250,250,250,,,,
DARY-PH-MVR_TVR-COA-Boiler,New Dairy - Process Heat: MVR Evaporation TVR  - Coal,INDCOA,DARY-PH-MVR_TVR,2018,2020,25,0.68,0.476,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,750,750,750,750,750,750,750,750,750,750,0,,,
DARY-PH-MVR_TVR-NGA-Boiler,New Dairy - Process Heat: MVR Evaporation TVR  - Natural Gas,INDNGA,DARY-PH-MVR_TVR,2018,2020,25,0.68,0.476,31.536,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,250,250,250,250,250,250,250,250,250,250,,,,
DARY-PH-MVR_TVR-WOD-Boiler,New Dairy - Process Heat: MVR Evaporation TVR  - Wood,INDWOD,DARY-PH-MVR_TVR,2018,2020,25,0.68,0.476,31.536,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,,,,
DARY-PH-MVR_TVR-ELC-Boiler,New Dairy - Process Heat: MVR Evaporation TVR  - Electricity,INDELC,DARY-PH-MVR_TVR,2018,2020,25,0.68,0.476,31.536,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,370.494333333333,370.494333333333,250,250,250,250,250,250,250,250,,,,
DARY-PH-MVR_TVR-ELC-Fan,New Dairy - Process Heat: MVR Evaporation TVR  - Electricity,INDELC,DARY-PH-MVR_TVR,2018,2020,25,0.68,0.476,31.536,18.02,18.02,18.02,18.02,18.02,18.02,18.02,18.02,18.02,18.02,975.19422863485,975.19422863485,975.19422863485,975.19422863485,975.19422863485,975.19422863485,975.19422863485,975.19422863485,975.19422863485,975.19422863485,,,,
DARY-PH-MVR_Fan-ELC-Fan,New Dairy - Process Heat: MVR Fan  - Electricity,INDELC,DARY-PH-MVR_Fan,2018,2020,25,0.68,0.476,31.536,43.4339175556657,43.4339175556657,43.4339175556657,43.4339175556657,43.4339175556657,43.4339175556657,43.4339175556657,43.4339175556657,43.4339175556657,43.4339175556657,404.591641485669,404.591641485669,404.591641485669,404.591641485669,404.591641485669,404.591641485669,404.591641485669,404.591641485669,404.591641485669,404.591641485669,,,,
DARY-PH-STM_HW-DSL-Boiler,New Dairy - Process Heat: Steam/Hot Water  - Diesel,INDDSL,DARY-PH-STM_HW,2018,2020,25,0.68,0.476,31.536,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,300,300,300,300,300,300,300,300,300,300,,,,
DARY-PH-STM_HW-GEO-Heat,New Dairy - Process Heat: Steam/Hot Water  - Geothermal,INDGEO,DARY-PH-STM_HW,2018,2020,10,0.68,0.476,31.536,0.970124,0.970124,0.970124,0.970124,0.970124,0.970124,0.970124,0.970124,0.970124,0.970124,100,100,100,100,100,100,100,100,100,100,0,0.1,5,
DARY-PH-STM_HW-LPG-Boiler,New Dairy - Process Heat: Steam/Hot Water  - LPG,INDLPG,DARY-PH-STM_HW,2018,2020,25,0.68,0.476,31.536,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,350,350,350,350,350,350,350,350,350,350,,,,
DARY-PH-STM_HW-ELC-Boiler,New Dairy - Process Heat: Steam/Hot Water  - Electricity,INDELC,DARY-PH-STM_HW,2018,2020,25,0.5,0.35,31.536,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,370.494333333333,370.494333333333,250,250,250,250,250,250,250,250,1,,5,
DARY-PH-STM_HW-WOD-Boiler,New Dairy - Process Heat: Steam/Hot Water  - Wood,INDWOD,DARY-PH-STM_HW,2018,2020,25,0.5,0.35,31.536,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,,,,
DARY-PH-STM_HW-ELC-HPmp,New Dairy - Process Heat: Steam/Hot Water  - Electricity,INDELC,DARY-PH-STM_HW,2018,2020,20,0.5,0.35,31.536,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,0.6,,5,
DARY-Pump-ELC-Pump,New Dairy - Pumping  - Electricity,INDELC,DARY-Pump,2018,2020,10,0.5,0.35,31.536,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,2308,2308,2308,2308,2308,2308,2308,2308,2308,2308,,,,
DARY-Pump-DSL-Pump,New Dairy - Pumping  - Diesel,INDDSL,DARY-Pump,2018,2020,10,0.5,0.35,31.536,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,462,462,462,462,462,462,462,462,462,462,,,,
DARY-RFGR-ELC-Refriger,New Dairy - Refrigeration  - Electricity,INDELC,DARY-RFGR,2018,2020,1,1,0.7,31.536,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,
FOOD-MoTP-Stat-PET-st_ngn,"New Food - Motive Power, Stationary  - Petrol",INDPET,FOOD-MoTP-Stat,2018,2020,15,0.5,0.35,31.536,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,350,350,350,350,350,350,350,350,350,350,0,,,
FOOD-MoTP-Stat-DSL-st_ngn,"New Food - Motive Power, Stationary  - Diesel",INDDSL,FOOD-MoTP-Stat,2018,2020,20,0.5,0.35,31.536,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,455,455,455,455,455,455,455,455,455,455,0,,,
FOOD-MoTP-Stat-ELC-Motor,"New Food - Motive Power, Stationary  - Electricity",INDELC,FOOD-MoTP-Stat,2018,2020,10,0.5,0.35,31.536,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,280,280,280,280,280,280,280,280,280,280,,,,
FOOD-MoTP-Stat-ELC-VSD-Mtr,"New Food - Motive Power, Stationary  - Electricity",INDELC,FOOD-MoTP-Stat,2018,2020,10,0.5,0.35,31.536,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,336,336,336,336,336,336,336,336,336,336,0.5,,5,
FOOD-PH-DirH-NGA-Burner,New Food - Process Heat: Direct Heat  - Natural Gas,INDNGA,FOOD-PH-DirH,2018,2020,13,0.9,0.63,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,313,313,313,313,313,313,313,313,313,313,0,,,
FOOD-PH-DirH-ELC-Heater,New Food - Process Heat: Direct Heat  - Electricity,INDELC,FOOD-PH-DirH,2018,2020,3,0.9,0.63,31.536,0.999700089973008,0.999700089973008,0.999700089973008,0.999700089973008,0.999700089973008,0.999700089973008,0.999700089973008,0.999700089973008,0.999700089973008,0.999700089973008,80,80,80,80,80,80,80,80,80,80,,,,
FOOD-PH-OVN-NGA-Oven,New Food - Process Heat: Oven  - Natural Gas,INDNGA,FOOD-PH-OVN,2018,2020,10,0.9,0.63,31.536,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,100,100,100,100,100,100,100,100,100,100,,,,
FOOD-PH-OVN-ELC-Oven,New Food - Process Heat: Oven  - Electricity,INDELC,FOOD-PH-OVN,2018,2020,10,0.9,0.63,31.536,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,100,100,100,100,100,100,100,100,100,100,,,,
FOOD-PH-OVN-COA-Oven,New Food - Process Heat: Oven  - Coal,INDCOA,FOOD-PH-OVN,2018,2020,10,0.9,0.63,31.536,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,100,100,100,100,100,100,100,100,100,100,0,,,
FOOD-PH-STM_HW-WOD-Boiler,New Food - Process Heat: Steam/Hot Water  - Wood,INDWOD,FOOD-PH-STM_HW,2018,2020,25,0.5,0.35,31.536,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,,,,
FOOD-PH-STM_HW-BGS-Heat,New Food - Process Heat: Steam/Hot Water  - Biogas,INDBIG,FOOD-PH-STM_HW,2018,2020,10,0.5,0.35,31.536,0.970124,0.970124,0.970124,0.970124,0.970124,0.970124,0.970124,0.970124,0.970124,0.970124,100,100,100,100,100,100,100,100,100,100,0.05,,5,
FOOD-PH-STM_HW-ELC-HPmp,New Food - Process Heat: Steam/Hot Water  - Electricity,INDELC,FOOD-PH-STM_HW,2018,2020,20,0.5,0.35,31.536,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,0.1,,5,
FOOD-PH-STM_HW-FOL-Heat,New Food - Process Heat: Steam/Hot Water  - Fuel Oil,INDFOL,FOOD-PH-STM_HW,2018,2020,25,0.5,0.35,31.536,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,300,300,300,300,300,300,300,300,300,300,0.05,,5,
FOOD-PH-STM_HW-DSL-Boiler,New Food - Process Heat: Steam/Hot Water  - Diesel,INDDSL,FOOD-PH-STM_HW,2018,2020,25,0.68,0.476,31.536,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,300,300,300,300,300,300,300,300,300,300,0,,,
FOOD-PH-STM_HW-LPG-Heat,New Food - Process Heat: Steam/Hot Water  - LPG,INDLPG,FOOD-PH-STM_HW,2018,2020,25,0.5,0.35,31.536,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,350,350,350,350,350,350,350,350,350,350,0.05,,5,
FOOD-PH-STM_HW-COA-Boiler,New Food - Process Heat: Steam/Hot Water  - Coal,INDCOA,FOOD-PH-STM_HW,2018,2020,25,0.68,0.476,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,750,750,750,750,750,750,750,750,750,750,0,,,
FOOD-PH-STM_HW-NGA-Boiler,New Food - Process Heat: Steam/Hot Water  - Natural Gas,INDNGA,FOOD-PH-STM_HW,2018,2020,25,0.68,0.476,31.536,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,250,250,250,250,250,250,250,250,250,250,0.8,0.4,5,
FOOD-PH-STM_HW-ELC-Boiler,New Food - Process Heat: Steam/Hot Water  - Electricity,INDELC,FOOD-PH-STM_HW,2018,2020,25,0.5,0.35,31.536,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,370.494333333333,370.494333333333,250,250,250,250,250,250,250,250,1,,5,
FOOD-PH-STM_HW-ELC-MWO,New Food - Process Heat: Steam/Hot Water  - Electricity,INDELC,FOOD-PH-STM_HW,2018,2020,25,0.68,0.476,31.536,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,0.05,,5,
FOOD-PH-STM_HW-ELC-ELCTECH,New Food - Process Heat: Steam/Hot Water  - Electricity,INDELC,FOOD-PH-STM_HW,2018,2020,25,0.68,0.476,31.536,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,0.05,,5,
FOOD-Pump-ELC-Pump,New Food - Pumping  - Electricity,INDELC,FOOD-Pump,2018,2020,10,0.5,0.35,31.536,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,2308,2308,2308,2308,2308,2308,2308,2308,2308,2308,,,,
FOOD-Pump-DSL-Pump,New Food - Pumping  - Diesel,INDDSL,FOOD-Pump,2018,2020,10,0.5,0.35,31.536,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,462,462,462,462,462,462,462,462,462,462,,,,
FOOD-RFGR-ELC-Refriger,New Food - Refrigeration  - Electricity,INDELC,FOOD-RFGR,2018,2020,1,1,0.7,31.536,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,
IIS-FDSTCK-COA-_,New Iron/Steel - Steel production (feedstock)  - Coal,COA,IIS-FDSTCK,2018,2020,100,0.9,,31.536,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,
IIS-MoTP-Stat-DSL-st_ngn,"New Iron/Steel - Motive Power, Stationary  - Diesel",INDDSL,IIS-MoTP-Stat,2018,2020,20,0.5,,31.536,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,455,455,455,455,455,455,455,455,455,455,0,,,
IIS-MoTP-Stat-ELC-Motor,"New Iron/Steel - Motive Power, Stationary  - Electricity",INDELC,IIS-MoTP-Stat,2018,2020,10,0.5,,31.536,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,280,280,280,280,280,280,280,280,280,280,,,,
IIS-MoTP-Stat-PET-st_ngn,"New Iron/Steel - Motive Power, Stationary  - Petrol",INDPET,IIS-MoTP-Stat,2018,2020,15,0.5,,31.536,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,350,350,350,350,350,350,350,350,350,350,0,,,
IIS-MoTP-Stat-ELC-VSD-Mtr,"New Iron/Steel - Motive Power, Stationary  - Electricity",INDELC,IIS-MoTP-Stat,2018,2020,10,0.5,,31.536,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,336,336,336,336,336,336,336,336,336,336,0.5,,5,
IIS-PH-FURN-COA-Furn,New Iron/Steel - Process Heat: Furnace/Kiln  - Coal,INDCOA,IIS-PH-FURN,2018,2020,25,0.9,,31.536,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,63,63,63,63,63,63,63,63,63,63,0,,5,
IIS-PH-FURN-ELC-Furn,New Iron/Steel - Process Heat: Furnace/Kiln  - Electricity,INDELC,IIS-PH-FURN,2018,2020,25,0.9,,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,63,63,63,63,63,63,63,63,63,63,,,,
IIS-PH-FURN-NGA-Furn,New Iron/Steel - Process Heat: Furnace/Kiln  - Natural Gas,INDNGA,IIS-PH-FURN,2018,2020,25,0.9,0.63,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,63,63,63,63,63,63,63,63,63,63,0,,5,
IIS-PH-FURN-WOD-Furn,New Iron/Steel - Process Heat: Furnace/Kiln  - Wood,INDWOD,IIS-PH-FURN,2018,2035,25,0.9,0.63,31.536,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,500,500,500,500,500,500,500,500,500,500,0.24,,5,
IIS-PH-FURN-LPG-Furn,New Iron/Steel - Process Heat: Furnace/Kiln  - LPG,INDLPG,IIS-PH-FURN,2018,2020,25,0.9,0.63,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,63,63,63,63,63,63,63,63,63,63,0.07,,5,
MEAT-MoTP-Stat-DSL-st_ngn,"New Meat - Motive Power, Stationary  - Diesel",INDDSL,MEAT-MoTP-Stat,2018,2020,20,0.5,0.35,31.536,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,455,455,455,455,455,455,455,455,455,455,0,,,
