STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,CEN23_YEAR_001,Census year,CEN23_GEO_008,Area,CEN23_DTD_003,Dwelling type,CEN23_ETH_002,Ethnicity,CEN23_AGE_003,Age,CEN23_GEN_002,Gender,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,04,Bay of Plenty Region,13,Other private dwelling,999,Total - ethnicity,99,Total - age,99,,1809,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,05,Gisborne Region,10,Private dwelling not further defined,999,Total - ethnicity,99,Total - age,99,,3288,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,05,Gisborne Region,11,Separate house,999,Total - ethnicity,99,Total - age,99,,34992,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,05,Gisborne Region,12,Joined dwelling,999,Total - ethnicity,99,Total - age,99,,3048,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,05,Gisborne Region,13,Other private dwelling,999,Total - ethnicity,99,Total - age,99,,162,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,06,Hawke's Bay Region,10,Private dwelling not further defined,999,Total - ethnicity,99,Total - age,99,,7713,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,06,Hawke's Bay Region,11,Separate house,999,Total - ethnicity,99,Total - age,99,,120045,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,06,Hawke's Bay Region,12,Joined dwelling,999,Total - ethnicity,99,Total - age,99,,14196,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,06,Hawke's Bay Region,13,Other private dwelling,999,Total - ethnicity,99,Total - age,99,,648,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,07,Taranaki Region,10,Private dwelling not further defined,999,Total - ethnicity,99,Total - age,99,,4518,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,07,Taranaki Region,11,Separate house,999,Total - ethnicity,99,Total - age,99,,91551,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,07,Taranaki Region,12,Joined dwelling,999,Total - ethnicity,99,Total - age,99,,6972,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,07,Taranaki Region,13,Other private dwelling,999,Total - ethnicity,99,Total - age,99,,387,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,08,Manawatū-Whanganui Region,10,Private dwelling not further defined,999,Total - ethnicity,99,Total - age,99,,10047,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,08,Manawatū-Whanganui Region,11,Separate house,999,Total - ethnicity,99,Total - age,99,,182658,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,08,Manawatū-Whanganui Region,12,Joined dwelling,999,Total - ethnicity,99,Total - age,99,,15372,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,08,Manawatū-Whanganui Region,13,Other private dwelling,999,Total - ethnicity,99,Total - age,99,,651,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,09,Wellington Region,10,Private dwelling not further defined,999,Total - ethnicity,99,Total - age,99,,20523,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,09,Wellington Region,11,Separate house,999,Total - ethnicity,99,Total - age,99,,342459,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,09,Wellington Region,12,Joined dwelling,999,Total - ethnicity,99,Total - age,99,,82371,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,09,Wellington Region,13,Other private dwelling,999,Total - ethnicity,99,Total - age,99,,909,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,12,West Coast Region,10,Private dwelling not further defined,999,Total - ethnicity,99,Total - age,99,,2079,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,12,West Coast Region,11,Separate house,999,Total - ethnicity,99,Total - age,99,,25878,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,12,West Coast Region,12,Joined dwelling,999,Total - ethnicity,99,Total - age,99,,1395,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,12,West Coast Region,13,Other private dwelling,999,Total - ethnicity,99,Total - age,99,,327,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,13,Canterbury Region,10,Private dwelling not further defined,999,Total - ethnicity,99,Total - age,99,,21063,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,13,Canterbury Region,11,Separate house,999,Total - ethnicity,99,Total - age,99,,423054,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,13,Canterbury Region,12,Joined dwelling,999,Total - ethnicity,99,Total - age,99,,60723,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,13,Canterbury Region,13,Other private dwelling,999,Total - ethnicity,99,Total - age,99,,2760,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,14,Otago Region,10,Private dwelling not further defined,999,Total - ethnicity,99,Total - age,99,,8631,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,14,Otago Region,11,Separate house,999,Total - ethnicity,99,Total - age,99,,156795,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,14,Otago Region,12,Joined dwelling,999,Total - ethnicity,99,Total - age,99,,21315,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,14,Otago Region,13,Other private dwelling,999,Total - ethnicity,99,Total - age,99,,642,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,15,Southland Region,10,Private dwelling not further defined,999,Total - ethnicity,99,Total - age,99,,3522,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,15,Southland Region,11,Separate house,999,Total - ethnicity,99,Total - age,99,,80415,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,15,Southland Region,12,Joined dwelling,999,Total - ethnicity,99,Total - age,99,,4182,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,15,Southland Region,13,Other private dwelling,999,Total - ethnicity,99,Total - age,99,,294,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,16,Tasman Region,10,Private dwelling not further defined,999,Total - ethnicity,99,Total - age,99,,1680,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,16,Tasman Region,11,Separate house,999,Total - ethnicity,99,Total - age,99,,39684,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,16,Tasman Region,12,Joined dwelling,999,Total - ethnicity,99,Total - age,99,,2337,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,16,Tasman Region,13,Other private dwelling,999,Total - ethnicity,99,Total - age,99,,747,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,17,Nelson Region,10,Private dwelling not further defined,999,Total - ethnicity,99,Total - age,99,,1707,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,17,Nelson Region,11,Separate house,999,Total - ethnicity,99,Total - age,99,,36033,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,17,Nelson Region,12,Joined dwelling,999,Total - ethnicity,99,Total - age,99,,5397,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,17,Nelson Region,13,Other private dwelling,999,Total - ethnicity,99,Total - age,99,,360,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,18,Marlborough Region,10,Private dwelling not further defined,999,Total - ethnicity,99,Total - age,99,,1692,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,18,Marlborough Region,11,Separate house,999,Total - ethnicity,99,Total - age,99,,35649,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,18,Marlborough Region,12,Joined dwelling,999,Total - ethnicity,99,Total - age,99,,3222,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,18,Marlborough Region,13,Other private dwelling,999,Total - ethnicity,99,Total - age,99,,273,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,99,Area Outside Region,10,Private dwelling not further defined,999,Total - ethnicity,99,Total - age,99,,36,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,99,Area Outside Region,11,Separate house,999,Total - ethnicity,99,Total - age,99,,489,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,99,Area Outside Region,12,Joined dwelling,999,Total - ethnicity,99,Total - age,99,,21,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,99,Area Outside Region,13,Other private dwelling,999,Total - ethnicity,99,Total - age,99,,3,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,99999,Total - New Zealand by health region/health district,10,Private dwelling not further defined,999,Total - ethnicity,99,Total - age,99,,220353,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,99999,Total - New Zealand by health region/health district,11,Separate house,999,Total - ethnicity,99,Total - age,99,,3266547,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,99999,Total - New Zealand by health region/health district,12,Joined dwelling,999,Total - ethnicity,99,Total - age,99,,524991,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2013,2013,99999,Total - New Zealand by health region/health district,13,Other private dwelling,999,Total - ethnicity,99,Total - age,99,,16953,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2018,2018,01,Northland Region,10,Private dwelling not further defined,999,Total - ethnicity,99,Total - age,99,,0,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2018,2018,01,Northland Region,11,Separate house,999,Total - ethnicity,99,Total - age,99,,138696,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2018,2018,01,Northland Region,12,Joined dwelling,999,Total - ethnicity,99,Total - age,99,,10587,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2018,2018,01,Northland Region,13,Other private dwelling,999,Total - ethnicity,99,Total - age,99,,2187,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2018,2018,02,Auckland Region,10,Private dwelling not further defined,999,Total - ethnicity,99,Total - age,99,,0,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2018,2018,02,Auckland Region,11,Separate house,999,Total - ethnicity,99,Total - age,99,,1196001,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2018,2018,02,Auckland Region,12,Joined dwelling,999,Total - ethnicity,99,Total - age,99,,194604,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2018,2018,02,Auckland Region,13,Other private dwelling,999,Total - ethnicity,99,Total - age,99,,2460,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2018,2018,03,Waikato Region,10,Private dwelling not further defined,999,Total - ethnicity,99,Total - age,99,,0,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2018,2018,03,Waikato Region,11,Separate house,999,Total - ethnicity,99,Total - age,99,,371466,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2018,2018,03,Waikato Region,12,Joined dwelling,999,Total - ethnicity,99,Total - age,99,,32373,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2018,2018,03,Waikato Region,13,Other private dwelling,999,Total - ethnicity,99,Total - age,99,,1923,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2018,2018,04,Bay of Plenty Region,10,Private dwelling not further defined,999,Total - ethnicity,99,Total - age,99,,0,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2018,2018,04,Bay of Plenty Region,11,Separate house,999,Total - ethnicity,99,Total - age,99,,242637,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2018,2018,04,Bay of Plenty Region,12,Joined dwelling,999,Total - ethnicity,99,Total - age,99,,24330,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2018,2018,04,Bay of Plenty Region,13,Other private dwelling,999,Total - ethnicity,99,Total - age,99,,1743,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2018,2018,05,Gisborne Region,10,Private dwelling not further defined,999,Total - ethnicity,99,Total - age,99,,0,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2018,2018,05,Gisborne Region,11,Separate house,999,Total - ethnicity,99,Total - age,99,,37269,,,
DATAFLOW,STATSNZ:CEN23_HOU_009(1.0),"Dwelling type, ethnicity, age, and gender for the census usually resident population in occupied dwellings, (RC, TALB, Health), 2013, 2018, and 2023 Censuses",I,2018,2018,05,Gisborne Region,12,Joined dwelling,999,Total - ethnicity,99,Total - age,99,,3117,,,
