TechName,Comm-IN,Comm-OUT,Share-I~UP,Share-I~UP~2020,Share-I~UP~0,NCAP_PASTI~SI~2000,PRC_RESID~2018,*PRC_RESID~2015,*NCAP_PASTY,EFF,LIFE,INVCOST,VAROM,CAP2ACT,*ACT_BND~SI~2015,*ACT_BND~NI~2018,ACT_BND~SI~2018,ACT_BND~SI~0,AFA,*AFA~LO,*FLO_MARK~NI~2018,*FLO_MARK~SI~2018,*FLO_MARK~0,NCAP_BND~2025,NCAP_BND~0
DARY-PH-MVR_PRE-NGA-BLR15,INDNGA,DARY-PH-MVR_PRE,,,,,0,0,21,0.87,25,250,,31.536,0,0.3589,0,5,0.685,0.48,1,0,5,0,5
DARY-PH-TVR_EVP-COA-BLR15,INDCOA,DARY-PH-TVR_EVP,,,,,0.029,0.029,16,0.8,20,750,,31.536,0.611,0.1063,0.6109,5,0.685,0.48,0.992,1,5,0,5
DARY-PH-TVR_EVP-NGA-BLR15,INDNGA,DARY-PH-TVR_EVP,,,,,0,0,21,0.87,25,250,,31.536,0,0.0009,0,5,0.685,0.48,0.009,0,5,0,5
DARY-PH-TVR_DRY-COA-BLR15,INDCOA,DARY-PH-TVR_DRY,,,,,0.028,0.028,16,0.8,20,750,,31.536,0.594,0.0001,0.5942,5,0.685,0.48,0.001,1,5,0,5
DARY-PH-TVR_DRY-NGA-BLR15,INDNGA,DARY-PH-TVR_DRY,,,,,0,0,21,0.87,25,250,,31.536,0,0.2804,0,5,0.685,0.48,,,,0,5
DARY-PH-MVR_TVR-COA-BLR15,INDCOA,DARY-PH-MVR_TVR,,,,,0.014,0.014,16,0.8,20,750,,31.536,0.289,0.0112,0.2891,5,0.685,0.48,,,,0,5
DARY-PH-MVR_TVR-NGA-BLR15,INDNGA,DARY-PH-MVR_TVR,,,,,0,0,21,0.87,25,250,,31.536,0,0.003,0,5,0.685,0.48,,,,0,5
DARY-PH-MVR_Fan-ELC-Fan15,INDELC,DARY-PH-MVR_Fan,,,,,0.703,0.703,21,43.4339175556657,25,404.591641485669,,31.536,15.167,0,15.1668,5,0.685,0.48,0.05,1,5,0,5
DARY-Pump-ELC-Pump15,INDELC,DARY-Pump,,,,,0.015,0.015,6,0.75,10,2308,,31.536,0.233,0.4465,0.233,5,0.5,0.35,1,1,5,0,5
DARY-RFGR-ELC-Refriger15,INDELC,DARY-RFGR,,,,,0.009,0.009,1,1,1,0,,31.536,0.278,0.2434,0.278,5,1,0.7,1,,5,0,5
DARY-PH-STM_HW-DSL-BLR15,INDDSL,DARY-PH-STM_HW,,,,,0.002,0.002,21,0.85,25,300,,31.536,0.03,1.0748,0.0295,5,0.685,0.48,0.057,,5,0,5
DARY-PH-STM_HW-GEO-Heat15,INDGEO,DARY-PH-STM_HW,,,,,0.003,0.003,6,0.970124,10,100,,31.536,0.064,4.4722,0.0642,5,0.685,0.48,0.237,0.331,5,0,5
DARY-PH-STM_HW-LPG-BLR15,INDLPG,DARY-PH-STM_HW,,,,,0.005,0.005,21,0.87,25,350,,31.536,0.101,13.3728,0.1007,5,0.685,0.48,,,,0,5
DARY-MoTP-Stat-ELC-Mtr15,INDELC,DARY-MoTP-Stat,,,,,0.004,0.004,6,0.675,10,280,,31.536,0.049,0.1811,0.0493,5,0.5,0.35,1,,5,0,5
DARY-AIR-ELC-CMPR15,INDELC,DARY-AIR,,,,,0.004,0.004,21,1,25,0,,31.536,0.066,0.7534,0.0661,5,0.68,0.48,1,1,5,0,5
FOOD-PH-STM_HW-COA-BLR15,INDCOA,FOOD-PH-STM_HW,,,,,0.016,0.016,16,0.8,20,750,,31.536,0.34,0.4801,0.3401,5,0.685,0.48,0.194,,5,0,5
FOOD-PH-STM_HW-NGA-BLR15,INDNGA,FOOD-PH-STM_HW,,,,,0,0,21,0.87,25,250,,31.536,0,1.9977,0,5,0.685,0.48,0.807,0,5,0,5
FOOD-PH-OVN-COA-Oven15,INDCOA,FOOD-PH-OVN,,,,,0.002,0.002,6,0.5,10,100,,31.536,0.052,0.5398,0.0519,5,0.9,0.63,0.174,,5,0,5
FOOD-PH-OVN-ELC-Oven15,INDELC,FOOD-PH-OVN,,,,,0.001,0.001,6,0.5,10,100,,31.536,0.023,2.2461,0.0234,5,0.9,0.63,0.723,0.311,5,0,5
FOOD-PH-OVN-NGA-Oven15,INDNGA,FOOD-PH-OVN,,,,,0,0,6,0.5,10,100,,31.536,0,0.3245,0,5,0.9,0.63,,,,0,5
FOOD-Pump-ELC-Pump15,INDELC,FOOD-Pump,,,,,0.014,0.014,6,0.75,10,2308,,31.536,0.217,0.4327,0.2166,5,0.5,0.35,,,,0,5
FOOD-MoTP-Stat-ELC-Mtr15,INDELC,FOOD-MoTP-Stat,,,,,0.009,0.009,6,0.675,10,280,,31.536,0.137,0.0502,0.1373,5,0.5,0.35,,,,0,5
FOOD-RFGR-ELC-Refriger15,INDELC,FOOD-RFGR,,,,,0.004,0.004,1,1,1,0,,31.536,0.111,0.0065,0.1109,5,1,0.7,,,,0,5
FOOD-PH-DirH-ELC-Heater15,INDELC,FOOD-PH-DirH,,,,,0.001,0.001,3,0.999700089973008,3,80,,31.536,0.02,0.4361,0.0201,5,0.9,0.63,,,,0,5
IIS-FDSTCK-COA-_15,COA,IIS-FDSTCK,,,,,0,0,96,1,100,0,,31.536,0,0.0638,0,5,0.9,0.63,,,,0,5
IIS-PH-FURN-ELC-Furn15,INDELC,IIS-PH-FURN,,,,,0,0,21,0.8,25,63,,31.536,0,0,0,5,0.9,0.63,0,0.05,5,0,5
IIS-PH-FURN-NGA-Furn15,INDNGA,IIS-PH-FURN,,,,,0,0,21,0.8,25,63,,31.536,0,0.0745,0,5,0.9,0.63,1,0.05,5,0,5
IIS-MoTP-Stat-ELC-Mtr15,INDELC,IIS-MoTP-Stat,,,,,0,0,6,0.675,10,280,,31.536,0,0.6481,0,5,0.5,0.35,1,0.05,5,0,5
MEAT-PH-STM_HW-COA-BLR15,INDCOA,MEAT-PH-STM_HW,,,,,0.073,0.073,21,0.8,25,750,,31.536,0.78,0,0.7797,5,0.343,0.24,0,0.962,5,0,5
MEAT-PH-STM_HW-NGA-BLR15,INDNGA,MEAT-PH-STM_HW,,,,,0,0,21,0.87,25,250,,31.536,0,1.7256,0,5,0.343,0.24,0.444,0,5,0,5
MEAT-PH-STM_HW-WOD-BLR15,INDWOD,MEAT-PH-STM_HW,,,,,0.002,0.002,21,0.85,25,2000,,31.536,0.032,2.1642,0.0315,5,0.5,0.35,0.557,0.039,5,0,5
MEAT-PH-DirH-ELC-Heater15,INDELC,MEAT-PH-DirH,,,,,0.001,0.012,3,0.999700089973008,3,80,,31.536,0.339901029691093,0.5537,0.0135,5,0.9,0.63,1,1,5,0,5
MEAT-RFGR-ELC-Refriger15,INDELC,MEAT-RFGR,,,,,0.016,0.016,1,1,1,0,,31.536,0.487,0.6881,0.4869,5,1,0.7,,,,0,5
MEAT-MoTP-Stat-ELC-Mtr15,INDELC,MEAT-MoTP-Stat,,,,,0.014,0.014,6,0.675,10,280,,31.536,0.206,0.3522,0.2064,5,0.5,0.35,,,,0,5
METAL-PH-FURN-ELC-Furn15,INDELC,METAL-PH-FURN,,,,,0.001,0.001,21,0.8,25,63,,31.536,0.013,0.0008,0.0125,5,0.9,0.63,0.002,0.045,5,0,5
METAL-PH-FURN-FOL-Furn15,INDFOL,METAL-PH-FURN,,,,,0.01,0.01,21,0.8,25,63,,31.536,0.267,0.7255,0.2672,5,0.9,0.63,,0.956,5,0,5
METAL-PH-FURN-NGA-Furn15,INDNGA,METAL-PH-FURN,,,,,0,0,21,0.8,25,63,,31.536,0,0.0348,0,5,0.9,0.63,,,,0,5
METAL-MoTP-Stat-ELC-Mtr15,INDELC,METAL-MoTP-Stat,,,,,0.014,0.014,6,0.675,10,280,,31.536,0.205,0.0088,0.2052,5,0.5,0.35,,,,0,5
METAL-RFGR-ELC-Refriger15,INDELC,METAL-RFGR,,,,,0.002,0.002,1,1,1,0,,31.536,0.054,0.2588,0.0535,5,1,0.7,,,,0,5
METAL-PH-DirH-NGA-Burner15,INDNGA,METAL-PH-DirH,,,,,0,0,9,0.8,13,313,,31.536,0,0.0319,0,5,0.9,0.63,1,,5,0,5
MTHOL-FDSTCK-NGA-FDSTCK15,NGA,MTHOL-FDSTCK,,,,,0,0,96,1,100,0,,31.536,0,0.4431,0,5,0.9,0.63,1,0.05,5,0,5
MTHOL-PH_REFRM-NGA-REFRM15,INDNGA,MTHOL-PH_REFRM,,,,,0,0,21,1,25,0,,31.536,0,0.1616,0,5,0.5,0.35,1,,5,0,5
MNRL-PH-FURN-COA-Furn15,INDCOA,MNRL-PH-FURN,,,,,0,0,21,0.7,25,63,,31.536,0,2.2425,0,5,0.9,0.63,0.491,0.05,5,0,5
MNRL-PH-FURN-ELC-Furn15,INDELC,MNRL-PH-FURN,,,,,0,0,21,0.8,25,63,,31.536,0,1.1698,0,5,0.9,0.63,,,,0,5
MNRL-PH-FURN-NGA-Furn15,INDNGA,MNRL-PH-FURN,,,,,0,0,21,0.8,25,63,,31.536,0,0.0005,0,5,0.9,0.63,,,,0,5
MNRL-PH-FURN-WOD-Furn15,INDWOD,MNRL-PH-FURN,,,,,0,0,21,0.7,25,63,,31.536,0,1.1614,0,5,0.9,0.63,,,,0,5
MNRL-MoTP-Stat-ELC-Mtr15,INDELC,MNRL-MoTP-Stat,,,,,0,0,6,0.675,10,280,,31.536,0,2.3622,0,5,0.5,0.35,1,,5,0,5
MNRL-PH-STM_HW-NGA-BLR15,INDNGA,MNRL-PH-STM_HW,,,,,0,0,21,0.87,25,350,,31.536,0,1.1293,0,5,0.5,0.35,1,0.05,5,0,5
MNNG-MoTP-Mob-DSL-ICE_Off15,INDDSL,MNNG-MoTP-Mob,,,,,0,0,16,0.18,20,2388,,31.536,0,0.0879,0,5,0.09,0.06,,0.05,5,0,5
MNNG-MoTP-Stat-ELC-Mtr15,INDELC,MNNG-MoTP-Stat,,,,,0,0,6,0.675,10,280,,31.536,0,0.0136,0,5,0.5,0.35,,,,0,5
MNNG-MoTP-Stat-DSL-St_ngn15,INDDSL,MNNG-MoTP-Stat,,,,,0,0,16,0.22,20,455,,31.536,0,41.0689,0,5,0.5,0.35,,0.05,5,0,5
MNNG-PH-STM_HW-FOL-BLR15,INDFOL,MNNG-PH-STM_HW,,,,,0,0,21,0.85,25,300,,31.536,0,16.2875,0,5,0.5,0.35,,0.05,5,0,5
MNNG-PH-STM_HW-NGA-BLR15,INDNGA,MNNG-PH-STM_HW,,,,,0,0,21,0.87,25,350,,31.536,0,0.0003,0,5,0.5,0.35,,0.05,5,0,5
OTH-ELC-ELC-Tech15,INDELC,OTH-ELC,,,,,0.089,0.089,1,1,1,0,,31.536,1.394,0.5164,1.3938,5,0.5,0.35,,1,5,0,5
OTH-DSL-DSL-Tech15,INDDSL,OTH-DSL,,,,,0.088,0.088,1,1,1,0,,31.536,1.378,0.1394,1.3781,5,0.5,0.35,1,1,5,0,5
OTH-LPG-LPG-Tech15,INDLPG,OTH-LPG,,,,,0.058,0.058,21,1,25,0,,31.536,0.906,1.364,0.9058,5,0.5,0.35,1,1,5,0,5
OTH-COA-COA-Tech15,INDCOA,OTH-COA,,,,,0.022,0.022,1,1,1,0,,31.536,0.342,0.4316,0.3422,5,0.5,0.35,,1,5,0,5
OTH-NGA-NGA-Tech15,INDNGA,OTH-NGA,,,,,0,0,1,1,1,0,,31.536,0,0.0058,0,5,0.5,0.35,,0.05,5,0,5
OTH-PET-PET-Tech15,INDPET,OTH-PET,,,,,0.002,0.002,1,1,1,0,,31.536,0.017,0.0264,0.0171,5,0.5,0.35,,1,5,0,5
OTH-BGS-BGS-Tech15,INDBIG,OTH-BGS,,,,,0.001,0.001,21,1,25,0,,31.536,0.014,0.0072,0.0136,5,0.5,0.35,,1,5,0,5
OTH-FOL-FOL-Tech15,INDFOL,OTH-FOL,,,,,0.001,0.001,21,1,25,0,,31.536,0.003,0.4737,0.0028,5,0.5,0.35,,1,5,0,5
CHMCL-PH-STM_HW-FOL-BLR15,INDFOL,CHMCL-PH-STM_HW,,,,,0,0,21,0.85,25,300,,31.536,0,0,0,5,0.5,0.35,0,0.05,5,0,5
CHMCL-PH-STM_HW-NGA-BLR15,INDNGA,CHMCL-PH-STM_HW,,,,,0,0,21,0.87,25,350,,31.536,0,0.9923,0,5,0.5,0.35,1,0.05,5,0,5
CHMCL-MoTP-Stat-ELC-Mtr15,INDELC,CHMCL-MoTP-Stat,,,,,0,0,6,0.675,10,280,,31.536,0,0.0663,0,5,0.5,0.35,1,0.05,5,0,5
CHMCL-MoTP-Stat-NGA-Pump15,INDNGA,CHMCL-MoTP-Stat,,,,,0,0,6,0.1,10,462,,31.536,0,0,0,5,0.5,0.35,0,0.05,5,0,5
CHMCL-PH-REFRM-NGA-REFRM15,INDNGA,CHMCL-PH-REFRM,,,,,0,0,21,1,25,0,,31.536,0,0.0526,0,5,0.5,0.35,1,0.05,5,0,5
CHMCL-PH-DirH-NGA-Burner15,INDNGA,CHMCL-PH-DirH,,,,,0,0,9,0.8,13,313,,31.536,0,0.1388,0,5,0.9,0.63,0.838,0.05,5,0,5
CHMCL-PH-DirH-ELC-Heater15,INDELC,CHMCL-PH-DirH,,,,,0,0,3,0.999700089973008,3,80,,31.536,0,0.0269,0,5,0.9,0.63,,,,0,5
CHMCL-PH-FURN-FOL-Furn15,INDFOL,CHMCL-PH-FURN,,,,,0,0,21,0.8,25,63,,31.536,0,0.0079,0,5,0.9,0.63,,,,0,5
CHMCL-PH-FURN-NGA-Furn15,INDNGA,CHMCL-PH-FURN,,,,,0,0,21,0.8,25,63,,31.536,0,0.8223,0,5,0.9,0.63,,,,0,5
REFI-PH-FURN-NGA-Furn15,INDNGA,REFI-PH-FURN,,,,,0,0,21,0.8,25,63,,31.536,0,0.0839,0,5,0.9,0.63,,,,0,5
REFI-MoTP-Stat-ELC-Mtr15,INDELC,REFI-MoTP-Stat,,,,,0,0,6,0.675,10,280,,31.536,0,0.0885,0,5,0.5,0.35,1,,5,0,5
REFI-PH-STM_HW-NGA-BLR15,INDNGA,REFI-PH-STM_HW,,,,,0,0,21,0.87,25,350,,31.536,0,0,0,5,0.5,0.35,0.05,0.05,5,0,5
UREA-FDSTCK-NGA-FDSTCK15,NGA,UREA-FDSTCK,,,,,0,,,1,100,,,31.536,,,0,5,0.9,0.63,0.05,0.05,5,0,5
UREA-REFRM-NGA15,INDNGA,UREA-REFRM,,,,,0,,,1,100,,,31.536,,,0,5,,,,,,,
WOOD-PH-STM_HW-COA-BLR15,INDCOA,WOOD-PH-STM_HW,,,,,0.003,0.003,16,0.8,20,750,,31.536,0.044,0.065,0.044019,5,0.5,0.35,0.011,0.015,5,0,5
WOOD-PH-STM_HW-DSL-BLR15,INDDSL,WOOD-PH-STM_HW,,,,,0.001,0.001,21,0.85,25,300,,31.536,0.01,0.4436,0.009846,5,0.5,0.35,0.069,0.004,5,0,5
WOOD-PH-STM_HW-ELC-BLR15,INDELC,WOOD-PH-STM_HW,,,,,0.001,0.001,21,0.99,25,3750,,31.536,0.005,0.0371,0.005358,5,0.5,0.35,0.006,0.002,5,0,5
WOOD-PH-STM_HW-FOL-BLR15,INDFOL,WOOD-PH-STM_HW,,,,,0.001,0.001,21,0.85,25,300,,31.536,0.007,2.2828,0.007143,5,0.5,0.35,0.355,0.003,5,0,5
WOOD-PH-STM_HW-GEO-Heat15,INDGEO,WOOD-PH-STM_HW,,,,,0,0,6,0.970124,10,100,,31.536,0,1.7331,0,5,0.5,0.35,,,,0,5
WOOD-PH-STM_HW-NGA-BLR15,INDNGA,WOOD-PH-STM_HW,,,,,0,0.057,21,0.87,25,350,,31.536,0.8961,0.2888,0,5,0.5,0.35,0.045,0,5,0,5
WOOD-PH-STM_HW-WOD-BLR15,INDWOD,WOOD-PH-STM_HW,,,,,0.196,0.196,21,0.85,25,2000,,31.536,3.076,1.5956,3.075581,5,0.5,0.35,0.248,0.979,5,0,5
WOOD-Fan-ELC-Fan15,INDELC,WOOD-Fan,,,,,1.455,1.455,1,43.4339175556657,1,404.591641485669,,31.536,22.931,0.0195,22.93062,5,0.5,0.35,1,1,5,0,5
WOOD-MoTP-Stat-ELC-Mtr15,INDELC,WOOD-MoTP-Stat,,,,,0.016,0.016,6,0.675,10,280,,31.536,0.238,0.1057,0.23846,5,0.5,0.35,1,1,5,0,5
WOOD-Refin-ELC-Refinery15,INDELC,WOOD-Refin,,,,,0.004,0.004,6,1,10,0,,31.536,0.118,0.045,0.117601,5,1,0.7,1,1,5,0,5
WOOD-Pump-ELC-Pump15,INDELC,WOOD-Pump,,,,,0.005,0.005,6,0.75,10,2308,,31.536,0.075,0.0554,0.07474,5,0.5,0.35,,1,5,0,5
WOOD-PH-FURN-NGA-Furn15,INDNGA,WOOD-PH-FURN,,,,,0,0,21,0.8,25,63,,31.536,0,0.0164,0,5,0.9,0.63,,0.05,5,0,5
WOOD-AIR-ELC-CMPR15,INDELC,WOOD-AIR,,,,,0.003,0.003,21,1,25,0,,31.536,0.06,0.2993,0.059512,5,0.68,0.48,,1,5,0,5
PLPPPR-PH-STM_HW-COA-BLR15,INDCOA,PLPPPR-PH-STM_HW,,,,,0.002,0.002,16,0.8,20,750,,31.536,0.019,0.6195,0.0194,5,0.5,0.35,,0.867,5,0,5
PLPPPR-PH-STM_HW-FOL-BLR15,INDFOL,PLPPPR-PH-STM_HW,,,,,0.001,0.001,21,0.85,25,300,,31.536,0.003,0.0207,0.003,5,0.5,0.35,0.008,0.134,5,0,5
PLPPPR-PH-STM_HW-GEO-Heat15,INDGEO,PLPPPR-PH-STM_HW,,,,,0,0,6,0.970124,10,100,,31.536,0,2.1052,0,5,0.5,0.35,0.716,0,5,0,5
PLPPPR-PH-STM_HW-NGA-BLR15,INDNGA,PLPPPR-PH-STM_HW,,,,,0,0,21,0.87,25,350,,31.536,0,0.1614,0,5,0.5,0.35,,0,5,0,5
PLPPPR-PH-STM_HW-WOD-BLR15,INDWOD,PLPPPR-PH-STM_HW,,,,,0,0,21,0.85,25,2000,,31.536,0,0.035,0,5,0.5,0.35,,0,5,0,5
PLPPPR-Refin-ELC-REF15,INDELC,PLPPPR-Refin,,,,,0.001,0.001,6,1,10,0,,31.536,0.003,0.313,0.0033,5,1,0.7,,1,5,0,5
PLPPPR-PH-FURN-NGA-Furn15,INDNGA,PLPPPR-PH-FURN,,,,,0,0,21,0.8,25,63,,31.536,0,0.1636,0,5,0.9,0.63,,0.05,5,0,5
PLPPPR-Pump-ELC-Pump15,INDELC,PLPPPR-Pump,,,,,0.001,0.001,6,0.75,10,2308,,31.536,0.001,2.3136,0.0009,5,0.5,0.35,,1,5,0,5
PLPPPR-MoTP-Stat-ELC-Mtr15,INDELC,PLPPPR-MoTP-Stat,,,,,0.001,0.001,6,0.675,10,280,,31.536,0.001,0.4176,0.0007,5,0.5,0.35,,1,5,0,5
PLPPPR-Fan-ELC-Fan15,INDELC,PLPPPR-Fan,,,,,0.001,0.001,1,43.4339175556657,1,404.591641485669,,31.536,0.014,0.3478,0.0142,5,0.5,0.35,,1,5,0,5
PLPPPR-PH-DirH-NGA-Burner15,INDNGA,PLPPPR-PH-DirH,,,,,0,0,9,0.8,13,313,,31.536,0,0.0002,0,5,0.9,0.63,,0.05,5,0,5
PLPPPR-AIR-ELC-CMPR15,INDELC,PLPPPR-AIR,,,,,0.001,0.001,21,1,25,0,,31.536,0,0.0002,0.0001,5,0.68,0.48,,1,5,0,5
