TechName,*TechDesc,Comm-IN,Comm-OUT,*Delivered energy,EFF,*Share~UP~2018,Life,INVCOST,FIXOM,AFA,CAP2ACT,PRC_RESID,*ACT_BND~Total,*NI Split,ACT_BND
C_OFFC-WH_Cylinder-NGA00,Office Blocks Hot Water Cylinder NGA,COMNGA,C_OFFC-WH,0.024233406,0.6,,15,316,0,0.45,31.536,0,0.0145400436,1,0
C_OFFC-MPM_-DSL00,Office Blocks Motive power - mobile DSL,COMDSL,C_OFFC-MPM,1.61911328085,0.16,,20,929,7,0.1,31.536,0.0192223494530137,0.259058124936,0.766,0.060619601235024
C_OFFC-MPM_-PET00,Office Blocks Motive power - mobile PET,COMPET,C_OFFC-MPM,0.012023596,0.14,,20,650,7,0.1,31.536,0.000124902652511416,0.00168330344,0.766,0.00039389300496
C_OFFC-MPM_-LPG00,Office Blocks Motive power - mobile LPG,COMLPG,C_OFFC-MPM,0.1864207296,0.14,,20,681,7,0.1,31.536,0.00193656237369863,0.026098902144,0.766,0.006107143101696
C_OFFC-MPS_-ELC00,Office Blocks Motive power Stationery ELC,COMELC,C_OFFC-MPS,0.708550052,0.86,,10,187,0,0.45,31.536,0.0100476783122273,0.60935304472,0.766,0.14258861246448
C_OFFC-SC_AIRHP-ELC00,Office Blocks Heat Pump Air Source (for Cooling) ELC,COMELC,C_OFFC-SC,1.650450853,3.5,,10,1718,0,0.22,31.536,0.19483061906263,5.7765779855,0.766,1.351719248607
\I:,,,,,,,,,,,,,,,
C_WSR-OTH_ELEC-ELC00,WSR Electronics ELC,COMELC,C_WSR-OTH,0.740297894,0.9,,4,5000,0,0.48,31.536,0.010299521213613,0.6662681046,0.766,0.1559067364764
C_WSR-CK_Elements-ELC00,WSR Cooking Elements ELC,COMELC,C_WSR-CK,0.434747324,0.74,,15,312,0,0.48,31.536,0.00497320830584094,0.32171301976,0.766,0.07528084662384
C_WSR-CK_Ovens-ELC00,WSR Cooking Ovens ELC,COMELC,C_WSR-CK,0.678161098,0.65,,20,1225,0,0.48,31.536,0.00681419006623383,0.4408047137,0.766,0.1031483030058
C_WSR-CK_Ovens-LPG00,WSR Cooking Ovens LPG,COMLPG,C_WSR-CK,1.060881772,0.3,,20,824,0,0.48,31.536,0.00491989977026256,0.3182645316,0.766,0.0744739003944
C_WSR-CK_Ovens-NGA00,WSR Cooking Ovens NGA,COMNGA,C_WSR-CK,0.879472629,0.3,,20,824,0,0.48,31.536,0,0.2638417887,1,0
C_WSR-LT_INC-ELC00,WSR Lighting Incandescent ELC,COMELC,C_WSR-LT,0.02603065349,0.015,0.01,1,22,0,0.48,31.536,6.03593206638841e-06,0.00039045980235,0.766,9.13675937499e-05
C_WSR-LT_FLU-ELC00,WSR Lighting Fluorescent ELC,COMELC,C_WSR-LT,2.10848293269,0.135,0.81,5,333,0,0.48,31.536,0.00440019447639715,0.28464519591315,0.766,0.0666069758436771
C_WSR-LT_LED-ELC00,WSR Lighting LED ELC,COMELC,C_WSR-LT,0.46855176282,0.25,0.18,20,1000,0,0.48,31.536,0.00181077961991652,0.117137940705,0.766,0.02741027812497
C_WSR-SH_Boiler-COA00,WSR Boiler Systems COA,COMCOA,C_WSR-SH,0.003803082,0.75,,25,800,15,0.1,31.536,0.000211644118150685,0.0028523115,0.766,0.000667440891
C_WSR-SH_Boiler-DSL00,WSR Boiler Systems DSL,COMDSL,C_WSR-SH,0.019841256,0.85,,25,380,3,0.1,31.536,0.00125140341780822,0.0168650676,0.766,0.0039464258184
C_WSR-SH_Boiler-FOL00,WSR Boiler Systems FOL,COMFOL,C_WSR-SH,0.017024308,0.84,,25,380,3,0.1,31.536,0.00106110412876712,0.01430041872,0.766,0.00334629798048
C_WSR-SH_Boiler-LPG00,WSR Boiler Systems LPG,COMLPG,C_WSR-SH,0.040573375,0.85,,25,250,2,0.1,31.536,0.00255899425656393,0.03448736875,0.766,0.0080700442875
C_WSR-SH_Boiler-NGA00,WSR Boiler Systems NGA,COMNGA,C_WSR-SH,0.815030231,0.85,,25,250,2,0.1,31.536,0,0.69277569635,1,0
C_WSR-SH_HeatHD-COA00,WSR Burner (Direct Heat) COA,COMCOA,C_WSR-SH,0.313149946,0.77,,12.5,500,0,0.1,31.536,0.0178917292206621,0.24112545842,0.766,0.05642335727028
C_WSR-SH_HeatHD-FOL00,WSR Burner (Direct Heat) FOL,COMFOL,C_WSR-SH,0.007537775,0.75,,12.5,250,0,0.1,31.536,0.000419482341609589,0.00565333125,0.766,0.0013228795125
C_WSR-SH_HeatHD-LPG00,WSR Burner (Direct Heat) LPG,COMLPG,C_WSR-SH,0.559235116,0.8,,12.5,300,0,0.1,31.536,0.0331966050593607,0.4473880928,0.766,0.1046888137152
C_WSR-SH_HeatHD-NGA00,WSR Burner (Direct Heat) NGA,COMNGA,C_WSR-SH,0.935960602,0.8,,12.5,300,0,0.1,31.536,0,0.7487684816,1,0
C_WSR-SH_AirHP-ELC00,WSR Heat Pump Air Source (for Heating) ELC,COMELC,C_WSR-SH,0.292410041,3.5,,10,1718,0,0.1,31.536,0.0759398222916666,1.0234351435,0.766,0.239483823579
C_WSR-SH_RH-ELC00,WSR Resistance Heater ELC,COMELC,C_WSR-SH,1.927102334,0.99,,10,80,0,0.1,31.536,0.141562825562671,1.90783131066,0.766,0.44643252669444
C_WSR-SH_DirectH-GEO00,WSR Direct Heat GEO,COMGEO,C_WSR-SH,0.202126270251111,1,,10,100,0,0.1,31.536,0,0.202126270251111,1,0
C_WSR-WH_Boiler-COA00,WSR Boiler Systems COA,COMCOA,C_WSR-WH,0.012715192,0.75,,25,800,15,0.48,31.536,0.00014741857163242,0.009536394,0.766,0.002231516196
C_WSR-WH_Cylinder-ELC00,WSR Hot Water Cylinder ELC,COMELC,C_WSR-WH,2.217952841,0.9,,15,655,0,0.48,31.536,0.0308576486868579,1.9961575569,0.766,0.4671008683146
C_WSR-WH_Cylinder-NGA00,WSR Hot Water Cylinder NGA,COMNGA,C_WSR-WH,0.878416029,0.6,,15,316,0,0.48,31.536,0,0.5270496174,1,0
C_WSR-MPM_-DSL00,WSR Motive power - mobile DSL,COMDSL,C_WSR-MPM,0.32058760663,0.16,,20,929,7,0.48,31.536,0.000792929772867199,0.0512940170608,0.766,0.0120027999922272
C_WSR-MPM_-PET00,WSR Motive power - mobile PET,COMPET,C_WSR-MPM,0.0266315328,0.14,,20,650,7,0.48,31.536,5.76357849315069e-05,0.003728414592,0.766,0.000872449014528
C_WSR-MPM_-LPG00,WSR Motive power - mobile LPG,COMLPG,C_WSR-MPM,0.018282493,0.14,,20,681,7,0.48,31.536,3.95668489107686e-05,0.00255954902,0.766,0.00059893447068
C_WSR-MPS_-ELC00,WSR Motive power Stationery ELC,COMELC,C_WSR-MPS,1.45923975,0.86,,10,187,0,0.48,31.536,0.0193996152076199,1.254946185,0.766,0.29365740729
C_WSR-RF_Refriger-ELC00,WSR Refrigeration Systems ELC,COMELC,C_WSR-RF,5.263127368,1.8,,8,7500,5,0.48,31.536,0.146448321455479,9.4736292624,0.766,2.2168292474016
C_WSR-SC_AIRHP-ELC00,WSR Heat Pump Air Source (for Cooling) ELC,COMELC,C_WSR-SC,0.35709882,3.5,,10,1718,0,0.24,31.536,0.0386415437357306,1.24984587,0.766,0.29246393358
\I:,,,,,,,,,,,,,,,
C_OTH-OTH_Elec-ELC00,Other Electronics ELC,COMELC,C_OTH-OTH,0.344764097,0.9,,4,5000,0,0.55,31.536,0.0042218932592362,0.3102876873,0.764,0.0732278942028
C_OTH-LT_INC-ELC00,Other Lighting Incandescent ELC,COMELC,C_OTH-LT,0.00870382406,0.015,0.01,1,22,0,0.55,31.536,1.77641351715788e-06,0.0001305573609,0.764,3.08115371724e-05
C_OTH-LT_FLU-ELC00,Other Lighting Fluorescent ELC,COMELC,C_OTH-LT,0.70500974886,0.135,0.81,5,333,0,0.55,31.536,0.00129500545400809,0.0951763160961,0.764,0.0224616105986796
C_OTH-LT_LED-ELC00,Other Lighting LED ELC,COMELC,C_OTH-LT,0.15666883308,0.25,0.18,20,1000,0,0.55,31.536,0.000532924055147364,0.03916720827,0.764,0.00924346115172
C_OTH-SH_Boiler-COA00,Other Boiler Systems COA,COMCOA,C_OTH-SH,0.071069505,0.75,,25,800,15,0.1,31.536,0.00398887061929224,0.05330212875,0.764,0.012579302385
C_OTH-SH_Boiler-DSL00,Other Boiler Systems DSL,COMDSL,C_OTH-SH,0.016881726,0.85,,25,380,3,0.1,31.536,0.00107384393569254,0.0143494671,0.764,0.0033864742356
C_OTH-SH_Boiler-FOL00,Other Boiler Systems FOL,COMFOL,C_OTH-SH,0.007875074,0.84,,25,380,3,0.1,31.536,0.000495038898325723,0.00661506216,0.764,0.00156115466976
C_OTH-SH_Boiler-NGA00,Other Boiler Systems NGA,COMNGA,C_OTH-SH,0.928864906,0.85,,25,250,2,0.1,31.536,0,0.7895351701,1,0
C_OTH-SH_Burner-NGA00,Other Burner (Direct Heat) NGA,COMNGA,C_OTH-SH,0.323880314,0.8,,12.5,300,0,0.1,31.536,0,0.2591042512,1,0
C_OTH-SH_AirHP-ELC00,Other Heat Pump Air Source (for Heating) ELC,COMELC,C_OTH-SH,0.27297176,3.5,,10,1718,0,0.1,31.536,0.0714975500253678,0.95540116,0.764,0.22547467376
C_OTH-SH_RH-ELC00,Other Resistance Heater ELC,COMELC,C_OTH-SH,0.427396344,0.99,,10,80,0,0.1,31.536,0.0316644095041096,0.42312238056,0.764,0.09985688181216
C_OTH-WH_Boiler-FOL00,Other Boiler Systems FOL,COMFOL,C_OTH-WH,0.00127491,0.84,,25,380,3,0.55,31.536,1.45714080531341e-05,0.0010709244,0.764,0.0002527381584
C_OTH-WH_Boiler-COA00,Other Boiler Systems COA,COMCOA,C_OTH-WH,0.023116087,0.75,,25,800,15,0.55,31.536,0.00023589475802546,0.01733706525,0.764,0.004091547399
C_OTH-WH_Cylinder-ELC00,Other Hot Water Cylinder ELC,COMELC,C_OTH-WH,0.100498024,0.9,,15,655,0,0.55,31.536,0.00123067318721461,0.0904482216,0.764,0.0213457802976
C_OTH-WH_Cylinder-NGA00,Other Hot Water Cylinder NGA,COMNGA,C_OTH-WH,0.055481543,0.6,,15,316,0,0.55,31.536,0,0.0332889258,1,0
C_OTH-WH_DirectH-GEO00,Other Direct Heat GEO,COMGEO,C_OTH-WH,2.13063138983244,1,,10,100,0,0.55,31.536,0,2.13063138983244,1,0
C_OTH-MPM_-DSL00,Other Motive power - mobile DSL,COMDSL,C_OTH-MPM,0.7680138293,0.16,,20,929,7,0.1,31.536,0.00919590379070522,0.122882212688,0.764,0.029000202194368
C_OTH-MPM_-PET00,Other Motive power - mobile PET,COMPET,C_OTH-MPM,0.1864207296,0.14,,20,650,7,0.1,31.536,0.00195311418885845,0.026098902144,0.764,0.006159340905984
C_OTH-MPM_-FOL00,Other Motive power - mobile FOL,COMFOL,C_OTH-MPM,0.075248107,0.15,,20,9000,5,0.1,31.536,0.000844680044330289,0.01128721605,0.764,0.0026637829878
C_OTH-MPS_-ELC00,Other Motive power Stationery ELC,COMELC,C_OTH-MPS,0.374239068,0.86,,10,187,0,0.55,31.536,0.00437915463085651,0.32184559848,0.764,0.07595556124128
C_OTH-SC_AIRHP-ELC00,Other Heat Pump Air Source (for Cooling) ELC,COMELC,C_OTH-SC,0.377888493,3.5,,10,1718,0,0.27,31.536,0.036658386326033,1.3226097255,0.764,0.312135895218
