TechName,*TechDesc,Comm-IN,Comm-OUT,START,EFF,EFF~2030,EFF~2050,EFF~0,AFA~NI,AFA~SI,AF,Life,CAP2ACT,INVCOST~2018,INVCOST~2021,INVCOST~2030,INVCOST~2040,INVCOST~2050,INVCOST~0,FIXOM,FIXOM~2030,FIXOM~2040,FIXOM~0,FLO_MARK,FLO_MARK~2040
AINDC-SH-Boiler-H2R,Indoor Cropping-Boiler,AGRH2R,AINDC-SH,2020,0.87,,,,0.27,0.27,,25,31.536,174.825,,,,,,6.62,,,,,
AINDC-SH-HP-ELC,Indoor Cropping-High Temperature Heat Pump,AGRELC,AINDC-SH,2020,3.5,,,,0.27,0.27,,20,31.536,1071.428571,,,,,,,,,,,
AINDC-LIG--ELC,Indoor Cropping-LED,AGRELC,AINDC-LIG,2020,0.45,,,,0.23,0.23,,17.12329,31.536,1076.086957,,,,,,,,,,,
\I: AINDC-SH-ThScrn-ELC,Indoor Cropping-Thermal Screens,,AINDC-SH,2020,,,,,,0,,15,31.536,,,,,,,,,,,,
\I: AINDC-SH-Dehumid-ELC,Indoor Cropping-Dehumidifiers,,AINDC-SH,2020,,,,,,0,,20,31.536,,,,,,,,,,,,
AFORE-MoTP-Stat--ELC,Forestry and Logging-Motive Power Stationery,AGRELC,AFORE-MoTP-Stat,2020,0.9,,,,0.153664,0.15,,20,31.536,174.6612218,,,,,,,,,,,
AFORE-MoTP-Mob-GB--DSL,Forestry and Logging-Ground Based,AGRDSL,AFORE-MoTP-Mob-GB,2020,0.111111,,,,0.153664,0.15,,15,1,1273.660677,,,,,,50.94642709,,,,,
AFORE-MoTP-Mob-GB--ELC,Forestry and Logging-Electric Ground Based,AGRELC,AFORE-MoTP-Mob-GB,2020,0.386473,,,,0.153664,0.15,,15,1,,,6998.669165,2677.272006,2331.850796,,18.82572374,,,,,
AFORE-MoTP-Mob-GB--H2R,Forestry and Logging-Hydrogen Ground Based,AGRH2R,AFORE-MoTP-Mob-GB,2020,0.241546,,,,0.153664,0.15,,15,1,,,2440.4418,1358.67032,858.7681567,,45.85178438,,,,,
AFORE-MoTP-Mob-CY--DSL,Forestry and Logging-Cable Yarding,AGRDSL,AFORE-MoTP-Mob-CY,2020,0.111111,,,,0.153388,0.15,,15,1,805.5516615,,,,,,32.22206646,,,,,
AFORE-MoTP-Mob-CY--ELC,Forestry and Logging-Electric Cable Yarding,AGRELC,AFORE-MoTP-Mob-CY,2020,0.386473,,,,0.153388,0.15,,15,1,,,8412.925432,4519.752484,2771.365657,,11.906698,,,,,
AFORE-MoTP-Mob-CY--H2R,Forestry and Logging-Hydrogen Cable Yarding,AGRH2R,AFORE-MoTP-Mob-CY,2020,0.241546,,,,0.153388,0.15,,15,1,,,2742.366674,2658.497992,1086.065515,,28.99985981,,,,,
AFORE-LIG--ELC,Forestry and Logging-LED,AGRELC,AFORE-LIG,2020,0.45,,,,0.23,0.23,,17.12329,31.536,1076.086957,,,,,,,,,,,
AFISH-BOAT-Boat-DSL,"Fishing, Hunting and Trapping-Boat",AGRDSL,AFISH-BOAT,2020,0.18,,,,1,1,,20,31.536,986.6756032,,,,,,,,,,,
\I: AFISH-BOAT-Boat-FOL,"Fishing, Hunting and Trapping-Boat",AGRFOL,AFISH-BOAT,2020,0.18,,,,1,1,,20,31.536,986.6756032,,,,,,,,,,,
AFISH-BOAT-HYBBOAT-DSL,"Fishing, Hunting and Trapping-Hybrid Boat",AGRDSL,AFISH-BOAT,2020,0.193823,,,,1,1,,20,31.536,1480.0134048,,,,,,,,,,0.1,1
\I: AFISH-BOAT--ELC,"\I: Fishing, Hunting and Trapping-Hybrid Electric Boat",AGRELC,AFISH-BOAT,2020,,,,,,,,20,,,,,,,,,,,,,
\I: AFISH-BOAT--H2R,"\I: Fishing, Hunting and Trapping-Hydrogen Boat",AGRH2R,AFISH-BOAT,2020,,,,,,,,20,,,,,,,,,,,,,
AFISH-RFGR-RF-ELC,"Fishing, Hunting and Trapping-Refrigeration",AGRELC,AFISH-RFGR,2020,2.951594,,,,1,1,,15,31.536,545.7819236,,,,,,,,,,,
AFISH-LIG--ELC,"Fishing, Hunting and Trapping-LED",AGRELC,AFISH-LIG,2020,0.45,,,,0.23,0.23,,17.12329,31.536,1076.086957,,,,,,,,,,,
