TechName,*TechDesc,Comm-IN,Comm-OUT,START,EFF,EFF~2030,EFF~2050,EFF~0,AFA~NI,AFA~SI,AF,Life,CAP2ACT,INVCOST~2018,INVCOST~2020,INVCOST~2030,INVCOST~2040,INVCOST~2050,INVCOST~0,FIXOM,FIXOM~2030,FIXOM~2040,FIXOM~0,FLO_MARK,FLO_MARK~2040
ADCF-MoTP-Mob-Bike--PET,Dairy Cattle Farming-Motorbike/side by side,AGRPET,ADCF-MoTP-Mob-Bike,2020,0.1,,,,0.25,0.25,,10,1,264.04,264.04,264.04,264.04,264.04,,500,,,,,
ADCF-MoTP-Mob-Bike--ELC,Dairy Cattle Farming-Electric Motorbike,AGRELC,ADCF-MoTP-Mob-Bike,2020,0.35,,,,0.25,0.25,,10,1,483.48,356.25,157.77,157.77,157.77,,250,,,,,
ADCF-PUMP--ELC,Dairy Cattle Farming-Transfer Pumps etc,AGRELC,ADCF-PUMP,2020,0.7,,,,0.23,0.23,,25,31.536,886.91,,,,,,46.65,,,,,
ADCF-RFGR--ELC,Dairy Cattle Farming-Refrigeration,AGRELC,ADCF-RFGR,2020,2.95,,,,0.23,0.23,,15,31.536,545.78,,,,,,28.71,,,,,
ADCF-RFGR-HRECSys-ELC,Dairy Cattle Farming-Heat Recovery System,AGRELC,ADCF-RFGR,2020,3.5,,,,0.23,0.23,,15,31.536,684.45,,,,,,36,,,,,
ADCF-LIG--ELC,Dairy Cattle Farming-LED,AGRELC,ADCF-LIG,2020,0.45,,,,0.23,0.23,,17.12329,31.536,1076.09,,,,,,,,,,,
ALIVE-IRG-Irg-ELC,Livestock Farming-Irrigation,AGRELC,ALIVE-IRG,2020,0.7,,,,0.16,0.16,,20,31.536,6000,,,,,,917.19,,,,,
ALIVE-IRG-IrgVSD-ELC,Livestock Farming-Irrigation with VSD,AGRELC,ALIVE-IRG,2020,0.83,,,,0.16,0.16,,20,31.536,6257.14,,,,,,917.19,,,,,
ALIVE-MoTP-Mob-Trac--DSL,Livestock Farming-Tractor,AGRDSL,ALIVE-MoTP-Mob-Trac,2020,0.11,,,,0.09,0.09,,15,1,965.29,,,,,,38.61,,,,,
ALIVE-MoTP-Mob-Trac--ELC,Livestock Farming-Electric Tractor,AGRELC,ALIVE-MoTP-Mob-Trac,2020,0.39,,,,0.09,0.09,,15,1,,3039.58,1245.66,1072.05,1072.05,,57.07,28.54,,,,
ALIVE-MoTP-Mob-Trac--H2R,Livestock Farming-Hydrogen Tractor,AGRH2R,ALIVE-MoTP-Mob-Trac,2020,0.24,,,,0.09,0.09,,15,1,,2304.09,1136.31,666.85,634.71,,34.75,,,,,
ALIVE-MoTP-Mob-MTr--DSL,Livestock Farming-Medium Truck,AGRDSL,ALIVE-MoTP-Mob-MTr,2020,0.13,,,,0.02,0.02,,22,1,1851.87,1898.16,1962.98,2042.5,2096.97,,70.4,,,,,
ALIVE-MoTP-Mob-MTr--ELC,Livestock Farming-Electric Medium Truck,AGRELC,ALIVE-MoTP-Mob-MTr,2020,0.44,,,,0.02,0.02,,22,1,6565.01,3423.68,2040.4,2040.4,2040.4,,65.44,,46.49,,,
ALIVE-MoTP-Mob-MTr--H2R,Livestock Farming-Hydrogen Medium Truck,AGRH2R,ALIVE-MoTP-Mob-MTr,2020,0.27,,,,0.02,0.02,,22,1,7542.15,4158.21,3104.03,2612.63,2501.4,,71.34,,,,,
ALIVE-MoTP-Mob-Uti--DSL,Livestock Farming-Utility,AGRDSL,ALIVE-MoTP-Mob-Uti,2020,0.23,,,,0.09,0.09,,22,1,363.43,368.42,375.08,383.4,394.6,,11.88,,,,,
ALIVE-MoTP-Mob-Uti--ELC,Livestock Farming-Electric Utility,AGRELC,ALIVE-MoTP-Mob-Uti,2020,0.8,,,,0.09,0.09,,22,1,563.28,536.36,378.82,378.82,378.82,,10.53,,8.43,,,
ALIVE-MoTP-Mob-Uti--H2R,Livestock Farming-Hydrogen Utility,AGRH2R,ALIVE-MoTP-Mob-Uti,2020,0.5,,,,0.09,0.09,,22,1,748.66,644.3,537.67,431.38,408.55,,13.06,,,,,
ALIVE-MoTP-Mob-Bike--PET,Livestock Farming-Motorbike/side by side,AGRPET,ALIVE-MoTP-Mob-Bike,2020,0.1,,,,0.25,0.25,,10,1,264.04,264.04,264.04,264.04,264.04,,34.75,,,,,
ALIVE-MoTP-Mob-Bike--ELC,Livestock Farming-Electric Motorbike/side by side,AGRELC,ALIVE-MoTP-Mob-Bike,2020,0.35,,,,0.25,0.25,,12,1,483.48,356.25,157.77,157.77,157.77,,17.38,,,,,
ALIVE-LIG--ELC,Livestock Farming-LED,AGRELC,ALIVE-LIG,2020,0.45,,,,0.23,0.23,,17.12329,31.536,1076.09,,,,,,,,,,,
AHORT-IRG-Irg-ELC,Horticulture (Outdoor)-Irrigation,AGRELC,AHORT-IRG,2020,0.7,,,,0.16,0.16,,20,31.536,6000,,,,,,917.19,,,,,
AHORT-IRG-IrgVSD-ELC,Horticulture (Outdoor)-Irrigation with VSD,AGRELC,AHORT-IRG,2020,0.83,,,,0.16,0.16,,20,31.536,6257.14,,,,,,917.19,,,,,
AHORT-MoTP-Mob-Trac--DSL,Horticulture (Outdoor)-Tractor,AGRDSL,AHORT-MoTP-Mob-Trac,2020,0.11,,,,0.06,0.06,,12,1,1560.07,1560.07,,,,,62.4,,,,,
AHORT-MoTP-Mob-Trac--ELC,Horticulture (Outdoor)-Electric Tractor,AGRELC,AHORT-MoTP-Mob-Trac,2020,0.39,,,,0.06,0.06,,12,1,,10778.63,4403.36,3838.55,3838.55,,138.35,69.18,,,,
AHORT-MoTP-Mob-Trac--H2R,Horticulture (Outdoor)-Hydrogen Tractor,AGRH2R,AHORT-MoTP-Mob-Trac,2020,0.24,,,,0.06,0.06,,12,1,,10787.46,5195.41,2947.36,2793.42,,56.16,,,,,
AHORT-MoTP-Mob-MTr--DSL,Horticulture (Outdoor)-Medium Truck,AGRDSL,AHORT-MoTP-Mob-MTr,2020,0.13,,,,0.02,0.02,,22,1,1851.87,1898.16,1962.98,2042.5,2096.97,,70.4,,,,,
AHORT-MoTP-Mob-MTr--ELC,Horticulture (Outdoor)-Electric Medium Truck,AGRELC,AHORT-MoTP-Mob-MTr,2020,0.44,,,,0.02,0.02,,22,1,6565.01,3423.68,2040.4,2040.4,2040.4,,65.44,,46.49,,,
AHORT-MoTP-Mob-MTr--H2R,Horticulture (Outdoor)-Hydrogen Medium Truck,AGRH2R,AHORT-MoTP-Mob-MTr,2020,0.27,,,,0.02,0.02,,22,1,7542.15,4158.21,3104.03,2612.63,2501.4,,71.34,,,,,
AHORT-MoTP-Mob-Uti--DSL,Horticulture (Outdoor)-Utility,AGRDSL,AHORT-MoTP-Mob-Uti,2020,0.23,,,,0.09,0.09,,22,1,363.43,368.42,375.08,383.4,394.6,,11.88,,,,,
AHORT-MoTP-Mob-Uti--ELC,Horticulture (Outdoor)-Electric Utility,AGRELC,AHORT-MoTP-Mob-Uti,2020,0.8,,,,0.09,0.09,,22,1,563.28,536.36,378.82,378.82,378.82,,10.53,,8.43,,,
AHORT-MoTP-Mob-Uti--H2R,Horticulture (Outdoor)-Hydrogen Utility,AGRH2R,AHORT-MoTP-Mob-Uti,2020,0.5,,,,0.09,0.09,,22,1,748.66,644.3,537.67,431.38,408.55,,13.06,,,,,
AHORT-MoTP-Stat-Motor-ELC,Horticulture (Outdoor)-Frost Protection windmills,AGRELC,AHORT-MoTP-Stat,2020,0.9,,,,0.07,0.17,,20,31.536,2400,,,,,,,,,,,
AHORT-LIG--ELC,Horticulture (Outdoor)-LED,AGRELC,AHORT-LIG,2020,0.45,,,,0.23,0.23,,17.12329,31.536,1076.09,,,,,,,,,,,
AINDC-SH-Boiler-WOD,Indoor Cropping-Boiler,AGRWOD,AINDC-SH,2020,0.85,,,,0.27,0.27,,25,31.536,705.8823529,,,,,,6.67,,,,,
AINDC-SH-Boiler-NGA,Indoor Cropping-Boiler,AGRNGA,AINDC-SH,2020,0.87,,,,0.27,0.27,,25,31.536,114.9425287,,,,,,4.41,,,,,
AINDC-SH-Boiler-ELC,Indoor Cropping-Boiler,AGRELC,AINDC-SH,2020,0.99,,,,0.27,0.27,,25,31.536,370.5,250,250,250,250,,,,,,,
AINDC-SH-Boiler-H2R,Indoor Cropping-Boiler,AGRH2R,AINDC-SH,2020,0.87,,,,0.27,0.27,,25,31.536,174.825,,,,,,6.62,,,,,
AINDC-SH-HP-ELC,Indoor Cropping-High Temperature Heat Pump,AGRELC,AINDC-SH,2020,3.5,,,,0.27,0.27,,20,31.536,1071.428571,,,,,,,,,,,
AINDC-LIG--ELC,Indoor Cropping-LED,AGRELC,AINDC-LIG,2020,0.45,,,,0.23,0.23,,17.12329,31.536,1076.086957,,,,,,,,,,,
\I: AINDC-SH-ThScrn-ELC,Indoor Cropping-Thermal Screens,,AINDC-SH,2020,,,,,,-,,15,31.536,,,,,,,,,,,,
\I: AINDC-SH-Dehumid-ELC,Indoor Cropping-Dehumidifiers,,AINDC-SH,2020,,,,,,-,,20,31.536,,,,,,,,,,,,
AFORE-MoTP-Stat--ELC,Forestry and Logging-Motive Power Stationery,AGRELC,AFORE-MoTP-Stat,2020,0.9,,,,0.15,0.15,,20,31.536,174.6612218,,,,,,,,,,,
AFORE-MoTP-Mob-GB--DSL,Forestry and Logging-Ground Based,AGRDSL,AFORE-MoTP-Mob-GB,2020,0.11,,,,0.15,0.15,,15,1,1273.660677,,,,,,50.94642709,,,,,
AFORE-MoTP-Mob-GB--ELC,Forestry and Logging-Electric Ground Based,AGRELC,AFORE-MoTP-Mob-GB,2020,0.39,,,,0.15,0.15,,15,1,,,3705.362201,2259.05939,2192.975156,,18.82572374,,,,,
AFORE-MoTP-Mob-GB--H2R,Forestry and Logging-Hydrogen Ground Based,AGRH2R,AFORE-MoTP-Mob-GB,2020,0.24,,,,0.15,0.15,,15,1,,,2363.437582,957.615794,814.8958539,,45.85178438,,,,,
AFORE-MoTP-Mob-CY--DSL,Forestry and Logging-Cable Yarding,AGRDSL,AFORE-MoTP-Mob-CY,2020,0.11,,,,0.15,0.15,,15,1,805.5516615,,,,,,32.22206646,,,,,
AFORE-MoTP-Mob-CY--ELC,Forestry and Logging-Electric Cable Yarding,AGRELC,AFORE-MoTP-Mob-CY,2020,0.39,,,,0.15,0.15,,15,1,,,8324.930349,3100.938658,2603.483567,,11.906698,,,,,
AFORE-MoTP-Mob-CY--H2R,Forestry and Logging-Hydrogen Cable Yarding,AGRH2R,AFORE-MoTP-Mob-CY,2020,0.24,,,,0.15,0.15,,15,1,,,2655.818194,1462.702403,915.3429897,,28.99985981,,,,,
AFORE-LIG--ELC,Forestry and Logging-LED,AGRELC,AFORE-LIG,2020,0.45,,,,0.23,0.23,,17.12329,31.536,1076.086957,,,,,,,,,,,
AFISH-BOAT-Boat-DSL,"Fishing, Hunting and Trapping-Boat",AGRDSL,AFISH-BOAT,2020,0.18,,,,1,1,,20,31.536,986.6756032,,,,,,,,,,,
\I:AFISH-BOAT-Boat-FOL,"Fishing, Hunting and Trapping-Boat",AGRFOL,AFISH-BOAT,2020,0.18,,,,1,1,,20,31.536,986.6756032,,,,,,,,,,,
AFISH-BOAT-HYBBOAT-DSL,"Fishing, Hunting and Trapping-Hybrid Boat",AGRDSL,AFISH-BOAT,2020,0.19,,,,1,1,,20,31.536,1480.0134048,,,,,,,,,0.1,1,
\I: AFISH-BOAT--ELC,"/I: Fishing, Hunting and Trapping-Hybrid Electric Boat",AGRELC,AFISH-BOAT,2020,,,,,1,1,,20,1,,,,,,,,,,,,
\I: AFISH-BOAT--H2R,"/I: Fishing, Hunting and Trapping-Hydrogen Boat",AGRH2R,AFISH-BOAT,2020,,,,,,,,20,1,,,,,,,,,,,,
AFISH-RFGR-RF-ELC,"Fishing, Hunting and Trapping-Refrigeration",AGRELC,AFISH-RFGR,2020,2.95,,,,1,1,,15,31.536,545.7819236,,,,,,,,,,,
AFISH-LIG--ELC,"Fishing, Hunting and Trapping-LED",AGRELC,AFISH-LIG,2020,0.45,,,,0.23,0.23,,17.12329,31.536,1076.086957,,,,,,,,,,,
